number,number_str,freq_7d,days_hit_7d,freq_30d,days_hit_30d,freq_365d,days_hit_365d,current_gap,mean_gap,rhythm_pressure,freq_current_year,z_score_current_year,ml_prob,ai_ml_signal_score,ml_available,ml_source,target_date,score_band,note
18,18,0,0,1,1,1,1,29,76.6333,0.3784,1,-0.9579,0.01029067,54.1336,True,cau_keo,2026-09-13,high,date-verified ML + current descriptive statistics; ranking signal only
30,30,0,0,0,0,2,2,206,77.25,2.6667,2,-0.3235,0.01019373,52.2469,True,cau_keo,2026-09-13,high,date-verified ML + current descriptive statistics; ranking signal only
23,23,0,0,1,1,6,6,23,92.6,0.2484,5,1.5796,0.01010725,51.0419,True,cau_keo,2026-09-13,high,date-verified ML + current descriptive statistics; ranking signal only
98,98,0,0,0,0,0,0,568,93.8421,6.0527,0,-1.5923,0.01004251,50.7117,True,cau_keo,2026-09-13,high,date-verified ML + current descriptive statistics; ranking signal only
83,83,0,0,1,1,9,9,25,92.0,0.2717,6,2.214,0.01006506,50.708,True,cau_keo,2026-09-13,high,date-verified ML + current descriptive statistics; ranking signal only
73,73,0,0,0,0,1,1,314,146.3571,2.1454,0,-1.5923,0.0101777,50.0398,True,cau_keo,2026-09-13,high,date-verified ML + current descriptive statistics; ranking signal only
21,21,0,0,1,1,6,6,11,95.24,0.1155,4,0.9452,0.01012775,49.2499,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
28,28,0,0,0,0,5,5,49,126.5294,0.3873,4,0.9452,0.01016412,48.7494,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
11,11,0,0,1,1,2,2,9,103.0909,0.0873,2,-0.3235,0.01019404,48.5995,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
17,17,0,0,1,1,5,5,19,83.4286,0.2277,5,1.5796,0.01006898,47.8913,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
37,37,0,0,2,2,7,7,7,128.5294,0.0545,6,2.214,0.00996228,46.9276,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
25,25,0,0,0,0,4,4,39,94.5,0.4127,3,0.3108,0.01018124,46.7824,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
4,04,1,1,1,1,6,6,3,79.7333,0.0376,5,1.5796,0.01006328,46.7438,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
85,85,0,0,0,0,3,3,65,117.1667,0.5548,3,0.3108,0.0101607,46.3306,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
51,51,1,1,1,1,6,6,0,97.0417,0.0,6,2.214,0.01002022,46.1223,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
22,22,0,0,0,0,4,4,35,104.9091,0.3336,4,0.9452,0.01013261,45.6839,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
38,38,0,0,1,1,9,9,20,80.75,0.2477,6,2.214,0.00999095,44.7278,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
93,93,0,0,0,0,4,4,97,83.04,1.1681,3,0.3108,0.01011743,44.376,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
1,01,0,0,0,0,5,5,63,113.15,0.5568,3,0.3108,0.0101303,43.8798,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
54,54,0,0,0,0,8,8,51,75.4516,0.6759,7,2.8483,0.00998763,43.6915,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
92,92,0,0,0,0,6,6,126,90.9565,1.3853,2,-0.3235,0.01012338,43.2573,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
36,36,0,0,0,0,7,7,82,67.8485,1.2086,3,0.3108,0.01011139,43.2461,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
68,68,0,0,1,1,8,8,15,77.3,0.194,6,2.214,0.00996951,42.8416,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
95,95,0,0,0,0,2,2,177,105.6,1.6761,1,-0.9579,0.01012338,42.6449,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
13,13,0,0,1,1,3,3,21,80.4643,0.261,3,0.3108,0.01006898,42.2651,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
86,86,0,0,0,0,4,4,230,90.5909,2.5389,2,-0.3235,0.01004251,41.5492,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
15,15,0,0,0,0,0,0,431,88.1364,4.8901,0,-1.5923,0.01000032,41.4026,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
19,19,0,0,0,0,3,3,59,77.6207,0.7601,2,-0.3235,0.01013742,41.4001,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
94,94,0,0,0,0,4,4,62,86.5,0.7168,4,0.9452,0.01005584,40.9054,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
7,07,0,0,0,0,1,1,359,133.8667,2.6818,0,-1.5923,0.0100291,40.4707,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
84,84,0,0,0,0,3,3,88,148.4545,0.5928,2,-0.3235,0.01010501,40.1576,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
24,24,0,0,0,0,4,4,176,79.7778,2.2061,3,0.3108,0.01000032,38.7505,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
31,31,0,0,0,0,0,0,363,132.2143,2.7455,0,-1.5923,0.01000032,38.4097,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
45,45,0,0,1,1,3,3,16,111.619,0.1433,2,-0.3235,0.01005368,37.999,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
14,14,0,0,0,0,6,6,91,116.8947,0.7785,4,0.9452,0.01000032,37.8664,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
39,39,0,0,1,1,6,6,26,79.9286,0.3253,5,1.5796,0.00993429,37.7307,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
88,88,0,0,0,0,5,5,167,85.5417,1.9523,2,-0.3235,0.01002429,37.3604,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
90,90,1,1,1,1,5,5,5,117.0526,0.0427,3,0.3108,0.01001475,37.3463,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
16,16,0,0,0,0,3,3,48,128.0,0.375,2,-0.3235,0.01009026,37.2501,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
91,91,0,0,0,0,4,4,32,110.9524,0.2884,3,0.3108,0.01005852,36.9362,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
99,99,0,0,0,0,2,2,61,122.6667,0.4973,1,-0.9579,0.01011124,36.5963,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
42,42,0,0,1,1,4,4,10,105.1905,0.0951,4,0.9452,0.00995923,36.1079,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
2,02,0,0,0,0,1,1,306,117.9412,2.5945,0,-1.5923,0.01000032,35.9009,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
27,27,0,0,0,0,2,2,238,111.7778,2.1292,1,-0.9579,0.01000032,35.7651,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
43,43,0,0,1,1,6,6,24,107.7273,0.2228,3,0.3108,0.0099777,35.3029,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
72,72,0,0,1,1,3,3,13,152.2667,0.0854,1,-0.9579,0.01005611,35.1983,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
76,76,0,0,0,0,3,3,141,85.1154,1.6566,2,-0.3235,0.01001079,35.1668,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
58,58,0,0,0,0,0,0,473,100.6842,4.6979,0,-1.5923,0.00989505,35.0695,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
48,48,0,0,0,0,5,5,143,82.0,1.7439,5,1.5796,0.00989793,35.0548,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
61,61,0,0,1,1,4,4,17,88.0,0.1932,3,0.3108,0.0099777,34.9948,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
52,52,1,1,1,1,5,5,1,102.5,0.0098,3,0.3108,0.0099856,34.9042,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
32,32,0,0,0,0,3,3,86,94.625,0.9089,3,0.3108,0.01000032,34.7892,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
44,44,0,0,1,1,3,3,12,112.9524,0.1062,3,0.3108,0.0099777,34.7748,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
47,47,0,0,0,0,5,5,40,80.0345,0.4998,4,0.9452,0.00998804,34.6674,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
6,06,0,0,0,0,2,2,159,138.75,1.1459,1,-0.9579,0.0100291,34.525,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
0,00,0,0,0,0,3,3,46,97.2609,0.473,3,0.3108,0.01001813,34.4129,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
12,12,0,0,0,0,3,3,130,102.7727,1.2649,2,-0.3235,0.01000323,34.0954,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
33,33,0,0,1,1,5,5,22,98.65,0.223,3,0.3108,0.00996228,34.0164,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
89,89,0,0,0,0,3,3,66,100.2609,0.6583,3,0.3108,0.00999475,33.4764,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
97,97,0,0,0,0,4,4,68,96.1667,0.7071,3,0.3108,0.00998607,32.8894,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
29,29,0,0,0,0,3,3,172,98.5238,1.7458,1,-0.9579,0.01000032,32.8601,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
56,56,0,0,0,0,0,0,422,105.5625,3.9976,0,-1.5923,0.00989505,32.8247,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
9,09,0,0,0,0,2,2,41,79.4828,0.5158,1,-0.9579,0.01007232,32.691,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
5,05,0,0,0,0,6,6,96,100.0,0.96,2,-0.3235,0.01000323,32.5989,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
8,08,0,0,0,0,5,5,94,112.3158,0.8369,2,-0.3235,0.01000032,32.2842,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
74,74,0,0,0,0,2,2,225,144.2,1.5603,1,-0.9579,0.00996286,32.2815,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
82,82,0,0,0,0,2,2,158,88.92,1.7769,1,-0.9579,0.00999983,32.2061,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
20,20,0,0,0,0,2,2,155,109.8421,1.4111,1,-0.9579,0.01000032,32.1119,True,cau_keo,2026-09-13,medium,date-verified ML + current descriptive statistics; ranking signal only
