number,number_str,freq_7d,days_hit_7d,freq_30d,days_hit_30d,freq_365d,days_hit_365d,current_gap,mean_gap,rhythm_pressure,freq_current_year,z_score_current_year,ml_prob,ai_ml_signal_score,ml_available,ml_source,target_date,score_band,note
25,25,0,0,1,1,91,78,19,4.2014,4.5223,63,-0.9249,0.23841087,60.0,True,cau_keo,2026-09-24,high,date-verified ML + current descriptive statistics; ranking signal only
32,32,7,2,14,8,107,88,2,4.1488,0.4821,84,1.5845,0.23492078,55.6747,True,cau_keo,2026-09-24,high,date-verified ML + current descriptive statistics; ranking signal only
99,99,2,2,15,12,95,84,2,4.3013,0.465,71,0.0311,0.23617258,55.5196,True,cau_keo,2026-09-24,high,date-verified ML + current descriptive statistics; ranking signal only
46,46,4,4,13,11,107,93,1,4.2142,0.2373,73,0.2701,0.23518752,48.2634,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
34,34,4,4,14,11,106,91,0,4.387,0.0,77,0.748,0.23506695,48.1474,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
92,92,6,4,9,7,120,99,1,4.0944,0.2442,85,1.704,0.23555462,48.0319,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
96,96,3,2,12,11,90,79,2,4.1849,0.4779,68,-0.3274,0.23514444,45.0944,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
93,93,2,2,13,11,94,85,2,4.0795,0.4903,66,-0.5664,0.23498112,43.6376,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
77,77,3,3,13,13,105,97,4,4.1819,0.9565,77,0.748,0.23412991,41.8249,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
67,67,5,3,10,7,88,80,0,4.1662,0.0,66,-0.5664,0.23486307,41.7062,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
72,72,3,2,11,9,99,89,2,4.2006,0.4761,68,-0.3274,0.23489725,41.5533,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
48,48,4,4,15,13,103,91,1,4.2538,0.2351,77,0.748,0.23373015,41.5229,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
56,56,3,3,9,8,88,76,2,4.2905,0.4661,67,-0.4469,0.23537,41.2795,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
33,33,2,2,10,7,103,87,1,4.1891,0.2387,76,0.6285,0.23553372,41.0741,True,cau_keo,2026-09-24,medium,date-verified ML + current descriptive statistics; ranking signal only
