prev_loto,next_loto,count,base_count,conditional_rate
76,49,303,1032,0.2936046511627907
94,10,297,1024,0.2900390625
96,52,290,1002,0.2894211576846307
72,49,288,1000,0.288
51,62,268,939,0.2854100106496273
51,36,266,939,0.2832800851970181
52,52,293,1038,0.28227360308285165
33,49,281,1000,0.281
34,04,267,951,0.2807570977917981
47,80,275,980,0.28061224489795916
61,95,279,997,0.279839518555667
29,39,276,988,0.2793522267206478
69,52,264,946,0.27906976744186046
52,81,289,1038,0.27842003853564545
83,75,277,995,0.27839195979899495
37,71,265,953,0.2780692549842602
69,35,263,946,0.27801268498942916
22,14,285,1026,0.2777777777777778
78,75,269,969,0.2776057791537668
05,49,277,998,0.2775551102204409
28,19,258,930,0.27741935483870966
15,43,267,965,0.2766839378238342
12,62,288,1041,0.276657060518732
34,64,263,951,0.2765509989484753
92,49,283,1024,0.2763671875
74,70,269,975,0.27589743589743587
56,10,269,976,0.27561475409836067
19,68,283,1027,0.2755598831548199
50,75,267,969,0.2755417956656347
34,68,262,951,0.2754994742376446
42,67,276,1003,0.27517447657028915
35,84,278,1011,0.27497527200791294
20,90,275,1001,0.27472527472527475
67,91,276,1006,0.27435387673956263
59,76,268,977,0.2743091095189355
38,90,277,1010,0.2742574257425743
86,87,266,970,0.27422680412371137
33,91,274,1000,0.274
23,62,277,1011,0.27398615232443124
74,12,267,975,0.27384615384615385
54,81,279,1019,0.27379784102060845
30,66,274,1001,0.27372627372627373
51,13,257,939,0.2736954206602769
64,23,281,1027,0.2736124634858812
67,49,275,1006,0.27335984095427435
88,13,278,1017,0.27335299901671584
06,90,268,981,0.273190621814475
37,49,260,953,0.2728226652675761
36,10,277,1016,0.27263779527559057
75,54,281,1031,0.2725509214354995
94,90,279,1024,0.2724609375
80,49,276,1013,0.2724580454096742
31,94,271,995,0.2723618090452261
73,96,269,988,0.2722672064777328
42,81,273,1003,0.27218344965104685
35,10,275,1011,0.27200791295746785
22,76,279,1026,0.2719298245614035
91,75,277,1019,0.2718351324828263
10,49,283,1042,0.2715930902111324
75,90,280,1031,0.27158098933074687
40,93,271,998,0.2715430861723447
56,68,265,976,0.27151639344262296
15,75,262,965,0.27150259067357513
94,49,278,1024,0.271484375
38,52,274,1010,0.2712871287128713
98,93,259,956,0.2709205020920502
84,30,276,1019,0.27085377821393525
79,52,280,1034,0.27079303675048355
27,13,267,986,0.27079107505070993
89,49,271,1001,0.2707292707292707
43,88,278,1027,0.27069133398247325
95,93,282,1042,0.2706333973128599
75,12,279,1031,0.27061105722599416
56,90,264,976,0.27049180327868855
85,95,264,976,0.27049180327868855
80,67,274,1013,0.2704837117472853
55,10,265,980,0.27040816326530615
04,76,272,1006,0.27037773359840955
97,68,272,1006,0.27037773359840955
53,16,263,973,0.27029804727646456
34,52,257,951,0.27024185068349105
01,03,271,1003,0.27018943170488535
09,68,268,992,0.2701612903225806
46,02,268,992,0.2701612903225806
58,52,262,970,0.27010309278350514
18,80,269,996,0.2700803212851406
35,22,273,1011,0.27002967359050445
35,92,273,1011,0.27002967359050445
96,49,270,1002,0.2694610778443114
67,01,271,1006,0.26938369781312127
78,68,261,969,0.2693498452012384
38,81,272,1010,0.2693069306930693
01,13,270,1003,0.2691924227318046
09,12,267,992,0.2691532258064516
46,36,267,992,0.2691532258064516
90,41,278,1033,0.2691190706679574
35,79,272,1011,0.26904055390702275
33,04,269,1000,0.269
33,54,269,1000,0.269
03,15,264,982,0.26883910386965376
32,10,272,1012,0.26877470355731226
24,71,265,986,0.268762677484787
77,93,269,1001,0.26873126873126874
70,68,270,1005,0.26865671641791045
40,16,268,998,0.2685370741482966
69,22,254,946,0.26849894291754756
93,49,276,1028,0.26848249027237353
62,12,280,1043,0.2684563758389262
56,88,262,976,0.26844262295081966
67,52,270,1006,0.268389662027833
67,97,270,1006,0.268389662027833
47,96,263,980,0.2683673469387755
83,18,267,995,0.26834170854271355
38,82,271,1010,0.26831683168316833
29,25,265,988,0.2682186234817814
46,12,266,992,0.26814516129032256
46,95,266,992,0.26814516129032256
07,91,267,996,0.2680722891566265
18,23,267,996,0.2680722891566265
26,68,268,1000,0.268
