prev_special_2d,next_loto,count,base_count,conditional_rate
22,49,5,5,1.0
48,20,5,5,1.0
55,95,5,5,1.0
94,80,5,5,1.0
90,88,4,4,1.0
97,93,4,4,1.0
29,61,3,3,1.0
30,67,3,3,1.0
30,81,3,3,1.0
32,64,3,3,1.0
32,91,3,3,1.0
35,14,3,3,1.0
35,30,3,3,1.0
35,91,3,3,1.0
42,80,3,3,1.0
46,92,3,3,1.0
64,42,3,3,1.0
69,98,3,3,1.0
70,26,3,3,1.0
71,04,3,3,1.0
71,95,3,3,1.0
72,16,3,3,1.0
72,70,3,3,1.0
75,19,3,3,1.0
75,59,3,3,1.0
76,09,3,3,1.0
81,74,3,3,1.0
84,35,3,3,1.0
84,61,3,3,1.0
84,86,3,3,1.0
89,13,3,3,1.0
96,12,3,3,1.0
96,61,3,3,1.0
03,08,2,2,1.0
03,23,2,2,1.0
03,24,2,2,1.0
03,26,2,2,1.0
03,27,2,2,1.0
03,41,2,2,1.0
03,52,2,2,1.0
03,75,2,2,1.0
03,86,2,2,1.0
06,05,2,2,1.0
06,08,2,2,1.0
06,25,2,2,1.0
06,31,2,2,1.0
06,77,2,2,1.0
06,85,2,2,1.0
06,86,2,2,1.0
06,92,2,2,1.0
09,04,2,2,1.0
09,10,2,2,1.0
09,23,2,2,1.0
09,24,2,2,1.0
09,63,2,2,1.0
09,72,2,2,1.0
09,75,2,2,1.0
10,23,2,2,1.0
10,27,2,2,1.0
10,36,2,2,1.0
10,49,2,2,1.0
10,54,2,2,1.0
10,66,2,2,1.0
10,82,2,2,1.0
10,88,2,2,1.0
10,92,2,2,1.0
10,97,2,2,1.0
10,99,2,2,1.0
20,17,2,2,1.0
20,30,2,2,1.0
20,74,2,2,1.0
20,98,2,2,1.0
40,05,2,2,1.0
40,13,2,2,1.0
40,25,2,2,1.0
40,46,2,2,1.0
40,60,2,2,1.0
40,72,2,2,1.0
40,79,2,2,1.0
40,84,2,2,1.0
40,93,2,2,1.0
49,32,2,2,1.0
49,43,2,2,1.0
49,51,2,2,1.0
49,68,2,2,1.0
49,78,2,2,1.0
49,97,2,2,1.0
66,14,2,2,1.0
66,50,2,2,1.0
66,59,2,2,1.0
66,84,2,2,1.0
66,89,2,2,1.0
66,90,2,2,1.0
66,95,2,2,1.0
74,29,2,2,1.0
74,92,2,2,1.0
82,65,2,2,1.0
82,85,2,2,1.0
87,23,2,2,1.0
87,63,2,2,1.0
87,77,2,2,1.0
87,81,2,2,1.0
95,15,2,2,1.0
95,36,2,2,1.0
95,62,2,2,1.0
95,78,2,2,1.0
95,80,2,2,1.0
95,88,2,2,1.0
95,90,2,2,1.0
95,91,2,2,1.0
95,93,2,2,1.0
99,17,2,2,1.0
99,74,2,2,1.0
99,88,2,2,1.0
99,90,2,2,1.0
02,00,1,1,1.0
02,01,1,1,1.0
02,09,1,1,1.0
02,12,1,1,1.0
02,14,1,1,1.0
02,22,1,1,1.0
02,23,1,1,1.0
02,24,1,1,1.0
02,27,1,1,1.0
02,33,1,1,1.0
02,35,1,1,1.0
02,36,1,1,1.0
02,41,1,1,1.0
02,52,1,1,1.0
02,53,1,1,1.0
02,57,1,1,1.0
02,58,1,1,1.0
02,59,1,1,1.0
02,69,1,1,1.0
02,70,1,1,1.0
02,73,1,1,1.0
02,78,1,1,1.0
02,81,1,1,1.0
02,86,1,1,1.0
02,92,1,1,1.0
07,00,1,1,1.0
07,01,1,1,1.0
07,07,1,1,1.0
07,16,1,1,1.0
07,19,1,1,1.0
07,22,1,1,1.0
07,24,1,1,1.0
07,26,1,1,1.0
07,27,1,1,1.0
07,31,1,1,1.0
07,32,1,1,1.0
07,33,1,1,1.0
07,37,1,1,1.0
07,44,1,1,1.0
07,46,1,1,1.0
07,58,1,1,1.0
07,60,1,1,1.0
07,65,1,1,1.0
07,70,1,1,1.0
07,82,1,1,1.0
07,84,1,1,1.0
07,86,1,1,1.0
07,88,1,1,1.0
07,91,1,1,1.0
07,95,1,1,1.0
07,99,1,1,1.0
11,02,1,1,1.0
11,07,1,1,1.0
11,11,1,1,1.0
11,12,1,1,1.0
11,13,1,1,1.0
11,15,1,1,1.0
11,16,1,1,1.0
11,19,1,1,1.0
11,27,1,1,1.0
11,33,1,1,1.0
11,36,1,1,1.0
11,40,1,1,1.0
11,45,1,1,1.0
11,50,1,1,1.0
11,54,1,1,1.0
11,63,1,1,1.0
11,66,1,1,1.0
11,72,1,1,1.0
11,73,1,1,1.0
11,81,1,1,1.0
11,93,1,1,1.0
11,94,1,1,1.0
11,96,1,1,1.0
11,97,1,1,1.0
18,00,1,1,1.0
18,04,1,1,1.0
18,18,1,1,1.0
18,24,1,1,1.0
18,27,1,1,1.0
18,28,1,1,1.0
18,33,1,1,1.0
18,34,1,1,1.0
18,35,1,1,1.0
18,46,1,1,1.0
18,47,1,1,1.0
18,52,1,1,1.0
18,58,1,1,1.0
18,61,1,1,1.0
18,63,1,1,1.0
18,66,1,1,1.0
18,77,1,1,1.0
18,78,1,1,1.0
18,81,1,1,1.0
18,83,1,1,1.0
18,87,1,1,1.0
18,90,1,1,1.0
31,01,1,1,1.0
31,02,1,1,1.0
31,09,1,1,1.0
31,12,1,1,1.0
31,17,1,1,1.0
31,19,1,1,1.0
31,26,1,1,1.0
31,29,1,1,1.0
31,32,1,1,1.0
31,36,1,1,1.0
31,43,1,1,1.0
31,50,1,1,1.0
31,53,1,1,1.0
31,56,1,1,1.0
31,58,1,1,1.0
31,60,1,1,1.0
31,68,1,1,1.0
31,73,1,1,1.0
31,83,1,1,1.0
31,86,1,1,1.0
31,89,1,1,1.0
31,92,1,1,1.0
31,96,1,1,1.0
41,02,1,1,1.0
41,14,1,1,1.0
41,15,1,1,1.0
41,21,1,1,1.0
41,25,1,1,1.0
41,29,1,1,1.0
41,30,1,1,1.0
41,40,1,1,1.0
41,45,1,1,1.0
41,49,1,1,1.0
41,50,1,1,1.0
41,51,1,1,1.0
41,53,1,1,1.0
41,56,1,1,1.0
41,61,1,1,1.0
41,65,1,1,1.0
41,66,1,1,1.0
41,71,1,1,1.0
41,72,1,1,1.0
41,83,1,1,1.0
41,91,1,1,1.0
41,94,1,1,1.0
41,97,1,1,1.0
41,99,1,1,1.0
73,00,1,1,1.0
73,01,1,1,1.0
73,10,1,1,1.0
73,12,1,1,1.0
73,14,1,1,1.0
73,17,1,1,1.0
73,19,1,1,1.0
73,24,1,1,1.0
73,30,1,1,1.0
73,34,1,1,1.0
73,37,1,1,1.0
73,42,1,1,1.0
73,49,1,1,1.0
73,50,1,1,1.0
73,53,1,1,1.0
73,56,1,1,1.0
73,57,1,1,1.0
73,58,1,1,1.0
73,65,1,1,1.0
73,72,1,1,1.0
73,74,1,1,1.0
73,76,1,1,1.0
73,88,1,1,1.0
73,92,1,1,1.0
73,93,1,1,1.0
79,27,6,7,0.8571428571428571
28,97,4,5,0.8
47,67,4,5,0.8
47,77,4,5,0.8
47,86,4,5,0.8
48,07,4,5,0.8
48,57,4,5,0.8
52,42,4,5,0.8
52,62,4,5,0.8
53,30,4,5,0.8
53,41,4,5,0.8
53,83,4,5,0.8
55,13,4,5,0.8
55,15,4,5,0.8
55,52,4,5,0.8
59,78,4,5,0.8
59,94,4,5,0.8
78,73,4,5,0.8
86,24,4,5,0.8
86,74,4,5,0.8
88,92,4,5,0.8
94,24,4,5,0.8
01,64,7,9,0.7777777777777778
12,32,3,4,0.75
12,42,3,4,0.75
12,57,3,4,0.75
16,02,3,4,0.75
16,45,3,4,0.75
16,85,3,4,0.75
16,87,3,4,0.75
16,92,3,4,0.75
24,07,3,4,0.75
24,60,3,4,0.75
24,68,3,4,0.75
25,07,3,4,0.75
25,61,3,4,0.75
25,66,3,4,0.75
34,38,3,4,0.75
34,68,3,4,0.75
44,43,3,4,0.75
44,62,3,4,0.75
44,63,3,4,0.75
44,72,3,4,0.75
44,80,3,4,0.75
45,13,3,4,0.75
45,22,3,4,0.75
45,44,3,4,0.75
45,51,3,4,0.75
45,56,3,4,0.75
45,85,3,4,0.75
60,25,3,4,0.75
60,31,3,4,0.75
60,69,3,4,0.75
60,95,3,4,0.75
61,22,3,4,0.75
61,31,3,4,0.75
61,40,3,4,0.75
61,43,3,4,0.75
61,52,3,4,0.75
61,73,3,4,0.75
61,95,3,4,0.75
62,02,3,4,0.75
62,23,3,4,0.75
62,30,3,4,0.75
62,83,3,4,0.75
62,87,3,4,0.75
63,02,3,4,0.75
63,10,3,4,0.75
63,26,3,4,0.75
63,49,3,4,0.75
63,71,3,4,0.75
63,77,3,4,0.75
67,18,3,4,0.75
67,44,3,4,0.75
67,61,3,4,0.75
67,94,3,4,0.75
77,15,3,4,0.75
77,55,3,4,0.75
77,91,3,4,0.75
77,96,3,4,0.75
80,02,3,4,0.75
80,21,3,4,0.75
80,28,3,4,0.75
80,55,3,4,0.75
80,79,3,4,0.75
90,09,3,4,0.75
90,38,3,4,0.75
90,43,3,4,0.75
90,90,3,4,0.75
97,24,3,4,0.75
97,42,3,4,0.75
97,65,3,4,0.75
97,74,3,4,0.75
21,53,5,7,0.7142857142857143
36,53,5,7,0.7142857142857143
36,80,5,7,0.7142857142857143
36,83,5,7,0.7142857142857143
37,52,5,7,0.7142857142857143
39,34,5,7,0.7142857142857143
79,41,5,7,0.7142857142857143
01,16,6,9,0.6666666666666666
01,33,6,9,0.6666666666666666
01,59,6,9,0.6666666666666666
01,62,6,9,0.6666666666666666
01,77,6,9,0.6666666666666666
01,82,6,9,0.6666666666666666
38,94,6,9,0.6666666666666666
83,16,6,9,0.6666666666666666
83,47,6,9,0.6666666666666666
05,30,4,6,0.6666666666666666
05,65,4,6,0.6666666666666666
05,71,4,6,0.6666666666666666
14,33,4,6,0.6666666666666666
14,48,4,6,0.6666666666666666
17,48,4,6,0.6666666666666666
17,71,4,6,0.6666666666666666
23,23,4,6,0.6666666666666666
23,69,4,6,0.6666666666666666
33,16,4,6,0.6666666666666666
33,33,4,6,0.6666666666666666
33,49,4,6,0.6666666666666666
33,54,4,6,0.6666666666666666
33,80,4,6,0.6666666666666666
33,83,4,6,0.6666666666666666
50,95,4,6,0.6666666666666666
00,00,2,3,0.6666666666666666
00,02,2,3,0.6666666666666666
00,05,2,3,0.6666666666666666
00,10,2,3,0.6666666666666666
00,13,2,3,0.6666666666666666
00,20,2,3,0.6666666666666666
00,27,2,3,0.6666666666666666
00,36,2,3,0.6666666666666666
00,38,2,3,0.6666666666666666
00,43,2,3,0.6666666666666666
00,45,2,3,0.6666666666666666
00,48,2,3,0.6666666666666666
00,68,2,3,0.6666666666666666
00,69,2,3,0.6666666666666666
00,81,2,3,0.6666666666666666
00,83,2,3,0.6666666666666666
00,86,2,3,0.6666666666666666
00,89,2,3,0.6666666666666666
00,91,2,3,0.6666666666666666
13,03,2,3,0.6666666666666666
13,04,2,3,0.6666666666666666
13,08,2,3,0.6666666666666666
13,09,2,3,0.6666666666666666
13,10,2,3,0.6666666666666666
13,14,2,3,0.6666666666666666
13,16,2,3,0.6666666666666666
13,26,2,3,0.6666666666666666
13,31,2,3,0.6666666666666666
13,50,2,3,0.6666666666666666
13,51,2,3,0.6666666666666666
13,55,2,3,0.6666666666666666
13,87,2,3,0.6666666666666666
13,88,2,3,0.6666666666666666
13,99,2,3,0.6666666666666666
19,02,2,3,0.6666666666666666
19,16,2,3,0.6666666666666666
19,25,2,3,0.6666666666666666
19,29,2,3,0.6666666666666666
19,31,2,3,0.6666666666666666
19,33,2,3,0.6666666666666666
19,56,2,3,0.6666666666666666
19,61,2,3,0.6666666666666666
19,63,2,3,0.6666666666666666
19,74,2,3,0.6666666666666666
19,79,2,3,0.6666666666666666
19,82,2,3,0.6666666666666666
19,94,2,3,0.6666666666666666
26,08,2,3,0.6666666666666666
26,11,2,3,0.6666666666666666
26,15,2,3,0.6666666666666666
26,16,2,3,0.6666666666666666
26,19,2,3,0.6666666666666666
26,26,2,3,0.6666666666666666
26,34,2,3,0.6666666666666666
26,36,2,3,0.6666666666666666
26,47,2,3,0.6666666666666666
26,57,2,3,0.6666666666666666
26,59,2,3,0.6666666666666666
26,60,2,3,0.6666666666666666
26,65,2,3,0.6666666666666666
26,69,2,3,0.6666666666666666
26,76,2,3,0.6666666666666666
26,77,2,3,0.6666666666666666
26,88,2,3,0.6666666666666666
27,09,2,3,0.6666666666666666
27,10,2,3,0.6666666666666666
27,32,2,3,0.6666666666666666
27,34,2,3,0.6666666666666666
27,43,2,3,0.6666666666666666
27,46,2,3,0.6666666666666666
27,51,2,3,0.6666666666666666
27,75,2,3,0.6666666666666666
27,78,2,3,0.6666666666666666
27,84,2,3,0.6666666666666666
27,87,2,3,0.6666666666666666
27,89,2,3,0.6666666666666666
27,91,2,3,0.6666666666666666
29,00,2,3,0.6666666666666666
29,07,2,3,0.6666666666666666
29,12,2,3,0.6666666666666666
29,13,2,3,0.6666666666666666
29,16,2,3,0.6666666666666666
29,20,2,3,0.6666666666666666
29,30,2,3,0.6666666666666666
29,32,2,3,0.6666666666666666
29,49,2,3,0.6666666666666666
29,56,2,3,0.6666666666666666
29,69,2,3,0.6666666666666666
29,98,2,3,0.6666666666666666
30,16,2,3,0.6666666666666666
30,17,2,3,0.6666666666666666
