value,hits,current_gap,min_gap,max_gap,mean_gap,value_str
61,180,17,1.0,20.0,3.921787709497207,61
25,170,15,1.0,25.0,4.177514792899408,25
68,187,13,1.0,20.0,3.806451612903226,68
16,175,12,1.0,19.0,4.057471264367816,16
3,168,11,1.0,25.0,4.209580838323354,03
50,179,11,1.0,15.0,3.9775280898876404,50
70,157,9,1.0,22.0,4.5576923076923075,70
95,189,9,1.0,18.0,3.7872340425531914,95
97,172,8,1.0,19.0,4.169590643274854,97
10,175,8,1.0,14.0,4.097701149425287,10
54,185,8,1.0,26.0,3.869565217391304,54
65,163,7,1.0,22.0,4.345679012345679,65
1,172,7,1.0,18.0,4.152046783625731,01
35,172,7,1.0,22.0,4.175438596491228,35
81,181,7,1.0,22.0,3.966666666666667,81
30,164,6,1.0,26.0,4.355828220858895,30
84,166,6,1.0,22.0,4.3090909090909095,84
5,172,6,1.0,19.0,4.157894736842105,05
62,189,6,1.0,22.0,3.75531914893617,62
71,157,5,1.0,31.0,4.57051282051282,71
18,160,5,1.0,18.0,4.484276729559748,18
2,170,5,1.0,23.0,4.177514792899408,02
8,174,5,1.0,21.0,4.127167630057803,08
47,177,5,1.0,15.0,4.056818181818182,47
88,180,5,1.0,21.0,3.988826815642458,88
4,153,4,1.0,27.0,4.684210526315789,04
15,157,4,1.0,23.0,4.589743589743589,15
41,157,4,1.0,25.0,4.583333333333333,41
89,167,4,1.0,25.0,4.313253012048193,89
27,176,4,1.0,19.0,4.074285714285714,27
19,177,4,1.0,19.0,4.0625,19
63,178,4,1.0,16.0,3.9887005649717513,63
58,185,4,1.0,17.0,3.885869565217391,58
7,161,3,1.0,29.0,4.4875,07
87,163,3,1.0,22.0,4.425925925925926,87
28,165,3,1.0,23.0,4.359756097560975,28
22,168,3,1.0,24.0,4.275449101796407,22
74,168,3,1.0,20.0,4.299401197604791,74
99,174,3,1.0,18.0,4.08092485549133,99
21,175,3,1.0,25.0,4.126436781609195,21
44,175,3,1.0,15.0,4.126436781609195,44
17,178,3,1.0,24.0,4.0508474576271185,17
31,178,3,1.0,23.0,4.056497175141243,31
69,179,3,1.0,19.0,4.033707865168539,69
13,195,3,1.0,17.0,3.685567010309278,13
91,200,3,1.0,15.0,3.6030150753768844,91
20,153,2,1.0,24.0,4.657894736842105,20
0,156,2,1.0,19.0,4.625806451612903,00
85,157,2,1.0,24.0,4.589743589743589,85
26,162,2,1.0,37.0,4.447204968944099,26
43,165,2,1.0,20.0,4.371951219512195,43
38,166,2,1.0,21.0,4.327272727272727,38
11,167,2,1.0,17.0,4.331325301204819,11
34,169,2,1.0,29.0,4.255952380952381,34
39,171,2,1.0,21.0,4.223529411764706,39
48,171,2,1.0,18.0,4.211764705882353,48
66,171,2,1.0,16.0,4.211764705882353,66
80,171,2,1.0,30.0,4.188235294117647,80
49,177,2,1.0,18.0,4.079545454545454,49
51,177,2,1.0,23.0,4.045454545454546,51
60,186,2,1.0,21.0,3.8594594594594596,60
9,191,2,1.0,16.0,3.7263157894736842,09
29,154,1,1.0,22.0,4.699346405228758,29
37,155,1,1.0,25.0,4.675324675324675,37
40,160,1,1.0,20.0,4.515723270440252,40
93,160,1,1.0,18.0,4.484276729559748,93
33,162,1,1.0,22.0,4.447204968944099,33
96,164,1,1.0,24.0,4.404907975460123,96
82,165,1,1.0,21.0,4.335365853658536,82
23,166,1,1.0,23.0,4.357575757575757,23
67,166,1,1.0,17.0,4.351515151515152,67
36,173,1,1.0,18.0,4.180232558139535,36
42,174,1,1.0,19.0,4.104046242774566,42
46,175,1,1.0,21.0,4.132183908045977,46
32,176,1,1.0,22.0,4.097142857142857,32
53,180,1,1.0,31.0,4.022346368715084,53
94,184,1,1.0,17.0,3.92896174863388,94
92,191,1,1.0,18.0,3.7842105263157895,92
55,148,0,1.0,22.0,4.904761904761905,55
59,151,0,1.0,23.0,4.806666666666667,59
98,159,0,1.0,21.0,4.563291139240507,98
56,162,0,1.0,18.0,4.409937888198757,56
76,169,0,1.0,26.0,4.273809523809524,76
78,169,0,1.0,20.0,4.1726190476190474,78
72,170,0,1.0,30.0,4.266272189349112,72
12,171,0,1.0,18.0,4.2176470588235295,12
6,172,0,1.0,25.0,4.192982456140351,06
79,173,0,1.0,22.0,4.180232558139535,79
86,173,0,1.0,17.0,4.180232558139535,86
45,174,0,1.0,18.0,4.144508670520231,45
24,176,0,1.0,22.0,4.114285714285714,24
90,176,0,1.0,23.0,4.12,90
73,177,0,1.0,28.0,4.0852272727272725,73
52,180,0,1.0,18.0,4.011173184357542,52
57,180,0,1.0,21.0,4.027932960893855,57
83,180,0,1.0,15.0,4.016759776536313,83
14,183,0,1.0,20.0,3.9615384615384617,14
64,185,0,1.0,17.0,3.880434782608696,64
75,185,0,1.0,16.0,3.875,75
77,186,0,1.0,16.0,3.8972972972972975,77
