"mode","number","number_str","hit_count","last_seen","current_gap","min_gap","mean_gap","median_gap","max_gap","last_10_intervals","rhythm_pressure"
"de",15,"15",0,"",388,"","","","","",""
"de",56,"56",0,"",388,"","","","","",""
"de",58,"58",0,"",388,"","","","","",""
"de",98,"98",0,"",388,"","","","","",""
"de",31,"31",1,"2025-09-10",358,"","","","","",""
"de",7,"07",1,"2025-09-14",354,"","","","","",""
"de",73,"73",1,"2025-10-29",309,"","","","","",""
"de",2,"02",1,"2025-11-06",301,"","","","","",""
"de",27,"27",3,"2026-01-13",233,47.0,72.5,72.5,98.0,"98|47",3.2138
"de",86,"86",5,"2026-01-21",225,2.0,32.75,38.0,53.0,"53|28|48|2",6.8702
"de",62,"62",4,"2026-01-24",222,9.0,33.3333,16.0,75.0,"9|75|16",6.66
"de",74,"74",2,"2026-01-26",220,96.0,96.0,96.0,96.0,"96",2.2917
"de",77,"77",4,"2026-02-13",202,5.0,60.6667,7.0,170.0,"170|7|5",3.3297
"de",30,"30",3,"2026-02-14",201,20.0,84.0,84.0,148.0,"148|20",2.3929
"de",49,"49",2,"2026-03-06",181,62.0,62.0,62.0,62.0,"62",2.9194
"de",95,"95",2,"2026-03-19",168,136.0,136.0,136.0,136.0,"136",1.2353
"de",24,"24",4,"2026-03-20",167,8.0,52.3333,54.0,95.0,"95|54|8",3.1911
"de",46,"46",3,"2026-03-22",165,4.0,94.0,94.0,184.0,"4|184",1.7553
"de",29,"29",3,"2026-03-24",163,20.0,55.0,55.0,90.0,"20|90",2.9636
"de",88,"88",5,"2026-03-29",158,4.0,46.75,34.0,115.0,"37|31|115|4",3.3797
"de",66,"66",2,"2026-04-01",155,164.0,164.0,164.0,164.0,"164",0.9451
"de",6,"06",2,"2026-04-06",150,190.0,190.0,190.0,190.0,"190",0.7895
"de",82,"82",2,"2026-04-07",149,101.0,101.0,101.0,101.0,"101",1.4752
"de",20,"20",2,"2026-04-10",146,147.0,147.0,147.0,147.0,"147",0.9932
"de",35,"35",3,"2026-04-16",140,95.0,113.5,113.5,132.0,"95|132",1.2335
"de",48,"48",5,"2026-04-22",134,13.0,27.5,29.0,39.0,"32|26|13|39",4.8727
"de",76,"76",3,"2026-04-24",132,3.0,82.0,82.0,161.0,"161|3",1.6098
"de",59,"59",5,"2026-04-27",129,8.0,53.75,58.5,90.0,"90|72|8|45",2.4
"de",75,"75",3,"2026-04-30",126,77.0,130.5,130.5,184.0,"184|77",0.9655
"de",64,"64",3,"2026-05-03",123,34.0,95.5,95.5,157.0,"157|34",1.288
"de",12,"12",4,"2026-05-05",121,72.0,83.0,83.0,94.0,"94|83|72",1.4578
"de",41,"41",1,"2026-05-06",120,"","","","","",""
"de",40,"40",2,"2026-05-07",119,209.0,209.0,209.0,209.0,"209",0.5694
"de",92,"92",7,"2026-05-09",117,8.0,42.3333,42.5,87.0,"65|9|28|8|57|87",2.7638
"de",69,"69",3,"2026-05-14",112,15.0,29.0,29.0,43.0,"43|15",3.8621
"de",81,"81",3,"2026-05-25",101,94.0,108.0,108.0,122.0,"122|94",0.9352
"de",50,"50",6,"2026-05-28",98,11.0,56.4,45.0,146.0,"30|11|45|146|50",1.7376
"de",93,"93",7,"2026-06-07",88,2.0,47.6667,49.5,98.0,"12|2|98|26|75|73",1.8462
"de",5,"05",6,"2026-06-08",87,1.0,53.0,17.0,154.0,"1|17|85|8|154",1.6415
"de",8,"08",5,"2026-06-10",85,15.0,60.0,60.5,104.0,"15|42|79|104",1.4167
"de",14,"14",6,"2026-06-13",82,1.0,43.6,53.0,82.0,"1|82|53|23|59",1.8807
"de",84,"84",3,"2026-06-16",79,30.0,90.5,90.5,151.0,"151|30",0.8729
"de",3,"03",2,"2026-06-17",78,207.0,207.0,207.0,207.0,"207",0.3768
"de",32,"32",3,"2026-06-18",77,36.0,41.5,41.5,47.0,"36|47",1.8554
"de",55,"55",5,"2026-06-19",76,12.0,53.5,52.0,98.0,"98|41|12|63",1.4206
"de",36,"36",7,"2026-06-22",73,5.0,44.1667,45.5,87.0,"73|9|5|72|87|19",1.6528
"de",51,"51",5,"2026-06-24",71,15.0,39.25,42.0,58.0,"48|58|36|15",1.8089
"de",4,"04",5,"2026-06-26",69,8.0,53.75,34.0,139.0,"139|35|8|33",1.2837
"de",53,"53",5,"2026-06-27",68,25.0,55.25,50.0,96.0,"25|74|96|26",1.2308
"de",52,"52",5,"2026-06-28",67,46.0,76.25,77.5,104.0,"46|59|96|104",0.8787
"de",65,"65",3,"2026-07-03",62,27.0,133.5,133.5,240.0,"240|27",0.4644
"de",87,"87",2,"2026-07-04",61,108.0,108.0,108.0,108.0,"108",0.5648
"de",71,"71",3,"2026-07-05",60,41.0,164.0,164.0,287.0,"41|287",0.3659
"de",97,"97",4,"2026-07-06",59,39.0,74.0,77.0,106.0,"39|106|77",0.7973
"de",89,"89",3,"2026-07-08",57,26.0,91.0,91.0,156.0,"156|26",0.6264
"de",85,"85",3,"2026-07-09",56,49.0,76.0,76.0,103.0,"103|49",0.7368
