"mode","number","number_str","last_seen","current_gap","hit_count","mean_gap","max_gap"
"prize1",39,"39","2025-06-17",447,27,68.4231,550
"prize1",19,"19","2025-07-04",430,18,118.1176,563
"prize1",15,"15","2025-07-10",424,18,114.2941,262
"prize1",63,"63","2025-08-24",379,20,101.5263,271
"prize1",84,"84","2025-09-15",357,17,122.625,429
"prize1",23,"23","2025-09-20",352,20,99.3158,238
"prize1",67,"67","2025-11-06",305,19,109.5556,599
"prize1",36,"36","2025-12-04",277,35,63.0,390
"prize1",25,"25","2025-12-05",276,12,184.9091,384
"prize1",12,"12","2026-01-09",241,24,94.0,374
"prize1",34,"34","2026-01-13",237,25,79.375,295
"prize1",47,"47","2026-01-15",235,30,75.3793,412
"prize1",81,"81","2026-01-27",223,24,96.2609,364
"prize1",98,"98","2026-02-09",210,18,123.6471,325
"prize1",87,"87","2026-02-10",209,25,75.2917,263
"prize1",93,"93","2026-02-11",208,23,95.5,237
"prize1",55,"55","2026-02-13",206,18,121.0588,445
"prize1",22,"22","2026-02-14",205,25,85.375,238
"prize1",69,"69","2026-02-24",195,30,73.2759,297
"prize1",1,"01","2026-02-25",194,15,160.3571,554
"prize1",53,"53","2026-02-26",193,16,146.6,544
"prize1",58,"58","2026-03-10",181,26,79.0,283
"prize1",30,"30","2026-03-12",179,18,118.4706,503
"prize1",21,"21","2026-03-22",169,16,123.0,556
"prize1",94,"94","2026-03-26",165,28,83.7407,315
"prize1",95,"95","2026-03-29",162,25,94.7083,270
"prize1",82,"82","2026-04-04",156,24,93.1739,263
"prize1",35,"35","2026-04-08",152,22,108.381,289
"prize1",18,"18","2026-04-10",150,25,94.75,354
"prize1",9,"09","2026-04-13",147,34,69.4848,293
"prize1",13,"13","2026-04-18",142,33,64.625,230
"prize1",16,"16","2026-04-19",141,30,79.1379,321
"prize1",42,"42","2026-04-21",139,23,84.9091,226
"prize1",91,"91","2026-04-23",137,18,132.2941,468
"prize1",79,"79","2026-04-24",136,48,47.4043,385
"prize1",8,"08","2026-04-26",134,28,83.8519,254
"prize1",38,"38","2026-04-28",132,18,127.8824,489
"prize1",96,"96","2026-05-01",129,22,106.1905,331
"prize1",57,"57","2026-05-11",119,24,97.6957,421
"prize1",24,"24","2026-05-14",116,25,85.6667,381
"prize1",40,"40","2026-05-31",99,25,96.125,278
"prize1",14,"14","2026-06-01",98,19,122.1111,560
"prize1",92,"92","2026-06-02",97,20,121.8421,366
"prize1",66,"66","2026-06-03",96,27,84.3846,252
"prize1",37,"37","2026-06-07",92,18,137.1176,591
"prize1",11,"11","2026-06-09",90,17,133.75,489
"prize1",74,"74","2026-06-10",89,22,91.2857,285
"prize1",5,"05","2026-06-12",87,20,117.0526,432
"prize1",75,"75","2026-06-18",81,32,69.0968,231
"prize1",45,"45","2026-06-19",80,29,79.8214,300
"prize1",32,"32","2026-06-26",73,20,124.2632,333
"prize1",88,"88","2026-06-27",72,26,94.2,311
"prize1",10,"10","2026-06-29",70,25,92.4167,297
"prize1",51,"51","2026-06-30",69,23,107.8182,287
"prize1",54,"54","2026-07-01",68,22,105.4762,384
"prize1",33,"33","2026-07-02",67,30,80.2069,248
"prize1",65,"65","2026-07-03",66,21,93.0,253
"prize1",48,"48","2026-07-04",65,16,135.4,567
"prize1",31,"31","2026-07-05",64,24,97.1304,330
"prize1",3,"03","2026-07-06",63,24,100.087,386
