value,freq,days_hit,max_nhay,value_str
34,40,31,3,34
32,40,29,4,32
83,39,32,3,83
64,36,32,3,64
17,35,28,3,17
33,35,26,4,33
6,34,31,3,06
90,34,31,2,90
52,34,30,2,52
50,33,32,2,50
99,33,27,3,99
40,33,26,2,40
95,32,30,2,95
13,32,28,2,13
54,32,28,2,54
77,31,29,2,77
11,31,27,3,11
62,31,27,2,62
46,31,26,2,46
92,31,25,3,92
19,30,28,2,19
35,30,27,2,35
60,30,27,2,60
61,30,27,2,61
27,30,26,2,27
38,30,26,3,38
89,30,26,3,89
24,30,25,3,24
81,30,24,2,81
20,30,23,2,20
37,29,27,2,37
68,29,26,2,68
93,29,26,2,93
94,29,26,2,94
51,29,25,2,51
67,29,24,2,67
48,28,26,2,48
70,28,26,2,70
80,28,25,2,80
18,28,24,3,18
47,28,24,3,47
63,28,24,3,63
88,28,24,2,88
96,28,24,2,96
87,28,23,3,87
4,27,25,2,04
0,27,24,2,00
26,27,24,2,26
36,27,24,2,36
53,27,24,2,53
86,27,24,3,86
21,27,23,2,21
42,27,23,2,42
22,27,22,2,22
31,27,22,2,31
39,27,21,3,39
84,26,25,2,84
75,26,24,2,75
49,26,21,2,49
3,25,23,2,03
69,25,23,2,69
5,25,22,3,05
29,25,22,2,29
15,25,21,2,15
44,25,21,3,44
55,25,21,2,55
8,24,22,2,08
9,24,22,2,09
79,24,22,2,79
43,24,21,2,43
72,24,21,2,72
65,24,20,2,65
76,23,23,1,76
10,23,22,2,10
12,23,22,2,12
57,23,22,2,57
82,23,22,2,82
85,23,22,2,85
73,23,21,2,73
56,23,20,2,56
91,23,19,2,91
97,23,19,3,97
2,22,20,2,02
7,21,20,2,07
66,21,20,2,66
14,21,18,2,14
45,21,18,2,45
41,20,19,2,41
71,20,19,2,71
23,20,17,2,23
59,20,17,2,59
78,19,18,2,78
28,19,17,2,28
30,19,17,2,30
98,19,16,2,98
74,18,17,2,74
1,18,16,2,01
16,17,15,2,16
25,16,14,2,25
58,15,15,1,58
