"period_kind","period_key","group_type","group_value","freq","rank_in_period_group"
"day","2026-09-19","head",7,9,1
"day","2026-09-19","head",5,6,2
"day","2026-09-19","head",1,3,3
"day","2026-09-19","head",8,3,3
"day","2026-09-19","head",9,2,4
"day","2026-09-19","head",0,1,5
"day","2026-09-19","head",2,1,5
"day","2026-09-19","head",4,1,5
"day","2026-09-19","head",6,1,5
"day","2026-09-19","tail",2,4,1
"day","2026-09-19","tail",4,4,1
"day","2026-09-19","tail",5,4,1
"day","2026-09-19","tail",6,4,1
"day","2026-09-19","tail",3,3,2
"day","2026-09-19","tail",9,3,2
"day","2026-09-19","tail",7,2,3
"day","2026-09-19","tail",8,2,3
"day","2026-09-19","tail",0,1,4
"day","2026-09-19","total",0,4,1
"day","2026-09-19","total",6,4,1
"day","2026-09-19","total",9,4,1
"day","2026-09-19","total",1,3,2
"day","2026-09-19","total",4,3,2
"day","2026-09-19","total",5,3,2
"day","2026-09-19","total",2,2,3
"day","2026-09-19","total",3,2,3
"day","2026-09-19","total",7,2,3
"week","2026-W38","head",7,22,1
"week","2026-W38","head",3,20,2
"week","2026-W38","head",4,18,3
"week","2026-W38","head",5,18,3
"week","2026-W38","head",2,17,4
"week","2026-W38","head",8,17,4
"week","2026-W38","head",9,17,4
"week","2026-W38","head",1,16,5
"week","2026-W38","head",6,10,6
"week","2026-W38","head",0,7,7
"week","2026-W38","tail",2,23,1
"week","2026-W38","tail",6,23,1
"week","2026-W38","tail",9,22,2
"week","2026-W38","tail",7,18,3
"week","2026-W38","tail",4,16,4
"week","2026-W38","tail",3,15,5
"week","2026-W38","tail",8,14,6
"week","2026-W38","tail",1,11,7
"week","2026-W38","tail",5,11,7
"week","2026-W38","tail",0,9,8
"week","2026-W38","total",4,22,1
"week","2026-W38","total",0,21,2
"week","2026-W38","total",2,21,2
"week","2026-W38","total",1,17,3
"week","2026-W38","total",6,17,3
"week","2026-W38","total",5,16,4
"week","2026-W38","total",9,16,4
"week","2026-W38","total",3,12,5
"week","2026-W38","total",8,11,6
"week","2026-W38","total",7,9,7
"month","2026-09","head",3,62,1
"month","2026-09","head",9,58,2
"month","2026-09","head",4,57,3
"month","2026-09","head",7,57,3
"month","2026-09","head",2,52,4
"month","2026-09","head",1,48,5
"month","2026-09","head",8,48,5
"month","2026-09","head",5,46,6
"month","2026-09","head",6,44,7
"month","2026-09","head",0,41,8
"month","2026-09","tail",7,63,1
"month","2026-09","tail",2,60,2
"month","2026-09","tail",3,55,3
"month","2026-09","tail",6,55,3
"month","2026-09","tail",9,55,3
"month","2026-09","tail",4,54,4
"month","2026-09","tail",0,48,5
"month","2026-09","tail",8,46,6
"month","2026-09","tail",1,41,7
"month","2026-09","tail",5,36,8
"month","2026-09","total",2,67,1
"month","2026-09","total",4,59,2
"month","2026-09","total",8,55,3
"month","2026-09","total",0,54,4
"month","2026-09","total",6,51,5
"month","2026-09","total",5,47,6
"month","2026-09","total",3,46,7
"month","2026-09","total",9,46,7
"month","2026-09","total",7,45,8
"month","2026-09","total",1,43,9
"year","2026","head",9,739,1
"year","2026","head",5,720,2
"year","2026","head",3,717,3
"year","2026","head",6,708,4
"year","2026","head",8,708,4
"year","2026","head",1,705,5
"year","2026","head",4,692,6
"year","2026","head",2,664,7
"year","2026","head",0,658,8
"year","2026","head",7,655,9
"year","2026","tail",2,730,1
"year","2026","tail",1,728,2
"year","2026","tail",7,724,3
"year","2026","tail",4,723,4
"year","2026","tail",0,715,5
"year","2026","tail",3,705,6
"year","2026","tail",9,677,7
"year","2026","tail",5,658,8
"year","2026","tail",8,658,8
"year","2026","tail",6,648,9
"year","2026","total",9,734,1
"year","2026","total",4,716,2
"year","2026","total",5,707,3
"year","2026","total",0,702,4
"year","2026","total",6,700,5
"year","2026","total",1,698,6
"year","2026","total",7,687,7
"year","2026","total",3,676,8
"year","2026","total",2,675,9
"year","2026","total",8,671,10
