"period_kind","period_key","group_type","group_value","freq","rank_in_period_group"
"day","2020-01-01","head",6,5,1
"day","2020-01-01","head",5,4,2
"day","2020-01-01","head",8,4,2
"day","2020-01-01","head",9,3,3
"day","2020-01-01","head",0,2,4
"day","2020-01-01","head",1,2,4
"day","2020-01-01","head",2,2,4
"day","2020-01-01","head",3,2,4
"day","2020-01-01","head",4,2,4
"day","2020-01-01","head",7,1,5
"day","2020-01-01","tail",1,4,1
"day","2020-01-01","tail",3,4,1
"day","2020-01-01","tail",4,4,1
"day","2020-01-01","tail",6,3,2
"day","2020-01-01","tail",8,3,2
"day","2020-01-01","tail",9,3,2
"day","2020-01-01","tail",0,2,3
"day","2020-01-01","tail",7,2,3
"day","2020-01-01","tail",2,1,4
"day","2020-01-01","tail",5,1,4
"day","2020-01-01","total",0,5,1
"day","2020-01-01","total",3,5,1
"day","2020-01-01","total",1,3,2
"day","2020-01-01","total",5,3,2
"day","2020-01-01","total",9,3,2
"day","2020-01-01","total",6,2,3
"day","2020-01-01","total",7,2,3
"day","2020-01-01","total",8,2,3
"day","2020-01-01","total",2,1,4
"day","2020-01-01","total",4,1,4
"day","2020-01-02","head",1,6,1
"day","2020-01-02","head",8,5,2
"day","2020-01-02","head",0,4,3
"day","2020-01-02","head",3,3,4
"day","2020-01-02","head",7,3,4
"day","2020-01-02","head",4,2,5
"day","2020-01-02","head",5,2,5
"day","2020-01-02","head",2,1,6
"day","2020-01-02","head",6,1,6
"day","2020-01-02","tail",8,5,1
"day","2020-01-02","tail",1,4,2
"day","2020-01-02","tail",4,4,2
"day","2020-01-02","tail",6,4,2
"day","2020-01-02","tail",9,4,2
"day","2020-01-02","tail",2,3,3
"day","2020-01-02","tail",7,2,4
"day","2020-01-02","tail",0,1,5
"day","2020-01-02","total",1,5,1
"day","2020-01-02","total",4,5,1
"day","2020-01-02","total",3,4,2
"day","2020-01-02","total",5,4,2
"day","2020-01-02","total",0,3,3
"day","2020-01-02","total",2,2,4
"day","2020-01-02","total",9,2,4
"day","2020-01-02","total",6,1,5
"day","2020-01-02","total",7,1,5
"day","2020-01-03","head",3,7,1
"day","2020-01-03","head",8,7,1
"day","2020-01-03","head",0,4,2
"day","2020-01-03","head",7,3,3
"day","2020-01-03","head",5,2,4
"day","2020-01-03","head",6,2,4
"day","2020-01-03","head",2,1,5
"day","2020-01-03","head",4,1,5
"day","2020-01-03","tail",3,5,1
"day","2020-01-03","tail",6,4,2
"day","2020-01-03","tail",7,4,2
"day","2020-01-03","tail",0,3,3
"day","2020-01-03","tail",2,3,3
"day","2020-01-03","tail",9,3,3
"day","2020-01-03","tail",8,2,4
"day","2020-01-03","tail",1,1,5
"day","2020-01-03","tail",4,1,5
"day","2020-01-03","tail",5,1,5
"day","2020-01-03","total",0,5,1
"day","2020-01-03","total",2,4,2
"day","2020-01-03","total",6,4,2
"day","2020-01-03","total",5,3,3
"day","2020-01-03","total",7,3,3
"day","2020-01-03","total",1,2,4
"day","2020-01-03","total",3,2,4
"day","2020-01-03","total",4,2,4
"day","2020-01-03","total",9,2,4
"day","2020-01-04","head",1,5,1
"day","2020-01-04","head",0,4,2
"day","2020-01-04","head",7,3,3
"day","2020-01-04","head",8,3,3
"day","2020-01-04","head",9,3,3
"day","2020-01-04","head",2,2,4
"day","2020-01-04","head",4,2,4
"day","2020-01-04","head",5,2,4
"day","2020-01-04","head",6,2,4
"day","2020-01-04","head",3,1,5
"day","2020-01-04","tail",9,7,1
"day","2020-01-04","tail",7,5,2
"day","2020-01-04","tail",0,3,3
"day","2020-01-04","tail",1,3,3
"day","2020-01-04","tail",4,2,4
"day","2020-01-04","tail",5,2,4
"day","2020-01-04","tail",6,2,4
"day","2020-01-04","tail",8,2,4
"day","2020-01-04","tail",3,1,5
"day","2020-01-04","total",6,5,1
"day","2020-01-04","total",7,5,1
"day","2020-01-04","total",2,4,2
"day","2020-01-04","total",8,4,2
"day","2020-01-04","total",0,3,3
"day","2020-01-04","total",3,2,4
"day","2020-01-04","total",9,2,4
"day","2020-01-04","total",1,1,5
"day","2020-01-04","total",4,1,5
"day","2020-01-05","head",5,4,1
"day","2020-01-05","head",6,4,1
"day","2020-01-05","head",7,4,1
"day","2020-01-05","head",4,3,2
"day","2020-01-05","head",8,3,2
"day","2020-01-05","head",9,3,2
"day","2020-01-05","head",0,2,3
"day","2020-01-05","head",2,2,3
"day","2020-01-05","head",1,1,4
"day","2020-01-05","head",3,1,4
"day","2020-01-05","tail",4,5,1
"day","2020-01-05","tail",3,4,2
"day","2020-01-05","tail",2,3,3
"day","2020-01-05","tail",6,3,3
"day","2020-01-05","tail",9,3,3
"day","2020-01-05","tail",0,2,4
"day","2020-01-05","tail",1,2,4
"day","2020-01-05","tail",5,2,4
"day","2020-01-05","tail",8,2,4
"day","2020-01-05","tail",7,1,5
"day","2020-01-05","total",0,7,1
"day","2020-01-05","total",1,4,2
"day","2020-01-05","total",3,4,2
"day","2020-01-05","total",9,3,3
"day","2020-01-05","total",2,2,4
"day","2020-01-05","total",4,2,4
"day","2020-01-05","total",7,2,4
"day","2020-01-05","total",8,2,4
"day","2020-01-05","total",6,1,5
"day","2020-01-06","head",1,5,1
"day","2020-01-06","head",4,5,1
"day","2020-01-06","head",2,4,2
"day","2020-01-06","head",3,3,3
"day","2020-01-06","head",7,3,3
"day","2020-01-06","head",8,3,3
"day","2020-01-06","head",0,1,4
"day","2020-01-06","head",5,1,4
"day","2020-01-06","head",6,1,4
"day","2020-01-06","head",9,1,4
"day","2020-01-06","tail",4,6,1
