"period_kind","period_key","group_type","group_value","freq","rank_in_period_group"
"month","2020-01","head",8,88,1
"month","2020-01","head",7,83,2
"month","2020-01","head",1,76,3
"month","2020-01","head",4,75,4
"month","2020-01","head",9,74,5
"month","2020-01","head",3,73,6
"month","2020-01","head",0,66,7
"month","2020-01","head",5,66,7
"month","2020-01","head",2,65,8
"month","2020-01","head",6,63,9
"month","2020-01","tail",1,91,1
"month","2020-01","tail",4,83,2
"month","2020-01","tail",8,78,3
"month","2020-01","tail",9,76,4
"month","2020-01","tail",3,73,5
"month","2020-01","tail",7,70,6
"month","2020-01","tail",0,69,7
"month","2020-01","tail",2,66,8
"month","2020-01","tail",5,62,9
"month","2020-01","tail",6,61,10
"month","2020-01","total",3,88,1
"month","2020-01","total",1,77,2
"month","2020-01","total",2,77,2
"month","2020-01","total",6,77,2
"month","2020-01","total",0,73,3
"month","2020-01","total",9,73,3
"month","2020-01","total",8,69,4
"month","2020-01","total",7,67,5
"month","2020-01","total",5,65,6
"month","2020-01","total",4,63,7
"month","2020-02","head",6,91,1
"month","2020-02","head",7,90,2
"month","2020-02","head",4,89,3
"month","2020-02","head",0,83,4
"month","2020-02","head",9,82,5
"month","2020-02","head",1,79,6
"month","2020-02","head",5,73,7
"month","2020-02","head",8,72,8
"month","2020-02","head",3,70,9
"month","2020-02","head",2,54,10
"month","2020-02","tail",9,86,1
"month","2020-02","tail",3,85,2
"month","2020-02","tail",0,82,3
"month","2020-02","tail",1,79,4
"month","2020-02","tail",2,79,4
"month","2020-02","tail",5,77,5
"month","2020-02","tail",6,77,5
"month","2020-02","tail",8,75,6
"month","2020-02","tail",7,74,7
"month","2020-02","tail",4,69,8
"month","2020-02","total",5,100,1
"month","2020-02","total",4,87,2
"month","2020-02","total",7,86,3
"month","2020-02","total",2,82,4
"month","2020-02","total",0,80,5
"month","2020-02","total",3,78,6
"month","2020-02","total",6,74,7
"month","2020-02","total",1,68,8
"month","2020-02","total",8,67,9
"month","2020-02","total",9,61,10
"month","2020-03","head",1,105,1
"month","2020-03","head",9,97,2
"month","2020-03","head",7,95,3
"month","2020-03","head",5,88,4
"month","2020-03","head",0,86,5
"month","2020-03","head",8,82,6
"month","2020-03","head",2,77,7
"month","2020-03","head",6,73,8
"month","2020-03","head",3,68,9
"month","2020-03","head",4,66,10
"month","2020-03","tail",4,97,1
"month","2020-03","tail",1,91,2
"month","2020-03","tail",5,90,3
"month","2020-03","tail",3,89,4
"month","2020-03","tail",8,89,4
"month","2020-03","tail",9,84,5
"month","2020-03","tail",2,81,6
"month","2020-03","tail",6,75,7
"month","2020-03","tail",7,71,8
"month","2020-03","tail",0,70,9
"month","2020-03","total",6,107,1
"month","2020-03","total",0,95,2
"month","2020-03","total",3,91,3
"month","2020-03","total",1,87,4
"month","2020-03","total",4,87,4
"month","2020-03","total",9,82,5
"month","2020-03","total",2,77,6
"month","2020-03","total",5,75,7
"month","2020-03","total",8,73,8
"month","2020-03","total",7,63,9
"month","2020-04","head",0,25,1
"month","2020-04","head",8,24,2
"month","2020-04","head",4,23,3
"month","2020-04","head",6,23,3
"month","2020-04","head",9,23,3
"month","2020-04","head",1,22,4
"month","2020-04","head",7,22,4
"month","2020-04","head",2,19,5
"month","2020-04","head",3,19,5
"month","2020-04","head",5,16,6
"month","2020-04","tail",8,30,1
"month","2020-04","tail",3,26,2
"month","2020-04","tail",2,25,3
"month","2020-04","tail",0,24,4
"month","2020-04","tail",1,22,5
"month","2020-04","tail",6,21,6
"month","2020-04","tail",5,19,7
"month","2020-04","tail",7,18,8
"month","2020-04","tail",9,18,8
"month","2020-04","tail",4,13,9
"month","2020-04","total",9,28,1
"month","2020-04","total",7,26,2
"month","2020-04","total",3,25,3
"month","2020-04","total",6,25,3
"month","2020-04","total",0,24,4
"month","2020-04","total",4,23,5
"month","2020-04","total",8,22,6
"month","2020-04","total",5,20,7
"month","2020-04","total",1,12,8
"month","2020-04","total",2,11,9
"month","2020-05","head",4,95,1
"month","2020-05","head",8,92,2
"month","2020-05","head",1,91,3
"month","2020-05","head",7,91,3
"month","2020-05","head",3,84,4
"month","2020-05","head",6,83,5
"month","2020-05","head",2,80,6
"month","2020-05","head",5,77,7
"month","2020-05","head",9,75,8
"month","2020-05","head",0,69,9
"month","2020-05","tail",4,97,1
"month","2020-05","tail",5,97,1
"month","2020-05","tail",1,93,2
"month","2020-05","tail",2,89,3
"month","2020-05","tail",8,89,3
"month","2020-05","tail",3,82,4
"month","2020-05","tail",0,77,5
"month","2020-05","tail",7,76,6
"month","2020-05","tail",9,73,7
"month","2020-05","tail",6,64,8
"month","2020-05","total",7,94,1
"month","2020-05","total",2,93,2
"month","2020-05","total",6,89,3
"month","2020-05","total",0,88,4
"month","2020-05","total",8,88,4
"month","2020-05","total",4,84,5
"month","2020-05","total",1,80,6
"month","2020-05","total",9,79,7
"month","2020-05","total",3,75,8
"month","2020-05","total",5,67,9
"month","2020-06","head",3,112,1
"month","2020-06","head",0,92,2
"month","2020-06","head",2,85,3
"month","2020-06","head",4,84,4
"month","2020-06","head",5,79,5
"month","2020-06","head",7,79,5
"month","2020-06","head",9,77,6
"month","2020-06","head",1,72,7
"month","2020-06","head",6,72,7
"month","2020-06","head",8,58,8
"month","2020-06","tail",8,93,1
"month","2020-06","tail",9,92,2
"month","2020-06","tail",0,90,3
"month","2020-06","tail",7,86,4
"month","2020-06","tail",3,84,5
"month","2020-06","tail",4,81,6
"month","2020-06","tail",2,78,7
"month","2020-06","tail",6,78,7
"month","2020-06","tail",1,74,8
"month","2020-06","tail",5,54,9
"month","2020-06","total",4,89,1
"month","2020-06","total",3,87,2
"month","2020-06","total",9,87,2
"month","2020-06","total",8,83,3
"month","2020-06","total",7,79,4
"month","2020-06","total",0,78,5
"month","2020-06","total",6,78,5
"month","2020-06","total",2,77,6
"month","2020-06","total",5,77,6
"month","2020-06","total",1,75,7
"month","2020-07","head",0,97,1
"month","2020-07","head",1,95,2
"month","2020-07","head",9,95,2
"month","2020-07","head",8,93,3
"month","2020-07","head",5,82,4
"month","2020-07","head",2,81,5
"month","2020-07","head",4,78,6
"month","2020-07","head",3,77,7
"month","2020-07","head",7,76,8
"month","2020-07","head",6,63,9
"month","2020-07","tail",7,96,1
"month","2020-07","tail",2,92,2
"month","2020-07","tail",1,90,3
"month","2020-07","tail",9,84,4
"month","2020-07","tail",6,83,5
"month","2020-07","tail",8,83,5
"month","2020-07","tail",0,81,6
"month","2020-07","tail",5,78,7
"month","2020-07","tail",3,76,8
"month","2020-07","tail",4,74,9
"month","2020-07","total",8,97,1
"month","2020-07","total",5,90,2
"month","2020-07","total",6,90,2
"month","2020-07","total",7,90,2
"month","2020-07","total",0,87,3
"month","2020-07","total",4,80,4
"month","2020-07","total",1,79,5
"month","2020-07","total",2,78,6
"month","2020-07","total",3,73,7
"month","2020-07","total",9,73,7
"month","2020-08","head",0,100,1
"month","2020-08","head",5,95,2
"month","2020-08","head",2,87,3
"month","2020-08","head",4,87,3
"month","2020-08","head",8,87,3
"month","2020-08","head",1,81,4
"month","2020-08","head",3,80,5
