"period_kind","period_key","group_type","group_value","freq","rank_in_period_group"
"week","2025-W33","head",7,29,1
"week","2025-W33","head",8,29,1
"week","2025-W33","head",1,20,2
"week","2025-W33","head",5,20,2
"week","2025-W33","head",3,19,3
"week","2025-W33","head",9,19,3
"week","2025-W33","head",6,16,4
"week","2025-W33","head",4,14,5
"week","2025-W33","head",2,12,6
"week","2025-W33","head",0,11,7
"week","2025-W33","tail",1,24,1
"week","2025-W33","tail",5,22,2
"week","2025-W33","tail",4,21,3
"week","2025-W33","tail",7,21,3
"week","2025-W33","tail",0,18,4
"week","2025-W33","tail",2,17,5
"week","2025-W33","tail",3,17,5
"week","2025-W33","tail",8,17,5
"week","2025-W33","tail",6,16,6
"week","2025-W33","tail",9,16,6
"week","2025-W33","total",8,24,1
"week","2025-W33","total",1,22,2
"week","2025-W33","total",0,20,3
"week","2025-W33","total",4,20,3
"week","2025-W33","total",2,19,4
"week","2025-W33","total",3,19,4
"week","2025-W33","total",5,19,4
"week","2025-W33","total",7,17,5
"week","2025-W33","total",9,16,6
"week","2025-W33","total",6,13,7
"week","2025-W34","head",3,25,1
"week","2025-W34","head",6,23,2
"week","2025-W34","head",0,21,3
"week","2025-W34","head",8,21,3
"week","2025-W34","head",1,19,4
"week","2025-W34","head",5,19,4
"week","2025-W34","head",9,19,4
"week","2025-W34","head",2,15,5
"week","2025-W34","head",4,15,5
"week","2025-W34","head",7,12,6
"week","2025-W34","tail",3,29,1
"week","2025-W34","tail",1,25,2
"week","2025-W34","tail",2,22,3
"week","2025-W34","tail",4,22,3
"week","2025-W34","tail",7,18,4
"week","2025-W34","tail",5,15,5
"week","2025-W34","tail",6,15,5
"week","2025-W34","tail",8,15,5
"week","2025-W34","tail",0,14,6
"week","2025-W34","tail",9,14,6
"week","2025-W34","total",5,25,1
"week","2025-W34","total",0,24,2
"week","2025-W34","total",1,20,3
"week","2025-W34","total",3,20,3
"week","2025-W34","total",8,20,3
"week","2025-W34","total",9,18,4
"week","2025-W34","total",2,17,5
"week","2025-W34","total",4,17,5
"week","2025-W34","total",6,14,6
"week","2025-W34","total",7,14,6
"week","2025-W35","head",0,25,1
"week","2025-W35","head",2,25,1
"week","2025-W35","head",6,25,1
"week","2025-W35","head",4,22,2
"week","2025-W35","head",9,21,3
"week","2025-W35","head",8,18,4
"week","2025-W35","head",5,17,5
"week","2025-W35","head",3,13,6
"week","2025-W35","head",1,12,7
"week","2025-W35","head",7,11,8
"week","2025-W35","tail",2,28,1
"week","2025-W35","tail",6,26,2
"week","2025-W35","tail",7,22,3
"week","2025-W35","tail",3,19,4
"week","2025-W35","tail",9,18,5
"week","2025-W35","tail",0,16,6
"week","2025-W35","tail",1,16,6
"week","2025-W35","tail",5,15,7
"week","2025-W35","tail",8,15,7
"week","2025-W35","tail",4,14,8
"week","2025-W35","total",3,24,1
"week","2025-W35","total",7,24,1
"week","2025-W35","total",9,23,2
"week","2025-W35","total",2,22,3
"week","2025-W35","total",6,19,4
"week","2025-W35","total",0,17,5
"week","2025-W35","total",5,17,5
"week","2025-W35","total",4,16,6
"week","2025-W35","total",8,15,7
"week","2025-W35","total",1,12,8
"week","2025-W36","head",6,24,1
"week","2025-W36","head",0,22,2
"week","2025-W36","head",5,22,2
"week","2025-W36","head",9,20,3
"week","2025-W36","head",4,19,4
"week","2025-W36","head",8,18,5
"week","2025-W36","head",1,17,6
"week","2025-W36","head",3,17,6
"week","2025-W36","head",2,16,7
"week","2025-W36","head",7,14,8
"week","2025-W36","tail",5,26,1
"week","2025-W36","tail",8,22,2
"week","2025-W36","tail",3,21,3
"week","2025-W36","tail",9,20,4
"week","2025-W36","tail",0,18,5
"week","2025-W36","tail",4,18,5
"week","2025-W36","tail",1,17,6
"week","2025-W36","tail",7,17,6
"week","2025-W36","tail",6,16,7
"week","2025-W36","tail",2,14,8
"week","2025-W36","total",5,24,1
"week","2025-W36","total",9,24,1
"week","2025-W36","total",8,23,2
"week","2025-W36","total",6,22,3
"week","2025-W36","total",0,20,4
"week","2025-W36","total",7,17,5
"week","2025-W36","total",2,16,6
"week","2025-W36","total",3,16,6
"week","2025-W36","total",4,15,7
"week","2025-W36","total",1,12,8
"week","2025-W37","head",8,27,1
"week","2025-W37","head",2,26,2
"week","2025-W37","head",6,23,3
"week","2025-W37","head",1,20,4
"week","2025-W37","head",0,19,5
"week","2025-W37","head",3,19,5
"week","2025-W37","head",5,17,6
"week","2025-W37","head",4,14,7
"week","2025-W37","head",7,12,8
"week","2025-W37","head",9,12,8
"week","2025-W37","tail",2,26,1
"week","2025-W37","tail",3,25,2
"week","2025-W37","tail",4,24,3
"week","2025-W37","tail",8,20,4
"week","2025-W37","tail",9,19,5
"week","2025-W37","tail",0,17,6
"week","2025-W37","tail",1,17,6
"week","2025-W37","tail",5,14,7
"week","2025-W37","tail",6,14,7
"week","2025-W37","tail",7,13,8
"week","2025-W37","total",1,29,1
"week","2025-W37","total",5,25,2
"week","2025-W37","total",2,22,3
"week","2025-W37","total",6,19,4
"week","2025-W37","total",7,19,4
"week","2025-W37","total",8,18,5
"week","2025-W37","total",4,17,6
"week","2025-W37","total",9,14,7
"week","2025-W37","total",0,13,8
"week","2025-W37","total",3,13,8
"week","2025-W38","head",2,23,1
"week","2025-W38","head",7,22,2
"week","2025-W38","head",8,22,2
"week","2025-W38","head",4,20,3
"week","2025-W38","head",6,20,3
"week","2025-W38","head",9,19,4
"week","2025-W38","head",3,18,5
"week","2025-W38","head",1,17,6
"week","2025-W38","head",0,15,7
"week","2025-W38","head",5,13,8
"week","2025-W38","tail",3,24,1
"week","2025-W38","tail",4,23,2
"week","2025-W38","tail",2,21,3
"week","2025-W38","tail",0,19,4
"week","2025-W38","tail",6,19,4
"week","2025-W38","tail",9,18,5
"week","2025-W38","tail",1,17,6
"week","2025-W38","tail",5,17,6
"week","2025-W38","tail",8,17,6
"week","2025-W38","tail",7,14,7
"week","2025-W38","total",0,28,1
"week","2025-W38","total",5,22,2
"week","2025-W38","total",1,20,3
"week","2025-W38","total",6,20,3
"week","2025-W38","total",7,19,4
"week","2025-W38","total",4,18,5
"week","2025-W38","total",8,18,5
"week","2025-W38","total",3,16,6
"week","2025-W38","total",2,14,7
"week","2025-W38","total",9,14,7
"week","2025-W39","head",3,30,1
"week","2025-W39","head",8,20,2
"week","2025-W39","head",9,20,2
"week","2025-W39","head",0,19,3
"week","2025-W39","head",6,19,3
"week","2025-W39","head",1,18,4
"week","2025-W39","head",5,18,4
"week","2025-W39","head",7,18,4
"week","2025-W39","head",2,16,5
"week","2025-W39","head",4,11,6
"week","2025-W39","tail",9,25,1
"week","2025-W39","tail",1,20,2
"week","2025-W39","tail",4,20,2
"week","2025-W39","tail",5,20,2
"week","2025-W39","tail",7,19,3
"week","2025-W39","tail",3,18,4
"week","2025-W39","tail",8,18,4
"week","2025-W39","tail",0,17,5
"week","2025-W39","tail",2,16,6
"week","2025-W39","tail",6,16,6
"week","2025-W39","total",2,29,1
"week","2025-W39","total",4,24,2
"week","2025-W39","total",7,22,3
"week","2025-W39","total",3,19,4
"week","2025-W39","total",5,18,5
"week","2025-W39","total",1,17,6
"week","2025-W39","total",8,16,7
"week","2025-W39","total",9,16,7
"week","2025-W39","total",0,14,8
"week","2025-W39","total",6,14,8
"week","2025-W40","head",6,25,1
"week","2025-W40","head",0,22,2
"week","2025-W40","head",7,21,3
"week","2025-W40","head",8,21,3
"week","2025-W40","head",4,20,4
"week","2025-W40","head",5,20,4
"week","2025-W40","head",1,18,5
"week","2025-W40","head",3,15,6
"week","2025-W40","head",2,14,7
"week","2025-W40","head",9,13,8
"week","2025-W40","tail",7,25,1
"week","2025-W40","tail",4,23,2
"week","2025-W40","tail",5,23,2
"week","2025-W40","tail",6,22,3
"week","2025-W40","tail",9,22,3
"week","2025-W40","tail",2,17,4
"week","2025-W40","tail",8,17,4
"week","2025-W40","tail",0,16,5
"week","2025-W40","tail",3,14,6
"week","2025-W40","tail",1,10,7
"week","2025-W40","total",8,28,1
"week","2025-W40","total",5,25,2
"week","2025-W40","total",9,24,3
"week","2025-W40","total",4,23,4
"week","2025-W40","total",7,19,5
"week","2025-W40","total",1,17,6
"week","2025-W40","total",2,17,6
"week","2025-W40","total",3,14,7
"week","2025-W40","total",6,14,7
"week","2025-W40","total",0,8,8
"week","2025-W41","head",0,33,1
"week","2025-W41","head",4,26,2
"week","2025-W41","head",2,25,3
"week","2025-W41","head",6,23,4
"week","2025-W41","head",3,17,5
"week","2025-W41","head",9,16,6
"week","2025-W41","head",5,14,7
"week","2025-W41","head",7,13,8
"week","2025-W41","head",1,12,9
"week","2025-W41","head",8,10,10
"week","2025-W41","tail",2,26,1
"week","2025-W41","tail",1,22,2
"week","2025-W41","tail",3,21,3
"week","2025-W41","tail",4,20,4
"week","2025-W41","tail",8,20,4
"week","2025-W41","tail",0,18,5
"week","2025-W41","tail",5,18,5
"week","2025-W41","tail",7,15,6
"week","2025-W41","tail",9,15,6
"week","2025-W41","tail",6,14,7
"week","2025-W41","total",2,24,1
"week","2025-W41","total",0,22,2
"week","2025-W41","total",4,21,3
"week","2025-W41","total",9,21,3
"week","2025-W41","total",7,20,4
"week","2025-W41","total",1,19,5
"week","2025-W41","total",3,17,6
"week","2025-W41","total",6,17,6
"week","2025-W41","total",8,16,7
"week","2025-W41","total",5,12,8
"week","2025-W42","head",6,29,1
"week","2025-W42","head",0,25,2
"week","2025-W42","head",2,22,3
"week","2025-W42","head",7,21,4
"week","2025-W42","head",4,19,5
"week","2025-W42","head",3,18,6
"week","2025-W42","head",8,15,7
"week","2025-W42","head",1,14,8
"week","2025-W42","head",5,14,8
