"period_kind","period_key","group_type","group_value","freq","rank_in_period_group"
"year","2020","head",1,1092,1
"year","2020","head",9,1066,2
"year","2020","head",8,1039,3
"year","2020","head",7,1010,4
"year","2020","head",0,981,5
"year","2020","head",3,968,6
"year","2020","head",4,966,7
"year","2020","head",5,965,8
"year","2020","head",6,929,9
"year","2020","head",2,866,10
"year","2020","tail",8,1081,1
"year","2020","tail",1,1032,2
"year","2020","tail",9,1029,3
"year","2020","tail",5,988,4
"year","2020","tail",3,979,5
"year","2020","tail",0,975,6
"year","2020","tail",4,975,6
"year","2020","tail",7,963,7
"year","2020","tail",2,935,8
"year","2020","tail",6,925,9
"year","2020","total",3,1082,1
"year","2020","total",2,1037,2
"year","2020","total",0,1022,3
"year","2020","total",6,1016,4
"year","2020","total",7,990,5
"year","2020","total",4,965,6
"year","2020","total",8,958,7
"year","2020","total",1,955,8
"year","2020","total",9,939,9
"year","2020","total",5,918,10
"year","2021","head",6,1049,1
"year","2021","head",8,1044,2
"year","2021","head",1,1032,3
"year","2021","head",4,1032,3
"year","2021","head",7,994,4
"year","2021","head",3,981,5
"year","2021","head",0,970,6
"year","2021","head",2,944,7
"year","2021","head",9,931,8
"year","2021","head",5,878,9
"year","2021","tail",0,1014,1
"year","2021","tail",1,1014,1
"year","2021","tail",3,988,2
"year","2021","tail",9,984,3
"year","2021","tail",6,983,4
"year","2021","tail",7,982,5
"year","2021","tail",2,980,6
"year","2021","tail",8,977,7
"year","2021","tail",5,971,8
"year","2021","tail",4,962,9
"year","2021","total",9,1038,1
"year","2021","total",2,1033,2
"year","2021","total",5,996,3
"year","2021","total",4,987,4
"year","2021","total",8,986,5
"year","2021","total",6,983,6
"year","2021","total",1,971,7
"year","2021","total",3,968,8
"year","2021","total",7,966,9
"year","2021","total",0,927,10
"year","2022","head",9,1048,1
"year","2022","head",1,1017,2
"year","2022","head",3,1012,3
"year","2022","head",7,1010,4
"year","2022","head",4,996,5
"year","2022","head",6,995,6
"year","2022","head",5,994,7
"year","2022","head",2,971,8
"year","2022","head",0,964,9
"year","2022","head",8,848,10
"year","2022","tail",0,1041,1
"year","2022","tail",8,1037,2
"year","2022","tail",4,1008,3
"year","2022","tail",1,996,4
"year","2022","tail",6,991,5
"year","2022","tail",2,988,6
"year","2022","tail",5,960,7
"year","2022","tail",7,960,7
"year","2022","tail",3,946,8
"year","2022","tail",9,928,9
"year","2022","total",1,1035,1
"year","2022","total",0,1026,2
"year","2022","total",4,1018,3
"year","2022","total",7,978,4
"year","2022","total",9,978,4
"year","2022","total",3,975,5
"year","2022","total",8,970,6
"year","2022","total",2,964,7
"year","2022","total",5,963,8
"year","2022","total",6,948,9
"year","2023","head",4,1038,1
"year","2023","head",6,1024,2
"year","2023","head",1,1002,3
"year","2023","head",0,995,4
"year","2023","head",8,991,5
"year","2023","head",5,985,6
"year","2023","head",3,971,7
"year","2023","head",7,966,8
"year","2023","head",9,963,9
"year","2023","head",2,920,10
"year","2023","tail",2,1043,1
"year","2023","tail",6,1030,2
"year","2023","tail",9,998,3
"year","2023","tail",0,995,4
"year","2023","tail",4,994,5
"year","2023","tail",3,986,6
"year","2023","tail",8,979,7
"year","2023","tail",7,971,8
"year","2023","tail",5,934,9
"year","2023","tail",1,925,10
"year","2023","total",7,1022,1
"year","2023","total",6,1021,2
"year","2023","total",1,1012,3
"year","2023","total",8,1004,4
"year","2023","total",2,1002,5
"year","2023","total",0,979,6
"year","2023","total",4,960,7
"year","2023","total",5,958,8
"year","2023","total",9,950,9
"year","2023","total",3,947,10
"year","2024","head",2,1027,1
"year","2024","head",1,1026,2
"year","2024","head",9,1025,3
"year","2024","head",6,1014,4
"year","2024","head",7,1013,5
"year","2024","head",4,980,6
"year","2024","head",8,969,7
"year","2024","head",5,951,8
"year","2024","head",3,946,9
"year","2024","head",0,931,10
"year","2024","tail",2,1094,1
"year","2024","tail",9,1094,1
"year","2024","tail",6,1045,2
"year","2024","tail",0,998,3
"year","2024","tail",3,993,4
"year","2024","tail",5,977,5
"year","2024","tail",1,950,6
"year","2024","tail",7,932,7
"year","2024","tail",4,903,8
"year","2024","tail",8,896,9
"year","2024","total",7,1036,1
"year","2024","total",5,1027,2
"year","2024","total",9,1021,3
"year","2024","total",2,1004,4
"year","2024","total",3,977,5
"year","2024","total",4,976,6
"year","2024","total",1,964,7
"year","2024","total",8,964,7
"year","2024","total",6,957,8
"year","2024","total",0,956,9
"year","2025","head",6,1069,1
"year","2025","head",0,1012,2
"year","2025","head",7,1004,3
"year","2025","head",9,986,4
"year","2025","head",5,984,5
"year","2025","head",1,971,6
"year","2025","head",3,968,7
"year","2025","head",4,966,8
"year","2025","head",8,951,9
"year","2025","head",2,944,10
"year","2025","tail",8,1027,1
"year","2025","tail",1,1021,2
