value,count_in_window,days_in_window,value_str
77,6,6,77
70,5,5,70
21,5,4,21
93,5,4,93
53,5,3,53
10,4,4,10
11,4,4,11
39,4,4,39
44,4,4,44
64,4,4,64
26,4,3,26
32,4,3,32
34,4,3,34
52,4,3,52
67,4,3,67
72,4,3,72
88,4,3,88
13,3,3,13
29,3,3,29
43,3,3,43
50,3,3,50
57,3,3,57
62,3,3,62
84,3,3,84
97,3,3,97
16,3,2,16
20,3,2,20
46,3,2,46
63,3,2,63
3,2,2,03
5,2,2,05
7,2,2,07
18,2,2,18
28,2,2,28
31,2,2,31
37,2,2,37
49,2,2,49
51,2,2,51
66,2,2,66
69,2,2,69
73,2,2,73
74,2,2,74
78,2,2,78
80,2,2,80
85,2,2,85
94,2,2,94
95,2,2,95
96,2,2,96
99,2,2,99
22,2,1,22
36,2,1,36
40,2,1,40
56,2,1,56
68,2,1,68
