"mode","number","number_str","hit_count","last_seen","current_gap","min_gap","mean_gap","median_gap","max_gap","last_10_intervals","rhythm_pressure"
"loto",89,"89",594,"2026-08-19",19,1,4.0843,3.0,25,"2|1|6|1|16|1|3|6|1|2",4.6519
"loto",27,"27",536,"2026-08-21",17,1,4.5215,3.0,33,"7|2|1|2|6|1|1|6|2|4",3.7598
"loto",0,"00",541,"2026-08-22",16,1,4.4833,3.0,38,"6|2|3|3|1|3|1|1|3|2",3.5688
"loto",92,"92",606,"2026-08-25",13,1,4.0017,3.0,32,"7|3|2|3|2|2|8|1|6|7",3.2487
"loto",65,"65",570,"2026-08-26",12,1,4.2496,3.0,42,"1|4|1|6|1|3|1|21|4|4",2.8238
"loto",54,"54",586,"2026-08-26",12,1,4.147,3.0,37,"4|7|1|2|1|1|1|2|1|4",2.8937
"loto",24,"24",545,"2026-08-27",11,1,4.4485,3.0,27,"7|4|3|3|1|7|4|8|1|3",2.4727
"loto",82,"82",569,"2026-08-28",10,1,4.2782,3.0,32,"1|1|6|2|3|7|1|6|5|5",2.3374
"loto",9,"09",582,"2026-08-28",10,1,4.1824,3.0,25,"4|3|5|5|2|7|1|1|2|3",2.3909
"loto",83,"83",576,"2026-08-29",9,1,4.2174,3.0,27,"2|3|2|3|5|2|1|4|4|3",2.134
"loto",81,"81",588,"2026-08-29",9,1,4.1431,3.0,28,"4|5|1|4|1|2|4|6|2|2",2.1723
"loto",60,"60",584,"2026-08-30",8,1,4.1698,3.0,34,"4|3|3|6|4|1|7|4|4|9",1.9186
"loto",78,"78",555,"2026-08-31",7,1,4.3827,3.0,34,"4|11|5|1|10|4|2|5|15|1",1.5972
"loto",7,"07",562,"2026-08-31",7,1,4.3351,3.0,32,"7|13|12|17|3|3|1|2|2|1",1.6147
"loto",30,"30",588,"2026-08-31",7,1,4.1431,3.0,31,"6|7|5|4|5|5|4|14|2|10",1.6896
"loto",98,"98",552,"2026-09-01",6,1,4.4138,3.0,32,"6|10|4|1|5|2|3|18|3|6",1.3594
"loto",51,"51",559,"2026-09-01",6,1,4.3638,3.0,31,"3|5|2|5|1|4|1|4|2|2",1.3749
"loto",80,"80",569,"2026-09-01",6,1,4.2729,3.0,41,"1|5|1|6|3|4|4|3|3|1",1.4042
"loto",2,"02",580,"2026-09-01",6,1,4.2021,3.0,25,"1|5|1|1|3|2|10|6|3|3",1.4279
"loto",15,"15",566,"2026-09-02",5,1,4.3062,3.0,23,"1|2|2|1|1|3|6|3|9|8",1.1611
"loto",55,"55",570,"2026-09-02",5,1,4.2742,3.0,43,"2|7|14|4|2|12|3|6|3|7",1.1698
"loto",22,"22",580,"2026-09-02",5,1,4.1917,3.0,30,"1|1|1|1|5|4|2|5|1|5",1.1928
"loto",42,"42",602,"2026-09-02",5,1,4.0433,3.0,27,"5|9|2|1|1|3|6|1|4|10",1.2366
"loto",61,"61",627,"2026-09-02",5,1,3.8866,3.0,24,"1|4|6|2|3|1|5|1|2|4",1.2865
