"period_kind","period_key","mode","draws","number","number_str","freq","days_hit","hit_rate","avg_per_draw","expected_freq","z_score","rank_in_period"
"month","2020-01","de",31,75,"75",5,5,0.16129032258064516,0.16129032258064516,0.31,8.4659,1
"month","2020-01","de",31,4,"04",2,2,0.06451612903225806,0.06451612903225806,0.31,3.0506,2
"month","2020-01","de",31,12,"12",2,2,0.06451612903225806,0.06451612903225806,0.31,3.0506,2
"month","2020-01","de",31,21,"21",2,2,0.06451612903225806,0.06451612903225806,0.31,3.0506,2
"month","2020-01","de",31,49,"49",2,2,0.06451612903225806,0.06451612903225806,0.31,3.0506,2
"month","2020-01","de",31,5,"05",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,6,"06",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,10,"10",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,15,"15",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,40,"40",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,43,"43",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,44,"44",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,50,"50",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,54,"54",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,58,"58",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,64,"64",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,71,"71",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,74,"74",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,80,"80",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,82,"82",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,89,"89",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,96,"96",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,97,"97",1,1,0.03225806451612903,0.03225806451612903,0.31,1.2455,3
"month","2020-01","de",31,0,"00",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,1,"01",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,2,"02",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,3,"03",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,7,"07",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,8,"08",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,9,"09",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,11,"11",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,13,"13",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,14,"14",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,16,"16",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,17,"17",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,18,"18",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,19,"19",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,20,"20",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,22,"22",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,23,"23",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,24,"24",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,25,"25",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,26,"26",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,27,"27",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,28,"28",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,29,"29",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,30,"30",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,31,"31",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,32,"32",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,33,"33",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,34,"34",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,35,"35",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,36,"36",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,37,"37",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,38,"38",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,39,"39",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,41,"41",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,42,"42",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,45,"45",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,46,"46",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,47,"47",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,48,"48",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,51,"51",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,52,"52",0,0,0.0,0.0,0.31,-0.5596,4
"month","2020-01","de",31,53,"53",0,0,0.0,0.0,0.31,-0.5596,4
