"period_kind","period_key","mode","draws","number","number_str","freq","days_hit","hit_rate","avg_per_draw","expected_freq","z_score","rank_in_period"
"week","2025-W33","de",7,16,"16",1,1,0.14285714285714285,0.14285714285714285,0.07,3.5328,1
"week","2025-W33","de",7,21,"21",1,1,0.14285714285714285,0.14285714285714285,0.07,3.5328,1
"week","2025-W33","de",7,71,"71",1,1,0.14285714285714285,0.14285714285714285,0.07,3.5328,1
"week","2025-W33","de",7,75,"75",1,1,0.14285714285714285,0.14285714285714285,0.07,3.5328,1
"week","2025-W33","de",7,77,"77",1,1,0.14285714285714285,0.14285714285714285,0.07,3.5328,1
"week","2025-W33","de",7,91,"91",1,1,0.14285714285714285,0.14285714285714285,0.07,3.5328,1
"week","2025-W33","de",7,94,"94",1,1,0.14285714285714285,0.14285714285714285,0.07,3.5328,1
"week","2025-W33","de",7,0,"00",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,1,"01",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,2,"02",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,3,"03",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,4,"04",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,5,"05",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,6,"06",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,7,"07",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,8,"08",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,9,"09",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,10,"10",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,11,"11",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,12,"12",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,13,"13",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,14,"14",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,15,"15",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,17,"17",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,18,"18",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,19,"19",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,20,"20",0,0,0.0,0.0,0.07,-0.2659,2
"week","2025-W33","de",7,22,"22",0,0,0.0,0.0,0.07,-0.2659,2
