"period_kind","period_key","mode","draws","number","number_str","freq","days_hit","hit_rate","avg_per_draw","expected_freq","z_score","rank_in_period"
"week","2020-W01","loto",5,82,"82",5,3,0.6,1.0,1.35,3.1572,1
"week","2020-W01","loto",5,19,"19",4,2,0.4,0.8,1.35,2.2922,2
"week","2020-W01","loto",5,64,"64",4,2,0.4,0.8,1.35,2.2922,2
"week","2020-W01","loto",5,86,"86",4,3,0.6,0.8,1.35,2.2922,2
"week","2020-W01","loto",5,7,"07",3,2,0.4,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,12,"12",3,3,0.6,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,29,"29",3,3,0.6,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,36,"36",3,3,0.6,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,56,"56",3,3,0.6,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,58,"58",3,3,0.6,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,70,"70",3,3,0.6,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,73,"73",3,2,0.4,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,84,"84",3,3,0.6,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,87,"87",3,3,0.6,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,88,"88",3,3,0.6,0.6,1.35,1.4272,3
"week","2020-W01","loto",5,1,"01",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,4,"04",2,1,0.2,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,6,"06",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,9,"09",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,10,"10",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,11,"11",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,20,"20",2,1,0.2,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,33,"33",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,37,"37",2,1,0.2,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,38,"38",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,41,"41",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,43,"43",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,47,"47",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,49,"49",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,53,"53",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,54,"54",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,63,"63",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,67,"67",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,76,"76",2,1,0.2,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,79,"79",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,81,"81",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,89,"89",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,94,"94",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,99,"99",2,2,0.4,0.4,1.35,0.5622,4
"week","2020-W01","loto",5,0,"00",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,2,"02",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,3,"03",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,5,"05",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,8,"08",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,14,"14",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,15,"15",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,18,"18",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,21,"21",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,23,"23",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,28,"28",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,30,"30",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,31,"31",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,34,"34",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,35,"35",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,39,"39",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,46,"46",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,48,"48",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,50,"50",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,51,"51",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,55,"55",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,59,"59",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,60,"60",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,61,"61",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,62,"62",1,1,0.2,0.2,1.35,-0.3027,5
"week","2020-W01","loto",5,66,"66",1,1,0.2,0.2,1.35,-0.3027,5
