"period_kind","period_key","mode","draws","number","number_str","freq","days_hit","hit_rate","avg_per_draw","expected_freq","z_score","rank_in_period"
"year","2015","loto",361,35,"35",117,106,0.29362880886426596,0.32409972299168976,97.47,1.9882,1
"year","2015","loto",361,22,"22",115,99,0.2742382271468144,0.3185595567867036,97.47,1.7846,2
"year","2015","loto",361,62,"62",114,90,0.24930747922437674,0.3157894736842105,97.47,1.6828,3
"year","2015","loto",361,0,"00",113,99,0.2742382271468144,0.31301939058171746,97.47,1.581,4
"year","2015","loto",361,33,"33",113,99,0.2742382271468144,0.31301939058171746,97.47,1.581,4
"year","2015","loto",361,49,"49",113,98,0.27146814404432135,0.31301939058171746,97.47,1.581,4
"year","2015","loto",361,95,"95",113,100,0.2770083102493075,0.31301939058171746,97.47,1.581,4
"year","2015","loto",361,38,"38",112,98,0.27146814404432135,0.31024930747922436,97.47,1.4792,5
"year","2015","loto",361,4,"04",111,99,0.2742382271468144,0.3074792243767313,97.47,1.3774,6
"year","2015","loto",361,16,"16",111,98,0.27146814404432135,0.3074792243767313,97.47,1.3774,6
"year","2015","loto",361,78,"78",110,100,0.2770083102493075,0.3047091412742382,97.47,1.2756,7
"year","2015","loto",361,10,"10",109,99,0.2742382271468144,0.30193905817174516,97.47,1.1738,8
"year","2015","loto",361,29,"29",109,93,0.25761772853185594,0.30193905817174516,97.47,1.1738,8
"year","2015","loto",361,31,"31",109,90,0.24930747922437674,0.30193905817174516,97.47,1.1738,8
"year","2015","loto",361,45,"45",109,93,0.25761772853185594,0.30193905817174516,97.47,1.1738,8
"year","2015","loto",361,73,"73",109,100,0.2770083102493075,0.30193905817174516,97.47,1.1738,8
"year","2015","loto",361,85,"85",109,95,0.2631578947368421,0.30193905817174516,97.47,1.1738,8
"year","2015","loto",361,89,"89",109,97,0.26869806094182824,0.30193905817174516,97.47,1.1738,8
"year","2015","loto",361,17,"17",108,90,0.24930747922437674,0.29916897506925205,97.47,1.072,9
"year","2015","loto",361,20,"20",108,97,0.26869806094182824,0.29916897506925205,97.47,1.072,9
"year","2015","loto",361,76,"76",108,95,0.2631578947368421,0.29916897506925205,97.47,1.072,9
"year","2015","loto",361,90,"90",107,98,0.27146814404432135,0.296398891966759,97.47,0.9702,10
"year","2015","loto",361,91,"91",107,82,0.22714681440443213,0.296398891966759,97.47,0.9702,10
"year","2015","loto",361,61,"61",106,92,0.2548476454293629,0.29362880886426596,97.47,0.8684,11
"year","2015","loto",361,12,"12",105,94,0.26038781163434904,0.29085872576177285,97.47,0.7666,12
"year","2015","loto",361,30,"30",105,93,0.25761772853185594,0.29085872576177285,97.47,0.7666,12
"year","2015","loto",361,75,"75",105,92,0.2548476454293629,0.29085872576177285,97.47,0.7666,12
"year","2015","loto",361,79,"79",105,97,0.26869806094182824,0.29085872576177285,97.47,0.7666,12
"year","2015","loto",361,86,"86",105,87,0.2409972299168975,0.29085872576177285,97.47,0.7666,12
"year","2015","loto",361,8,"08",104,93,0.25761772853185594,0.2880886426592798,97.47,0.6648,13
"year","2015","loto",361,40,"40",104,86,0.23822714681440443,0.2880886426592798,97.47,0.6648,13
"year","2015","loto",361,26,"26",103,93,0.25761772853185594,0.2853185595567867,97.47,0.563,14
"year","2015","loto",361,88,"88",103,95,0.2631578947368421,0.2853185595567867,97.47,0.563,14
"year","2015","loto",361,1,"01",102,95,0.2631578947368421,0.28254847645429365,97.47,0.4612,15
"year","2015","loto",361,5,"05",102,91,0.2520775623268698,0.28254847645429365,97.47,0.4612,15
"year","2015","loto",361,13,"13",102,89,0.24653739612188366,0.28254847645429365,97.47,0.4612,15
"year","2015","loto",361,14,"14",102,90,0.24930747922437674,0.28254847645429365,97.47,0.4612,15
"year","2015","loto",361,27,"27",102,90,0.24930747922437674,0.28254847645429365,97.47,0.4612,15
"year","2015","loto",361,43,"43",102,90,0.24930747922437674,0.28254847645429365,97.47,0.4612,15
"year","2015","loto",361,55,"55",102,93,0.25761772853185594,0.28254847645429365,97.47,0.4612,15
"year","2015","loto",361,63,"63",102,92,0.2548476454293629,0.28254847645429365,97.47,0.4612,15
"year","2015","loto",361,81,"81",102,89,0.24653739612188366,0.28254847645429365,97.47,0.4612,15
"year","2015","loto",361,80,"80",101,94,0.26038781163434904,0.27977839335180055,97.47,0.3594,16
"year","2015","loto",361,7,"07",100,88,0.24376731301939059,0.2770083102493075,97.47,0.2576,17
"year","2015","loto",361,24,"24",100,84,0.23268698060941828,0.2770083102493075,97.47,0.2576,17
"year","2015","loto",361,59,"59",100,86,0.23822714681440443,0.2770083102493075,97.47,0.2576,17
"year","2015","loto",361,36,"36",99,89,0.24653739612188366,0.2742382271468144,97.47,0.1558,18
"year","2015","loto",361,39,"39",99,84,0.23268698060941828,0.2742382271468144,97.47,0.1558,18
"year","2015","loto",361,64,"64",98,88,0.24376731301939059,0.27146814404432135,97.47,0.054,19
"year","2015","loto",361,96,"96",98,84,0.23268698060941828,0.27146814404432135,97.47,0.054,19
"year","2015","loto",361,21,"21",97,86,0.23822714681440443,0.26869806094182824,97.47,-0.0478,20
"year","2015","loto",361,25,"25",97,84,0.23268698060941828,0.26869806094182824,97.47,-0.0478,20
"year","2015","loto",361,46,"46",97,83,0.2299168975069252,0.26869806094182824,97.47,-0.0478,20
"year","2015","loto",361,53,"53",97,85,0.23545706371191136,0.26869806094182824,97.47,-0.0478,20
"year","2015","loto",361,71,"71",97,76,0.21052631578947367,0.26869806094182824,97.47,-0.0478,20
"year","2015","loto",361,93,"93",97,91,0.2520775623268698,0.26869806094182824,97.47,-0.0478,20
"year","2015","loto",361,47,"47",96,85,0.23545706371191136,0.2659279778393352,97.47,-0.1496,21
"year","2015","loto",361,83,"83",96,80,0.22160664819944598,0.2659279778393352,97.47,-0.1496,21
"year","2015","loto",361,94,"94",96,87,0.2409972299168975,0.2659279778393352,97.47,-0.1496,21
"year","2015","loto",361,23,"23",95,87,0.2409972299168975,0.2631578947368421,97.47,-0.2514,22
"year","2015","loto",361,32,"32",95,85,0.23545706371191136,0.2631578947368421,97.47,-0.2514,22
"year","2015","loto",361,19,"19",94,82,0.22714681440443213,0.26038781163434904,97.47,-0.3532,23
"year","2015","loto",361,66,"66",94,85,0.23545706371191136,0.26038781163434904,97.47,-0.3532,23
"year","2015","loto",361,44,"44",93,82,0.22714681440443213,0.25761772853185594,97.47,-0.455,24
