"period_kind","period_key","mode","draws","number","number_str","freq","days_hit","hit_rate","avg_per_draw","expected_freq","z_score","rank_in_period","snapshot_as_of","scope_label"
"day","2026-09-05","loto",1,21,"21",2,1,1.0,2.0,0.27,3.3462,1,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,88,"88",2,1,1.0,2.0,0.27,3.3462,1,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,93,"93",2,1,1.0,2.0,0.27,3.3462,1,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,3,"03",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,4,"04",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,11,"11",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,13,"13",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,26,"26",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,28,"28",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,29,"29",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,31,"31",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,37,"37",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,39,"39",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,57,"57",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,58,"58",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,59,"59",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,67,"67",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,69,"69",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,70,"70",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,84,"84",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,90,"90",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,91,"91",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,94,"94",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,97,"97",1,1,1.0,1.0,0.27,1.412,2,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,0,"00",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,1,"01",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,2,"02",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,5,"05",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,6,"06",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,7,"07",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,8,"08",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,9,"09",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,10,"10",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,12,"12",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,14,"14",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
"day","2026-09-05","loto",1,15,"15",0,0,0.0,0.0,0.27,-0.5222,3,"2026-09-05","Ngày hiện tại"
