"period_kind","period_key","draws","pair","a","b","freq","days_hit","cooccur_days","avg_per_draw","rank_in_period"
"day","2026-09-13",1,"26-62",26,62,3,1,1,3.0,1
"day","2026-09-13",1,"03-30",3,30,2,1,0,2.0,2
"day","2026-09-13",1,"04-40",4,40,2,1,0,2.0,2
"day","2026-09-13",1,"09-90",9,90,2,1,0,2.0,2
"day","2026-09-13",1,"12-21",12,21,2,1,1,2.0,2
"day","2026-09-13",1,"27-72",27,72,2,1,0,2.0,2
"day","2026-09-13",1,"33-88",33,88,2,1,0,2.0,2
"day","2026-09-13",1,"48-84",48,84,2,1,1,2.0,2
"day","2026-09-13",1,"05-50",5,50,1,1,0,1.0,3
"day","2026-09-13",1,"06-60",6,60,1,1,0,1.0,3
"day","2026-09-13",1,"23-32",23,32,1,1,0,1.0,3
"day","2026-09-13",1,"28-82",28,82,1,1,0,1.0,3
"day","2026-09-13",1,"29-92",29,92,1,1,0,1.0,3
"day","2026-09-13",1,"39-93",39,93,1,1,0,1.0,3
"day","2026-09-13",1,"44-99",44,99,1,1,0,1.0,3
"day","2026-09-13",1,"57-75",57,75,1,1,0,1.0,3
"day","2026-09-13",1,"58-85",58,85,1,1,0,1.0,3
"day","2026-09-13",1,"79-97",79,97,1,1,0,1.0,3
"day","2026-09-13",1,"00-55",0,55,0,0,0,0.0,4
"day","2026-09-13",1,"01-10",1,10,0,0,0,0.0,4
"day","2026-09-13",1,"02-20",2,20,0,0,0,0.0,4
"day","2026-09-13",1,"07-70",7,70,0,0,0,0.0,4
"day","2026-09-13",1,"08-80",8,80,0,0,0,0.0,4
"day","2026-09-13",1,"11-66",11,66,0,0,0,0.0,4
"day","2026-09-13",1,"13-31",13,31,0,0,0,0.0,4
"day","2026-09-13",1,"14-41",14,41,0,0,0,0.0,4
"day","2026-09-13",1,"15-51",15,51,0,0,0,0.0,4
"day","2026-09-13",1,"16-61",16,61,0,0,0,0.0,4
"day","2026-09-13",1,"17-71",17,71,0,0,0,0.0,4
"day","2026-09-13",1,"18-81",18,81,0,0,0,0.0,4
"day","2026-09-13",1,"19-91",19,91,0,0,0,0.0,4
"day","2026-09-13",1,"22-77",22,77,0,0,0,0.0,4
"day","2026-09-13",1,"24-42",24,42,0,0,0,0.0,4
"day","2026-09-13",1,"25-52",25,52,0,0,0,0.0,4
"day","2026-09-13",1,"34-43",34,43,0,0,0,0.0,4
"day","2026-09-13",1,"35-53",35,53,0,0,0,0.0,4
"day","2026-09-13",1,"36-63",36,63,0,0,0,0.0,4
"day","2026-09-13",1,"37-73",37,73,0,0,0,0.0,4
"day","2026-09-13",1,"38-83",38,83,0,0,0,0.0,4
"day","2026-09-13",1,"45-54",45,54,0,0,0,0.0,4
"day","2026-09-13",1,"46-64",46,64,0,0,0,0.0,4
"day","2026-09-13",1,"47-74",47,74,0,0,0,0.0,4
"day","2026-09-13",1,"49-94",49,94,0,0,0,0.0,4
"day","2026-09-13",1,"56-65",56,65,0,0,0,0.0,4
"day","2026-09-13",1,"59-95",59,95,0,0,0,0.0,4
"day","2026-09-13",1,"67-76",67,76,0,0,0,0.0,4
"day","2026-09-13",1,"68-86",68,86,0,0,0,0.0,4
"day","2026-09-13",1,"69-96",69,96,0,0,0,0.0,4
"day","2026-09-13",1,"78-87",78,87,0,0,0,0.0,4
"day","2026-09-13",1,"89-98",89,98,0,0,0,0.0,4
"week","2026-W37",7,"48-84",48,84,8,5,2,1.1428571428571428,1
"week","2026-W37",7,"04-40",4,40,7,5,0,1.0,2
"week","2026-W37",7,"26-62",26,62,7,5,1,1.0,2
"week","2026-W37",7,"27-72",27,72,7,5,1,1.0,2
"week","2026-W37",7,"44-99",44,99,7,5,0,1.0,2
"week","2026-W37",7,"06-60",6,60,6,4,1,0.8571428571428571,3
"week","2026-W37",7,"07-70",7,70,6,3,2,0.8571428571428571,3
"week","2026-W37",7,"34-43",34,43,6,3,1,0.8571428571428571,3
"week","2026-W37",7,"39-93",39,93,6,4,2,0.8571428571428571,3
"week","2026-W37",7,"03-30",3,30,5,4,0,0.7142857142857143,4
"week","2026-W37",7,"09-90",9,90,5,4,0,0.7142857142857143,4
"week","2026-W37",7,"14-41",14,41,5,5,0,0.7142857142857143,4
"week","2026-W37",7,"24-42",24,42,5,2,1,0.7142857142857143,4
"week","2026-W37",7,"57-75",57,75,5,4,0,0.7142857142857143,4
"week","2026-W37",7,"78-87",78,87,5,3,0,0.7142857142857143,4
