"period_kind","period_key","draws","pair","a","b","freq","days_hit","cooccur_days","avg_per_draw","rank_in_period"
"day","2020-01-01",1,"46-64",46,64,3,1,1,3.0,1
"day","2020-01-01",1,"36-63",36,63,2,1,1,2.0,2
"day","2020-01-01",1,"01-10",1,10,1,1,0,1.0,3
"day","2020-01-01",1,"03-30",3,30,1,1,0,1.0,3
"day","2020-01-01",1,"05-50",5,50,1,1,0,1.0,3
"day","2020-01-01",1,"07-70",7,70,1,1,0,1.0,3
"day","2020-01-01",1,"12-21",12,21,1,1,0,1.0,3
"day","2020-01-01",1,"14-41",14,41,1,1,0,1.0,3
"day","2020-01-01",1,"15-51",15,51,1,1,0,1.0,3
"day","2020-01-01",1,"18-81",18,81,1,1,0,1.0,3
"day","2020-01-01",1,"19-91",19,91,1,1,0,1.0,3
"day","2020-01-01",1,"28-82",28,82,1,1,0,1.0,3
"day","2020-01-01",1,"29-92",29,92,1,1,0,1.0,3
"day","2020-01-01",1,"33-88",33,88,1,1,0,1.0,3
"day","2020-01-01",1,"35-53",35,53,1,1,0,1.0,3
"day","2020-01-01",1,"44-99",44,99,1,1,0,1.0,3
"day","2020-01-01",1,"48-84",48,84,1,1,0,1.0,3
"day","2020-01-01",1,"49-94",49,94,1,1,0,1.0,3
"day","2020-01-01",1,"56-65",56,65,1,1,0,1.0,3
"day","2020-01-01",1,"58-85",58,85,1,1,0,1.0,3
"day","2020-01-01",1,"67-76",67,76,1,1,0,1.0,3
"day","2020-01-01",1,"68-86",68,86,1,1,0,1.0,3
"day","2020-01-01",1,"78-87",78,87,1,1,0,1.0,3
"day","2020-01-01",1,"89-98",89,98,1,1,0,1.0,3
"day","2020-01-01",1,"00-55",0,55,0,0,0,0.0,4
"day","2020-01-01",1,"02-20",2,20,0,0,0,0.0,4
"day","2020-01-01",1,"04-40",4,40,0,0,0,0.0,4
"day","2020-01-01",1,"06-60",6,60,0,0,0,0.0,4
"day","2020-01-01",1,"08-80",8,80,0,0,0,0.0,4
"day","2020-01-01",1,"09-90",9,90,0,0,0,0.0,4
"day","2020-01-01",1,"11-66",11,66,0,0,0,0.0,4
"day","2020-01-01",1,"13-31",13,31,0,0,0,0.0,4
"day","2020-01-01",1,"16-61",16,61,0,0,0,0.0,4
"day","2020-01-01",1,"17-71",17,71,0,0,0,0.0,4
"day","2020-01-01",1,"22-77",22,77,0,0,0,0.0,4
"day","2020-01-01",1,"23-32",23,32,0,0,0,0.0,4
"day","2020-01-01",1,"24-42",24,42,0,0,0,0.0,4
"day","2020-01-01",1,"25-52",25,52,0,0,0,0.0,4
"day","2020-01-01",1,"26-62",26,62,0,0,0,0.0,4
"day","2020-01-01",1,"27-72",27,72,0,0,0,0.0,4
"day","2020-01-01",1,"34-43",34,43,0,0,0,0.0,4
"day","2020-01-01",1,"37-73",37,73,0,0,0,0.0,4
"day","2020-01-01",1,"38-83",38,83,0,0,0,0.0,4
"day","2020-01-01",1,"39-93",39,93,0,0,0,0.0,4
"day","2020-01-01",1,"45-54",45,54,0,0,0,0.0,4
"day","2020-01-01",1,"47-74",47,74,0,0,0,0.0,4
"day","2020-01-01",1,"57-75",57,75,0,0,0,0.0,4
"day","2020-01-01",1,"59-95",59,95,0,0,0,0.0,4
"day","2020-01-01",1,"69-96",69,96,0,0,0,0.0,4
"day","2020-01-01",1,"79-97",79,97,0,0,0,0.0,4
"day","2020-01-02",1,"01-10",1,10,2,1,1,2.0,1
"day","2020-01-02",1,"04-40",4,40,2,1,0,2.0,1
"day","2020-01-02",1,"14-41",14,41,2,1,1,2.0,1
"day","2020-01-02",1,"28-82",28,82,2,1,0,2.0,1
"day","2020-01-02",1,"67-76",67,76,2,1,0,2.0,1
"day","2020-01-02",1,"09-90",9,90,1,1,0,1.0,2
"day","2020-01-02",1,"11-66",11,66,1,1,0,1.0,2
"day","2020-01-02",1,"12-21",12,21,1,1,0,1.0,2
"day","2020-01-02",1,"13-31",13,31,1,1,0,1.0,2
"day","2020-01-02",1,"18-81",18,81,1,1,0,1.0,2
"day","2020-01-02",1,"19-91",19,91,1,1,0,1.0,2
"day","2020-01-02",1,"22-77",22,77,1,1,0,1.0,2
"day","2020-01-02",1,"29-92",29,92,1,1,0,1.0,2
