"period_kind","period_key","draws","pair","a","b","freq","days_hit","cooccur_days","avg_per_draw","rank_in_period"
"month","2020-01",27,"49-94",49,94,23,18,3,0.8518518518518519,1
"month","2020-01",27,"07-70",7,70,21,16,3,0.7777777777777778,2
"month","2020-01",27,"12-21",12,21,21,13,3,0.7777777777777778,2
"month","2020-01",27,"15-51",15,51,21,15,3,0.7777777777777778,2
"month","2020-01",27,"17-71",17,71,20,14,1,0.7407407407407407,3
"month","2020-01",27,"46-64",46,64,20,14,4,0.7407407407407407,3
"month","2020-01",27,"48-84",48,84,20,17,1,0.7407407407407407,3
"month","2020-01",27,"02-20",2,20,19,15,2,0.7037037037037037,4
"month","2020-01",27,"18-81",18,81,19,12,4,0.7037037037037037,4
"month","2020-01",27,"38-83",38,83,19,15,3,0.7037037037037037,4
"month","2020-01",27,"47-74",47,74,19,12,3,0.7037037037037037,4
"month","2020-01",27,"33-88",33,88,18,14,1,0.6666666666666666,5
"month","2020-01",27,"58-85",58,85,18,14,3,0.6666666666666666,5
"month","2020-01",27,"89-98",89,98,18,13,2,0.6666666666666666,5
"month","2020-01",27,"28-82",28,82,16,13,1,0.5925925925925926,6
"month","2020-01",27,"36-63",36,63,16,12,3,0.5925925925925926,6
"month","2020-01",27,"13-31",13,31,15,14,0,0.5555555555555556,7
"month","2020-01",27,"19-91",19,91,15,11,1,0.5555555555555556,7
"month","2020-01",27,"29-92",29,92,15,13,2,0.5555555555555556,7
"month","2020-01",27,"37-73",37,73,15,10,1,0.5555555555555556,7
"month","2020-01",27,"08-80",8,80,14,9,4,0.5185185185185185,8
"month","2020-01",27,"44-99",44,99,14,13,1,0.5185185185185185,8
"month","2020-01",27,"59-95",59,95,14,12,2,0.5185185185185185,8
"month","2020-01",27,"67-76",67,76,14,12,1,0.5185185185185185,8
"month","2020-01",27,"69-96",69,96,14,9,1,0.5185185185185185,8
"month","2020-01",27,"78-87",78,87,14,11,1,0.5185185185185185,8
"month","2020-01",27,"05-50",5,50,13,11,1,0.48148148148148145,9
"month","2020-01",27,"06-60",6,60,13,12,1,0.48148148148148145,9
"month","2020-01",27,"09-90",9,90,13,11,1,0.48148148148148145,9
"month","2020-01",27,"11-66",11,66,13,12,0,0.48148148148148145,9
"month","2020-01",27,"27-72",27,72,13,9,1,0.48148148148148145,9
"month","2020-01",27,"39-93",39,93,13,10,0,0.48148148148148145,9
"month","2020-01",27,"79-97",79,97,13,10,2,0.48148148148148145,9
"month","2020-01",27,"01-10",1,10,12,10,2,0.4444444444444444,10
"month","2020-01",27,"03-30",3,30,12,10,1,0.4444444444444444,10
"month","2020-01",27,"04-40",4,40,12,8,1,0.4444444444444444,10
"month","2020-01",27,"14-41",14,41,12,9,2,0.4444444444444444,10
"month","2020-01",27,"23-32",23,32,12,9,1,0.4444444444444444,10
"month","2020-01",27,"24-42",24,42,12,10,1,0.4444444444444444,10
"month","2020-01",27,"34-43",34,43,12,10,1,0.4444444444444444,10
"month","2020-01",27,"35-53",35,53,12,10,2,0.4444444444444444,10
"month","2020-01",27,"45-54",45,54,12,11,0,0.4444444444444444,10
"month","2020-01",27,"56-65",56,65,12,12,0,0.4444444444444444,10
"month","2020-01",27,"57-75",57,75,12,9,1,0.4444444444444444,10
"month","2020-01",27,"68-86",68,86,12,10,0,0.4444444444444444,10
"month","2020-01",27,"16-61",16,61,10,8,0,0.37037037037037035,11
"month","2020-01",27,"22-77",22,77,10,8,1,0.37037037037037035,11
"month","2020-01",27,"26-62",26,62,9,8,1,0.3333333333333333,12
"month","2020-01",27,"00-55",0,55,7,6,1,0.25925925925925924,13
"month","2020-01",27,"25-52",25,52,6,6,0,0.2222222222222222,14
"month","2020-02",29,"05-50",5,50,26,18,3,0.896551724137931,1
"month","2020-02",29,"04-40",4,40,24,16,4,0.8275862068965517,2
"month","2020-02",29,"68-86",68,86,22,16,5,0.7586206896551724,3
"month","2020-02",29,"07-70",7,70,21,17,1,0.7241379310344828,4
"month","2020-02",29,"49-94",49,94,21,13,2,0.7241379310344828,4
"month","2020-02",29,"37-73",37,73,20,14,3,0.6896551724137931,5
"month","2020-02",29,"69-96",69,96,20,13,2,0.6896551724137931,5
