"period_kind","period_key","draws","pair","a","b","freq","days_hit","cooccur_days","avg_per_draw","rank_in_period"
"week","2020-W01",5,"07-70",7,70,6,4,1,1.2,1
"week","2020-W01",5,"28-82",28,82,6,4,0,1.2,1
"week","2020-W01",5,"19-91",19,91,5,3,0,1.0,2
"week","2020-W01",5,"33-88",33,88,5,5,0,1.0,2
"week","2020-W01",5,"36-63",36,63,5,3,2,1.0,2
"week","2020-W01",5,"37-73",37,73,5,2,1,1.0,2
"week","2020-W01",5,"46-64",46,64,5,2,1,1.0,2
"week","2020-W01",5,"68-86",68,86,5,4,0,1.0,2
"week","2020-W01",5,"01-10",1,10,4,3,1,0.8,3
"week","2020-W01",5,"12-21",12,21,4,3,1,0.8,3
"week","2020-W01",5,"48-84",48,84,4,4,0,0.8,3
"week","2020-W01",5,"49-94",49,94,4,3,1,0.8,3
"week","2020-W01",5,"67-76",67,76,4,3,0,0.8,3
"week","2020-W01",5,"02-20",2,20,3,2,0,0.6,4
"week","2020-W01",5,"06-60",6,60,3,2,1,0.6,4
"week","2020-W01",5,"11-66",11,66,3,3,0,0.6,4
"week","2020-W01",5,"14-41",14,41,3,2,1,0.6,4
"week","2020-W01",5,"18-81",18,81,3,3,0,0.6,4
"week","2020-W01",5,"29-92",29,92,3,3,0,0.6,4
"week","2020-W01",5,"34-43",34,43,3,3,0,0.6,4
"week","2020-W01",5,"35-53",35,53,3,2,1,0.6,4
"week","2020-W01",5,"47-74",47,74,3,2,1,0.6,4
"week","2020-W01",5,"56-65",56,65,3,3,0,0.6,4
"week","2020-W01",5,"58-85",58,85,3,3,0,0.6,4
"week","2020-W01",5,"78-87",78,87,3,3,0,0.6,4
"week","2020-W01",5,"79-97",79,97,3,2,1,0.6,4
"week","2020-W01",5,"89-98",89,98,3,3,0,0.6,4
"week","2020-W01",5,"00-55",0,55,2,1,1,0.4,5
"week","2020-W01",5,"03-30",3,30,2,2,0,0.4,5
"week","2020-W01",5,"04-40",4,40,2,1,0,0.4,5
"week","2020-W01",5,"05-50",5,50,2,2,0,0.4,5
"week","2020-W01",5,"09-90",9,90,2,2,0,0.4,5
"week","2020-W01",5,"15-51",15,51,2,2,0,0.4,5
"week","2020-W01",5,"38-83",38,83,2,2,0,0.4,5
"week","2020-W01",5,"39-93",39,93,2,2,0,0.4,5
"week","2020-W01",5,"44-99",44,99,2,2,0,0.4,5
"week","2020-W01",5,"45-54",45,54,2,2,0,0.4,5
"week","2020-W01",5,"59-95",59,95,2,1,1,0.4,5
"week","2020-W01",5,"08-80",8,80,1,1,0,0.2,6
"week","2020-W01",5,"13-31",13,31,1,1,0,0.2,6
"week","2020-W01",5,"16-61",16,61,1,1,0,0.2,6
"week","2020-W01",5,"17-71",17,71,1,1,0,0.2,6
"week","2020-W01",5,"22-77",22,77,1,1,0,0.2,6
"week","2020-W01",5,"23-32",23,32,1,1,0,0.2,6
"week","2020-W01",5,"26-62",26,62,1,1,0,0.2,6
"week","2020-W01",5,"57-75",57,75,1,1,0,0.2,6
"week","2020-W01",5,"69-96",69,96,1,1,0,0.2,6
"week","2020-W01",5,"24-42",24,42,0,0,0,0.0,7
"week","2020-W01",5,"25-52",25,52,0,0,0,0.0,7
"week","2020-W01",5,"27-72",27,72,0,0,0,0.0,7
"week","2020-W02",7,"08-80",8,80,10,5,4,1.4285714285714286,1
"week","2020-W02",7,"49-94",49,94,8,6,1,1.1428571428571428,2
"week","2020-W02",7,"58-85",58,85,8,6,1,1.1428571428571428,2
"week","2020-W02",7,"03-30",3,30,7,5,1,1.0,3
"week","2020-W02",7,"23-32",23,32,6,4,1,0.8571428571428571,4
"week","2020-W02",7,"27-72",27,72,6,4,1,0.8571428571428571,4
