"period_kind","period_key","draws","pair","a","b","freq","days_hit","cooccur_days","avg_per_draw","rank_in_period"
"year","2025",143,"38-83",38,83,92,64,10,0.6433566433566433,1
"year","2025",143,"26-62",26,62,91,70,9,0.6363636363636364,2
"year","2025",143,"69-96",69,96,90,74,5,0.6293706293706294,3
"year","2025",143,"27-72",27,72,88,65,10,0.6153846153846154,4
"year","2025",143,"46-64",46,64,88,68,6,0.6153846153846154,4
"year","2025",143,"57-75",57,75,87,61,11,0.6083916083916084,5
"year","2025",143,"16-61",16,61,86,63,15,0.6013986013986014,6
"year","2025",143,"28-82",28,82,86,65,8,0.6013986013986014,6
"year","2025",143,"01-10",1,10,83,62,8,0.5804195804195804,7
"year","2025",143,"36-63",36,63,82,63,9,0.5734265734265734,8
"year","2025",143,"78-87",78,87,82,69,7,0.5734265734265734,8
"year","2025",143,"34-43",34,43,81,65,8,0.5664335664335665,9
"year","2025",143,"13-31",13,31,80,60,9,0.5594405594405595,10
"year","2025",143,"14-41",14,41,80,63,10,0.5594405594405595,10
"year","2025",143,"19-91",19,91,80,62,7,0.5594405594405595,10
"year","2025",143,"24-42",24,42,80,66,10,0.5594405594405595,10
"year","2025",143,"29-92",29,92,80,64,8,0.5594405594405595,10
"year","2025",143,"35-53",35,53,80,61,11,0.5594405594405595,10
"year","2025",143,"59-95",59,95,80,63,8,0.5594405594405595,10
"year","2025",143,"68-86",68,86,80,62,6,0.5594405594405595,10
"year","2025",143,"05-50",5,50,79,60,9,0.5524475524475524,11
"year","2025",143,"12-21",12,21,79,65,10,0.5524475524475524,11
"year","2025",143,"49-94",49,94,79,64,9,0.5524475524475524,11
"year","2025",143,"08-80",8,80,78,53,14,0.5454545454545454,12
"year","2025",143,"03-30",3,30,77,58,11,0.5384615384615384,13
"year","2025",143,"06-60",6,60,77,62,6,0.5384615384615384,13
"year","2025",143,"23-32",23,32,77,65,3,0.5384615384615384,13
"year","2025",143,"25-52",25,52,77,61,7,0.5384615384615384,13
"year","2025",143,"17-71",17,71,76,61,8,0.5314685314685315,14
"year","2025",143,"56-65",56,65,76,60,5,0.5314685314685315,14
"year","2025",143,"02-20",2,20,75,56,6,0.5244755244755245,15
"year","2025",143,"47-74",47,74,75,61,6,0.5244755244755245,15
"year","2025",143,"48-84",48,84,75,54,9,0.5244755244755245,15
"year","2025",143,"09-90",9,90,74,61,4,0.5174825174825175,16
"year","2025",143,"45-54",45,54,73,56,7,0.5104895104895105,17
"year","2025",143,"79-97",79,97,73,57,9,0.5104895104895105,17
"year","2025",143,"37-73",37,73,71,57,8,0.4965034965034965,18
"year","2025",143,"39-93",39,93,71,57,8,0.4965034965034965,18
"year","2025",143,"67-76",67,76,71,56,10,0.4965034965034965,18
"year","2025",143,"58-85",58,85,70,58,7,0.48951048951048953,19
"year","2025",143,"89-98",89,98,70,57,4,0.48951048951048953,19
"year","2025",143,"15-51",15,51,66,59,3,0.46153846153846156,20
"year","2025",143,"18-81",18,81,66,56,3,0.46153846153846156,20
"year","2025",143,"07-70",7,70,63,49,8,0.4405594405594406,21
"year","2025",143,"04-40",4,40,62,51,4,0.43356643356643354,22
"year","2025",143,"88-88",88,88,48,44,44,0.3356643356643357,23
"year","2025",143,"44-44",44,44,41,35,35,0.2867132867132867,24
"year","2025",143,"22-22",22,22,40,34,34,0.27972027972027974,25
"year","2025",143,"33-33",33,33,38,34,34,0.26573426573426573,26
"year","2025",143,"77-77",77,77,37,34,34,0.25874125874125875,27
"year","2025",143,"66-66",66,66,35,30,30,0.24475524475524477,28
"year","2025",143,"00-00",0,0,33,30,30,0.23076923076923078,29
"year","2025",143,"11-11",11,11,32,29,29,0.22377622377622378,30
"year","2025",143,"99-99",99,99,31,29,29,0.21678321678321677,31
"year","2025",143,"55-55",55,55,20,20,20,0.13986013986013987,32
"year","2026",246,"45-54",45,54,157,117,23,0.6382113821138211,1
"year","2026",246,"13-31",13,31,154,110,23,0.6260162601626016,2
"year","2026",246,"09-90",9,90,150,110,23,0.6097560975609756,3
"year","2026",246,"25-52",25,52,149,112,13,0.6056910569105691,4
"year","2026",246,"38-83",38,83,148,113,21,0.6016260162601627,5
"year","2026",246,"19-91",19,91,147,118,12,0.5975609756097561,6
"year","2026",246,"15-51",15,51,143,110,12,0.5813008130081301,7
"year","2026",246,"14-41",14,41,142,109,15,0.5772357723577236,8
"year","2026",246,"46-64",46,64,141,110,16,0.573170731707317,9
"year","2026",246,"18-81",18,81,139,108,13,0.5650406504065041,10
"year","2026",246,"59-95",59,95,139,110,11,0.5650406504065041,10
"year","2026",246,"34-43",34,43,138,102,14,0.5609756097560976,11
"year","2026",246,"49-94",49,94,138,108,14,0.5609756097560976,11
"year","2026",246,"01-10",1,10,137,108,13,0.556910569105691,12
"year","2026",246,"06-60",6,60,137,109,14,0.556910569105691,12
"year","2026",246,"05-50",5,50,136,111,12,0.5528455284552846,13
"year","2026",246,"23-32",23,32,136,104,13,0.5528455284552846,13
"year","2026",246,"37-73",37,73,136,111,10,0.5528455284552846,13
"year","2026",246,"26-62",26,62,135,108,8,0.5487804878048781,14
"year","2026",246,"48-84",48,84,135,108,16,0.5487804878048781,14
"year","2026",246,"08-80",8,80,134,103,14,0.5447154471544715,15
"year","2026",246,"16-61",16,61,134,108,12,0.5447154471544715,15
"year","2026",246,"12-21",12,21,133,100,16,0.540650406504065,16
"year","2026",246,"69-96",69,96,132,104,13,0.5365853658536586,17
"year","2026",246,"17-71",17,71,131,99,13,0.532520325203252,18
"year","2026",246,"29-92",29,92,131,95,13,0.532520325203252,18
"year","2026",246,"79-97",79,97,131,106,9,0.532520325203252,18
"year","2026",246,"27-72",27,72,130,107,11,0.5284552845528455,19
"year","2026",246,"02-20",2,20,129,97,14,0.524390243902439,20
"year","2026",246,"03-30",3,30,128,102,10,0.5203252032520326,21
"year","2026",246,"36-63",36,63,127,101,13,0.516260162601626,22
"year","2026",246,"47-74",47,74,127,98,15,0.516260162601626,22
"year","2026",246,"56-65",56,65,127,100,11,0.516260162601626,22
"year","2026",246,"68-86",68,86,127,102,16,0.516260162601626,22
"year","2026",246,"24-42",24,42,125,103,10,0.508130081300813,23
"year","2026",246,"58-85",58,85,125,98,11,0.508130081300813,23
"year","2026",246,"67-76",67,76,125,98,15,0.508130081300813,23
"year","2026",246,"78-87",78,87,124,93,14,0.5040650406504065,24
"year","2026",246,"04-40",4,40,123,97,10,0.5,25
"year","2026",246,"57-75",57,75,122,98,13,0.4959349593495935,26
"year","2026",246,"89-98",89,98,122,95,11,0.4959349593495935,26
"year","2026",246,"07-70",7,70,121,92,20,0.491869918699187,27
"year","2026",246,"28-82",28,82,121,100,6,0.491869918699187,27
"year","2026",246,"35-53",35,53,116,94,10,0.4715447154471545,28
"year","2026",246,"39-93",39,93,115,91,11,0.46747967479674796,29
"year","2026",246,"33-33",33,33,75,61,61,0.3048780487804878,30
"year","2026",246,"77-77",77,77,75,70,70,0.3048780487804878,30
"year","2026",246,"88-88",88,88,65,57,57,0.26422764227642276,31
"year","2026",246,"11-11",11,11,64,59,59,0.2601626016260163,32
"year","2026",246,"44-44",44,44,64,57,57,0.2601626016260163,32
"year","2026",246,"55-55",55,55,63,53,53,0.25609756097560976,33
"year","2026",246,"22-22",22,22,61,52,52,0.24796747967479674,34
"year","2026",246,"66-66",66,66,60,53,53,0.24390243902439024,35
"year","2026",246,"99-99",99,99,60,53,53,0.24390243902439024,35
"year","2026",246,"00-00",0,0,58,50,50,0.23577235772357724,36
