"period_kind","period_key","group_type","group_value","freq","draws","rate","rank_in_period_group"
"month","2020-01","db_cham",0,8,27,0.2962962962962963,2
"month","2020-01","db_cham",1,7,27,0.25925925925925924,3
"month","2020-01","db_cham",2,5,27,0.18518518518518517,5
"month","2020-01","db_cham",3,1,27,0.037037037037037035,8
"month","2020-01","db_cham",4,10,27,0.37037037037037035,1
"month","2020-01","db_cham",5,6,27,0.2222222222222222,4
"month","2020-01","db_cham",6,3,27,0.1111111111111111,7
"month","2020-01","db_cham",7,4,27,0.14814814814814814,6
"month","2020-01","db_cham",8,4,27,0.14814814814814814,6
"month","2020-01","db_cham",9,5,27,0.18518518518518517,5
"month","2020-01","db_head",0,4,27,0.14814814814814814,2
"month","2020-01","db_head",1,4,27,0.14814814814814814,2
"month","2020-01","db_head",2,2,27,0.07407407407407407,4
"month","2020-01","db_head",4,5,27,0.18518518518518517,1
"month","2020-01","db_head",5,3,27,0.1111111111111111,3
"month","2020-01","db_head",6,1,27,0.037037037037037035,5
"month","2020-01","db_head",7,3,27,0.1111111111111111,3
"month","2020-01","db_head",8,3,27,0.1111111111111111,3
"month","2020-01","db_head",9,2,27,0.07407407407407407,4
"month","2020-01","db_tail",0,4,27,0.14814814814814814,2
"month","2020-01","db_tail",1,3,27,0.1111111111111111,3
"month","2020-01","db_tail",2,3,27,0.1111111111111111,3
"month","2020-01","db_tail",3,1,27,0.037037037037037035,5
"month","2020-01","db_tail",4,6,27,0.2222222222222222,1
"month","2020-01","db_tail",5,3,27,0.1111111111111111,3
"month","2020-01","db_tail",6,2,27,0.07407407407407407,4
"month","2020-01","db_tail",7,1,27,0.037037037037037035,5
"month","2020-01","db_tail",8,1,27,0.037037037037037035,5
"month","2020-01","db_tail",9,3,27,0.1111111111111111,3
"month","2020-01","db_total",0,2,27,0.07407407407407407,3
"month","2020-01","db_total",1,2,27,0.07407407407407407,3
"month","2020-01","db_total",2,1,27,0.037037037037037035,4
"month","2020-01","db_total",3,7,27,0.25925925925925924,1
"month","2020-01","db_total",4,3,27,0.1111111111111111,2
"month","2020-01","db_total",5,3,27,0.1111111111111111,2
"month","2020-01","db_total",6,3,27,0.1111111111111111,2
"month","2020-01","db_total",7,2,27,0.07407407407407407,3
"month","2020-01","db_total",8,3,27,0.1111111111111111,2
"month","2020-01","db_total",9,1,27,0.037037037037037035,4
"month","2020-02","db_cham",0,6,29,0.20689655172413793,3
"month","2020-02","db_cham",1,6,29,0.20689655172413793,3
"month","2020-02","db_cham",2,3,29,0.10344827586206896,6
"month","2020-02","db_cham",3,4,29,0.13793103448275862,5
"month","2020-02","db_cham",4,8,29,0.27586206896551724,2
"month","2020-02","db_cham",5,5,29,0.1724137931034483,4
"month","2020-02","db_cham",6,5,29,0.1724137931034483,4
"month","2020-02","db_cham",7,10,29,0.3448275862068966,1
"month","2020-02","db_cham",8,3,29,0.10344827586206896,6
"month","2020-02","db_cham",9,5,29,0.1724137931034483,4
"month","2020-02","db_head",0,4,29,0.13793103448275862,3
"month","2020-02","db_head",1,5,29,0.1724137931034483,2
"month","2020-02","db_head",2,1,29,0.034482758620689655,6
"month","2020-02","db_head",3,3,29,0.10344827586206896,4
"month","2020-02","db_head",4,6,29,0.20689655172413793,1
"month","2020-02","db_head",5,1,29,0.034482758620689655,6
"month","2020-02","db_head",7,4,29,0.13793103448275862,3
"month","2020-02","db_head",8,2,29,0.06896551724137931,5
