"period_kind","period_key","group_type","group_value","freq","draws","rate","rank_in_period_group"
"week","2020-W01","db_cham",0,2,5,0.4,2
"week","2020-W01","db_cham",1,1,5,0.2,3
"week","2020-W01","db_cham",2,1,5,0.2,3
"week","2020-W01","db_cham",3,1,5,0.2,3
"week","2020-W01","db_cham",4,3,5,0.6,1
"week","2020-W01","db_cham",5,1,5,0.2,3
"week","2020-W01","db_cham",9,1,5,0.2,3
"week","2020-W01","db_head",0,2,5,0.4,1
"week","2020-W01","db_head",2,1,5,0.2,2
"week","2020-W01","db_head",4,2,5,0.4,1
"week","2020-W01","db_tail",1,1,5,0.2,1
"week","2020-W01","db_tail",3,1,5,0.2,1
"week","2020-W01","db_tail",4,1,5,0.2,1
"week","2020-W01","db_tail",5,1,5,0.2,1
"week","2020-W01","db_tail",9,1,5,0.2,1
"week","2020-W01","db_total",3,2,5,0.4,1
"week","2020-W01","db_total",4,1,5,0.2,2
"week","2020-W01","db_total",5,1,5,0.2,2
"week","2020-W01","db_total",7,1,5,0.2,2
"week","2020-W02","db_cham",0,2,7,0.2857142857142857,2
"week","2020-W02","db_cham",1,1,7,0.14285714285714285,3
"week","2020-W02","db_cham",2,1,7,0.14285714285714285,3
"week","2020-W02","db_cham",4,3,7,0.42857142857142855,1
"week","2020-W02","db_cham",5,2,7,0.2857142857142857,2
"week","2020-W02","db_cham",6,1,7,0.14285714285714285,3
"week","2020-W02","db_cham",7,1,7,0.14285714285714285,3
"week","2020-W02","db_cham",8,2,7,0.2857142857142857,2
"week","2020-W02","db_cham",9,1,7,0.14285714285714285,3
"week","2020-W02","db_head",0,1,7,0.14285714285714285,2
"week","2020-W02","db_head",1,1,7,0.14285714285714285,2
"week","2020-W02","db_head",5,2,7,0.2857142857142857,1
"week","2020-W02","db_head",7,1,7,0.14285714285714285,2
"week","2020-W02","db_head",8,1,7,0.14285714285714285,2
"week","2020-W02","db_head",9,1,7,0.14285714285714285,2
"week","2020-W02","db_tail",0,1,7,0.14285714285714285,2
"week","2020-W02","db_tail",2,1,7,0.14285714285714285,2
"week","2020-W02","db_tail",4,3,7,0.42857142857142855,1
"week","2020-W02","db_tail",6,1,7,0.14285714285714285,2
"week","2020-W02","db_tail",8,1,7,0.14285714285714285,2
"week","2020-W02","db_total",1,1,7,0.14285714285714285,2
"week","2020-W02","db_total",3,2,7,0.2857142857142857,1
"week","2020-W02","db_total",4,1,7,0.14285714285714285,2
"week","2020-W02","db_total",5,1,7,0.14285714285714285,2
"week","2020-W02","db_total",8,1,7,0.14285714285714285,2
