"period_kind","period_key","number","number_str","freq","rank_in_period"
"month","2015-01",0,"00",1,2
"month","2015-01",1,"01",1,2
"month","2015-01",3,"03",1,2
"month","2015-01",5,"05",1,2
"month","2015-01",6,"06",1,2
"month","2015-01",8,"08",1,2
"month","2015-01",13,"13",1,2
"month","2015-01",19,"19",1,2
"month","2015-01",25,"25",2,1
"month","2015-01",26,"26",1,2
"month","2015-01",31,"31",1,2
"month","2015-01",33,"33",1,2
"month","2015-01",43,"43",1,2
"month","2015-01",46,"46",1,2
"month","2015-01",50,"50",1,2
"month","2015-01",56,"56",2,1
"month","2015-01",58,"58",1,2
"month","2015-01",62,"62",2,1
"month","2015-01",64,"64",1,2
"month","2015-01",76,"76",2,1
"month","2015-01",84,"84",1,2
"month","2015-01",88,"88",2,1
"month","2015-01",90,"90",1,2
"month","2015-01",91,"91",2,1
"month","2015-01",95,"95",1,2
"month","2015-02",4,"04",1,2
"month","2015-02",5,"05",1,2
"month","2015-02",6,"06",1,2
"month","2015-02",7,"07",1,2
"month","2015-02",11,"11",1,2
"month","2015-02",12,"12",1,2
"month","2015-02",13,"13",1,2
"month","2015-02",18,"18",2,1
"month","2015-02",36,"36",1,2
"month","2015-02",38,"38",1,2
"month","2015-02",45,"45",2,1
"month","2015-02",49,"49",1,2
"month","2015-02",53,"53",1,2
"month","2015-02",54,"54",1,2
"month","2015-02",59,"59",1,2
"month","2015-02",63,"63",1,2
"month","2015-02",71,"71",1,2
"month","2015-02",83,"83",1,2
"month","2015-02",85,"85",1,2
"month","2015-02",88,"88",1,2
"month","2015-02",91,"91",1,2
"month","2015-02",93,"93",1,2
"month","2015-03",1,"01",1,2
"month","2015-03",3,"03",1,2
"month","2015-03",4,"04",1,2
"month","2015-03",7,"07",1,2
"month","2015-03",17,"17",1,2
"month","2015-03",19,"19",1,2
"month","2015-03",24,"24",1,2
"month","2015-03",27,"27",2,1
"month","2015-03",29,"29",1,2
"month","2015-03",33,"33",1,2
"month","2015-03",45,"45",1,2
"month","2015-03",47,"47",1,2
"month","2015-03",48,"48",1,2
"month","2015-03",50,"50",1,2
"month","2015-03",51,"51",1,2
"month","2015-03",55,"55",1,2
"month","2015-03",56,"56",1,2
"month","2015-03",57,"57",1,2
"month","2015-03",62,"62",1,2
"month","2015-03",71,"71",1,2
"month","2015-03",72,"72",1,2
"month","2015-03",81,"81",1,2
"month","2015-03",85,"85",1,2
"month","2015-03",87,"87",1,2
"month","2015-03",88,"88",1,2
"month","2015-03",89,"89",2,1
"month","2015-03",95,"95",1,2
"month","2015-03",97,"97",1,2
"month","2015-03",99,"99",1,2
"month","2015-04",0,"00",1,2
"month","2015-04",12,"12",1,2
"month","2015-04",13,"13",1,2
"month","2015-04",15,"15",2,1
"month","2015-04",16,"16",1,2
"month","2015-04",25,"25",1,2
"month","2015-04",29,"29",1,2
"month","2015-04",44,"44",1,2
"month","2015-04",48,"48",1,2
"month","2015-04",51,"51",1,2
"month","2015-04",52,"52",1,2
"month","2015-04",60,"60",1,2
"month","2015-04",64,"64",1,2
"month","2015-04",65,"65",1,2
"month","2015-04",66,"66",1,2
"month","2015-04",67,"67",1,2
"month","2015-04",68,"68",1,2
"month","2015-04",69,"69",1,2
"month","2015-04",71,"71",1,2
"month","2015-04",72,"72",1,2
"month","2015-04",73,"73",1,2
"month","2015-04",75,"75",1,2
"month","2015-04",76,"76",1,2
"month","2015-04",78,"78",1,2
"month","2015-04",81,"81",1,2
"month","2015-04",86,"86",1,2
"month","2015-04",93,"93",1,2
"month","2015-04",96,"96",1,2
"month","2015-04",99,"99",1,2
"month","2015-05",0,"00",1,3
