"week_key","T2","T3","T4","T5","T6","T7","CN"
"2025-W33","71","75","21","16","77","94","91"
"2025-W34","45","50","34","27","34","22","57"
"2025-W35","93","44","52","92","12","30","39"
"2025-W36","35","79","33","43","78","93","37"
"2025-W37","93","60","31","17","86","01","07"
"2025-W38","46","05","05","50","46","90","71"
"2025-W39","61","88","59","63","23","19","06"
"2025-W40","50","36","83","47","09","05","45"
"2025-W41","21","25","33","65","40","43","52"
"2025-W42","08","24","28","62","79","79","66"
"2025-W43","72","81","74","83","64","62","10"
"2025-W44","83","08","73","88","01","92","67"
"2025-W45","95","86","43","02","14","14","79"
"2025-W46","92","76","54","50","20","79","21"
"2025-W47","55","53","70","33","43","03","04"
"2025-W48","39","38","97","27","34","90","88"
"2025-W49","12","86","38","29","35","26","26"
"2025-W50","92","08","52","68","36","53","68"
"2025-W51","93","92","84","38","72","16","36"
"2025-W52","96","59","29","99","36","82","05"
"2026-W01","37","91","60","68","48","49","97"
"2026-W02","05","47","89","62","23","93","38"
"2026-W03","94","27","17","22","28","24","51"
"2026-W04","86","78","86","63","22","62","30"
"2026-W05","74","80","21","14","45","54","77"
"2026-W06","61","48","17","68","33","85","77"
"2026-W07","01","90","92","75","77","30","01"
"2026-W08","01","01","01","01","81","13","12"
"2026-W09","55","37","53","08","83","91","48"
"2026-W10","57","78","19","59","49","51","36"
"2026-W11","80","42","68","24","59","48","70"
"2026-W12","52","69","87","95","24","94","46"
"2026-W13","14","29","88","93","32","22","88"
"2026-W14","64","91","66","67","44","37","55"
"2026-W15","06","82","50","25","20","04","00"
"2026-W16","38","63","14","35","55","43","25"
"2026-W17","97","76","48","39","76","17","28"
"2026-W18","59","54","69","75","37","32","64"
"2026-W19","51","12","41","40","47","92","23"
"2026-W20","17","33","38","69","94","04","84"
"2026-W21","61","54","68","85","39","21","04"
"2026-W22","81","11","13","50","54","43","42"
"2026-W23","53","23","36","83","78","65","93"
"2026-W24","05","51","08","83","89","14","00"
"2026-W25","80","84","03","32","55","60","83"
"2026-W26","36","37","51","16","04","53","52"
"2026-W27","42","68","54","39","65","87","71"
"2026-W28","97","79","89","85","67","01","94"
"2026-W29","99","47","19","63","39","90","38"
"2026-W30","28","70","54","54","38","28","16"
"2026-W31","96","00","83","34","10","23","09"
"2026-W32","47","25","60","67","79","22","21"
"2026-W33","57","91","26","44","18","78","96"
"2026-W34","39","83","43","23","33","13","38"
"2026-W35","17","80","61","45","68","37","72"
"2026-W36","44","21","42","11","","",""
