"period_kind","period_key","number","number_str","freq","rank_in_period"
"year","2015",0,"00",5,5
"year","2015",1,"01",5,5
"year","2015",2,"02",1,9
"year","2015",3,"03",5,5
"year","2015",4,"04",3,7
"year","2015",5,"05",4,6
"year","2015",6,"06",4,6
"year","2015",7,"07",4,6
"year","2015",8,"08",5,5
"year","2015",9,"09",4,6
"year","2015",10,"10",3,7
"year","2015",11,"11",1,9
"year","2015",12,"12",6,4
"year","2015",13,"13",5,5
"year","2015",14,"14",5,5
"year","2015",15,"15",6,4
"year","2015",16,"16",2,8
"year","2015",17,"17",3,7
"year","2015",18,"18",4,6
"year","2015",19,"19",4,6
"year","2015",20,"20",8,2
"year","2015",21,"21",1,9
"year","2015",22,"22",5,5
"year","2015",24,"24",2,8
"year","2015",25,"25",5,5
"year","2015",26,"26",2,8
"year","2015",27,"27",3,7
"year","2015",28,"28",3,7
"year","2015",29,"29",4,6
"year","2015",30,"30",2,8
"year","2015",31,"31",9,1
"year","2015",32,"32",2,8
"year","2015",33,"33",4,6
"year","2015",34,"34",2,8
"year","2015",35,"35",3,7
"year","2015",36,"36",8,2
"year","2015",37,"37",2,8
"year","2015",38,"38",3,7
"year","2015",39,"39",4,6
"year","2015",40,"40",4,6
"year","2015",42,"42",2,8
"year","2015",43,"43",5,5
"year","2015",44,"44",2,8
"year","2015",45,"45",6,4
"year","2015",46,"46",5,5
"year","2015",47,"47",4,6
"year","2015",48,"48",4,6
"year","2015",49,"49",3,7
"year","2015",50,"50",3,7
"year","2015",51,"51",2,8
"year","2015",52,"52",1,9
"year","2015",53,"53",3,7
"year","2015",54,"54",3,7
"year","2015",55,"55",3,7
"year","2015",56,"56",9,1
"year","2015",57,"57",2,8
"year","2015",58,"58",2,8
"year","2015",59,"59",3,7
"year","2015",60,"60",3,7
"year","2015",61,"61",2,8
"year","2015",62,"62",6,4
"year","2015",63,"63",4,6
"year","2015",64,"64",2,8
"year","2015",65,"65",3,7
"year","2015",66,"66",2,8
"year","2015",67,"67",2,8
"year","2015",68,"68",4,6
"year","2015",69,"69",4,6
"year","2015",70,"70",4,6
"year","2015",71,"71",4,6
"year","2015",72,"72",3,7
"year","2015",73,"73",4,6
"year","2015",74,"74",2,8
"year","2015",75,"75",4,6
"year","2015",76,"76",6,4
"year","2015",77,"77",1,9
"year","2015",78,"78",6,4
"year","2015",79,"79",2,8
"year","2015",80,"80",3,7
"year","2015",81,"81",5,5
"year","2015",82,"82",2,8
"year","2015",83,"83",2,8
"year","2015",84,"84",5,5
"year","2015",85,"85",4,6
"year","2015",86,"86",2,8
"year","2015",87,"87",3,7
"year","2015",88,"88",5,5
"year","2015",89,"89",6,4
"year","2015",90,"90",7,3
"year","2015",91,"91",7,3
"year","2015",92,"92",2,8
"year","2015",93,"93",3,7
"year","2015",94,"94",3,7
"year","2015",95,"95",6,4
"year","2015",96,"96",4,6
"year","2015",97,"97",4,6
"year","2015",99,"99",3,7
"year","2016",0,"00",5,5
"year","2016",1,"01",4,6
"year","2016",2,"02",8,2
"year","2016",3,"03",2,8
"year","2016",4,"04",5,5
"year","2016",5,"05",6,4
"year","2016",6,"06",6,4
"year","2016",7,"07",3,7
"year","2016",8,"08",3,7
"year","2016",9,"09",6,4
