"predict_for_date","number_str","target","prob"
"2026-07-04","93",0,0.011484990466205935
"2026-07-04","62",0,0.011046236213560908
"2026-07-04","14",0,0.010952445487340508
"2026-07-04","21",0,0.010920506987529284
"2026-07-04","00",0,0.010894709947452626
"2026-07-04","12",0,0.010894709947452626
"2026-07-04","05",0,0.010686468798811553
"2026-07-04","08",0,0.010665291212168906
"2026-07-04","17",0,0.010572354925952676
"2026-07-04","60",0,0.010572354925952676
"2026-07-04","85",0,0.010572354925952676
"2026-07-04","16",0,0.010541215163530944
"2026-07-04","68",0,0.010530401372289793
"2026-07-04","33",0,0.010493223158577899
"2026-07-04","36",0,0.010493223158577899
"2026-07-04","37",0,0.010493223158577899
"2026-07-04","43",0,0.010493223158577899
"2026-07-04","55",0,0.010493223158577899
"2026-07-04","32",0,0.010437882849987274
"2026-07-04","40",0,0.010437882849987274
"2026-07-05","92",0,0.011484990466205935
"2026-07-05","93",0,0.011484990466205935
"2026-07-05","00",0,0.011035001733521977
"2026-07-05","05",0,0.011035001733521977
"2026-07-05","12",0,0.011035001733521977
"2026-07-05","14",0,0.011035001733521977
"2026-07-05","36",0,0.010920506987529284
"2026-07-05","43",0,0.010920506987529284
"2026-07-05","83",0,0.010920506987529284
"2026-07-05","08",0,0.010665291212168906
"2026-07-05","17",0,0.010572354925952676
"2026-07-05","21",0,0.010572354925952676
"2026-07-05","33",0,0.010572354925952676
"2026-07-05","50",0,0.010572354925952676
"2026-07-05","64",0,0.010572354925952676
"2026-07-05","80",0,0.010572354925952676
"2026-07-05","84",0,0.010572354925952676
"2026-07-05","85",0,0.010572354925952676
"2026-07-05","16",0,0.010541215163530944
"2026-07-05","37",0,0.010493223158577899
"2026-07-06","92",0,0.011484990466205935
"2026-07-06","00",0,0.011035001733521977
"2026-07-06","14",0,0.011035001733521977
"2026-07-06","05",0,0.010952445487340508
"2026-07-06","36",0,0.010920506987529284
"2026-07-06","79",0,0.010911374354253824
"2026-07-06","12",0,0.010894709947452626
"2026-07-06","16",0,0.010894709947452626
"2026-07-06","17",0,0.010572354925952676
"2026-07-06","33",0,0.010572354925952676
"2026-07-06","37",0,0.010572354925952676
"2026-07-06","43",0,0.010572354925952676
"2026-07-06","50",0,0.010572354925952676
"2026-07-06","61",0,0.010572354925952676
"2026-07-06","64",0,0.010572354925952676
"2026-07-06","84",0,0.010572354925952676
"2026-07-06","08",0,0.010554591495224619
"2026-07-06","21",0,0.010493223158577899
"2026-07-06","55",0,0.010493223158577899
"2026-07-06","71",0,0.010480923623698173
"2026-07-07","92",0,0.011484990466205935
"2026-07-07","00",0,0.011035001733521977
"2026-07-07","04",0,0.011035001733521977
"2026-07-07","14",0,0.010920506987529284
"2026-07-07","83",0,0.010920506987529284
"2026-07-07","03",0,0.010894709947452626
"2026-07-07","12",0,0.010894709947452626
"2026-07-07","16",0,0.010894709947452626
"2026-07-07","02",0,0.010681865626451527
"2026-07-07","07",0,0.010681865626451527
"2026-07-07","09",0,0.010681865626451527
"2026-07-07","10",0,0.010681865626451527
"2026-07-07","15",0,0.010681865626451527
"2026-07-07","08",0,0.010665291212168906
"2026-07-07","17",0,0.010572354925952676
"2026-07-07","21",0,0.010572354925952676
"2026-07-07","61",0,0.010572354925952676
"2026-07-07","33",0,0.010493223158577899
"2026-07-07","37",0,0.010493223158577899
"2026-07-07","43",0,0.010493223158577899
"2026-07-08","12",0,0.011035001733521977
"2026-07-08","16",0,0.011035001733521977
"2026-07-08","04",0,0.010952445487340508
"2026-07-08","05",0,0.010920506987529284
"2026-07-08","14",0,0.010920506987529284
"2026-07-08","36",0,0.010920506987529284
"2026-07-08","55",0,0.010920506987529284
