"predict_for_date","number_str","target","prob"
"2026-07-14","51",0,0.24160730515890136
"2026-07-14","06",0,0.24112865642486248
"2026-07-14","83",0,0.2408966172872584
"2026-07-14","91",0,0.24055389130361995
"2026-07-14","70",0,0.24048886866324257
"2026-07-14","09",0,0.24007161482734757
"2026-07-14","17",1,0.24007161482734757
"2026-07-14","00",0,0.23999101763159145
"2026-07-14","33",1,0.23999101763159145
"2026-07-14","93",0,0.23999101763159145
"2026-07-14","73",0,0.2398977967974811
"2026-07-14","03",0,0.23954507275251452
"2026-07-14","23",0,0.23954507275251452
"2026-07-14","30",0,0.23954507275251452
"2026-07-14","53",0,0.23954507275251452
"2026-07-14","60",0,0.23954507275251452
"2026-07-14","63",0,0.23954507275251452
"2026-07-14","13",0,0.23912556693262255
"2026-07-14","40",0,0.23900826052119445
"2026-07-14","43",0,0.23900826052119445
"2026-07-15","29",0,0.24601503124592758
"2026-07-15","73",0,0.2437977954656404
"2026-07-15","51",0,0.24160730515890136
"2026-07-15","87",0,0.24125959896743923
"2026-07-15","15",0,0.2412590958584582
"2026-07-15","36",0,0.24095054078985098
"2026-07-15","89",0,0.24060694787128498
"2026-07-15","06",1,0.24059928420395904
"2026-07-15","70",1,0.24048886866324257
"2026-07-15","79",0,0.24010883297350533
"2026-07-15","00",1,0.23999101763159145
"2026-07-15","49",0,0.23970154341144204
"2026-07-15","09",0,0.23963659888586727
"2026-07-15","30",0,0.23954507275251452
"2026-07-15","60",0,0.23954507275251452
"2026-07-15","90",0,0.23954507275251452
"2026-07-15","59",0,0.23933611595123166
"2026-07-15","25",0,0.2392525353619906
"2026-07-15","69",0,0.2391596084271183
"2026-07-15","40",0,0.23900826052119445
"2026-07-16","93",0,0.2435056834627592
"2026-07-16","55",0,0.24172710207149514
"2026-07-16","87",1,0.24172710207149514
"2026-07-16","51",0,0.24160730515890136
"2026-07-16","15",0,0.2412590958584582
"2026-07-16","14",0,0.240800674454429
"2026-07-16","92",0,0.2405154006515987
"2026-07-16","75",0,0.24033469826916826
"2026-07-16","35",0,0.2401520469742527
"2026-07-16","00",0,0.23999101763159145
"2026-07-16","30",0,0.23999101763159145
"2026-07-16","03",0,0.23954507275251452
"2026-07-16","10",0,0.23954507275251452
"2026-07-16","33",1,0.23954507275251452
"2026-07-16","53",1,0.23954507275251452
"2026-07-16","60",1,0.23954507275251452
"2026-07-16","63",1,0.23954507275251452
"2026-07-16","70",0,0.23954507275251452
"2026-07-16","20",0,0.23938776378143042
"2026-07-16","23",0,0.23938776378143042
"2026-07-17","93",1,0.2463877356160373
"2026-07-17","51",0,0.24160730515890136
"2026-07-17","15",0,0.2412590958584582
"2026-07-17","83",0,0.24061115691123094
"2026-07-17","35",1,0.2401520469742527
"2026-07-17","00",0,0.23999101763159145
"2026-07-17","30",0,0.23999101763159145
"2026-07-17","87",0,0.23964867249249883
"2026-07-17","03",0,0.23954507275251452
"2026-07-17","60",0,0.23954507275251452
"2026-07-17","63",0,0.23954507275251452
"2026-07-17","70",1,0.23954507275251452
"2026-07-17","23",0,0.23933647716337317
"2026-07-17","11",1,0.23921401663008865
"2026-07-17","82",0,0.23908303710897594
"2026-07-17","10",1,0.23905017321754066
"2026-07-17","40",0,0.23900826052119445
"2026-07-17","18",0,0.23889067088469423
"2026-07-17","84",0,0.23883668660312585
"2026-07-17","06",0,0.23877556009200185
"2026-07-18","60",0,0.24773605743824798
"2026-07-18","73",0,0.2427379482906387
"2026-07-18","33",0,0.2423912854893252
"2026-07-18","51",0,0.24160730515890136
"2026-07-18","15",0,0.2412590958584582
"2026-07-18","37",0,0.24099612791907743
"2026-07-18","09",1,0.2405254414751748
"2026-07-18","19",1,0.2405254414751748
"2026-07-18","39",0,0.2405254414751748
"2026-07-18","91",0,0.24050258818962736
"2026-07-18","13",0,0.2402698144148844
"2026-07-18","00",0,0.23999101763159145
"2026-07-18","70",0,0.23999101763159145
"2026-07-18","47",0,0.23972630622869995
"2026-07-18","99",0,0.23970154341144204
"2026-07-18","30",1,0.23954507275251452
"2026-07-18","40",0,0.2394535207295457
"2026-07-18","29",0,0.2391167583249243
"2026-07-18","89",0,0.2391167583249243
"2026-07-18","49",0,0.23876225787406447
"2026-07-19","96",0,0.24280889110340556
"2026-07-19","73",0,0.2427379482906387
"2026-07-19","33",1,0.2423605970089381
"2026-07-19","53",1,0.24217807351651535
"2026-07-19","51",0,0.24160730515890136
"2026-07-19","00",0,0.24159882183142858
"2026-07-19","15",0,0.2412590958584582
"2026-07-19","55",0,0.24112086880662975
"2026-07-19","50",1,0.24107313337151293
"2026-07-19","39",0,0.24097263310792885
"2026-07-19","87",1,0.2407641515388982
"2026-07-19","69",0,0.24069804687293042
"2026-07-19","77",0,0.24053754569759167
"2026-07-19","09",1,0.2405254414751748
"2026-07-19","19",0,0.2405254414751748
"2026-07-19","99",0,0.2399871255999542
"2026-07-19","18",0,0.23917455728299294
"2026-07-19","29",0,0.2391167583249243
"2026-07-19","89",0,0.2391167583249243
"2026-07-19","59",0,0.23876225787406447
"2026-07-20","73",0,0.2427379482906387
"2026-07-20","33",0,0.24190024588272502
"2026-07-20","53",0,0.24189175555017559
"2026-07-20","51",0,0.24160730515890136
"2026-07-20","09",0,0.2413937975219589
"2026-07-20","47",0,0.24126757105193536
"2026-07-20","15",0,0.2412590958584582
"2026-07-20","23",0,0.24082308037412667
"2026-07-20","17",0,0.240800674454429
"2026-07-20","00",0,0.2405637488004906
"2026-07-20","50",1,0.2399406501687533
"2026-07-20","65",0,0.23900469781567044
"2026-07-20","18",1,0.23889067088469423
"2026-07-20","39",1,0.23849872410574063
"2026-07-20","40",0,0.23835179774025392
"2026-07-20","61",0,0.23835179774025392
"2026-07-20","63",1,0.23835179774025392
"2026-07-20","66",0,0.2382983764300403
"2026-07-20","32",0,0.2381797450076241
"2026-07-20","11",0,0.23814726070275138
"2026-07-21","23",0,0.24450408814268318
"2026-07-21","40",0,0.2430717120256275
"2026-07-21","73",0,0.2427379482906387
"2026-07-21","50",0,0.24236356181022783
"2026-07-21","53",1,0.24217807351651535
"2026-07-21","33",0,0.24193089468561
"2026-07-21","51",1,0.24161826932238356
"2026-07-21","80",0,0.2414001243663779
"2026-07-21","15",0,0.2412590958584582
"2026-07-21","17",1,0.24109717232816566
"2026-07-21","30",0,0.2408987600994145
"2026-07-21","91",0,0.24057661530835525
"2026-07-21","00",0,0.2405637488004906
"2026-07-21","14",0,0.24053754569759167
"2026-07-21","87",0,0.24036749922487033
"2026-07-21","39",0,0.23896306206172446
"2026-07-21","18",0,0.23889067088469423
"2026-07-21","83",1,0.23881535408909615
"2026-07-21","61",0,0.23835179774025392
"2026-07-21","16",0,0.2382983764300403
"2026-07-22","89",0,0.24460344213381136
"2026-07-22","83",1,0.2430511397311916
"2026-07-22","73",0,0.2427379482906387
"2026-07-22","53",0,0.24245666920224915
"2026-07-22","70",0,0.2423605970089381
"2026-07-22","50",0,0.24214231273369918
"2026-07-22","63",0,0.24190024588272502
"2026-07-22","78",0,0.24172710207149514
"2026-07-22","33",0,0.24160730515890136
"2026-07-22","87",0,0.24126757105193536
"2026-07-22","15",0,0.2412590958584582
"2026-07-22","03",0,0.24103083464309444
"2026-07-22","39",0,0.24099612791907743
"2026-07-22","00",0,0.2405637488004906
"2026-07-22","14",0,0.24053754569759167
"2026-07-22","51",0,0.24027180208155965
"2026-07-22","59",0,0.2397458059674791
"2026-07-22","07",0,0.23950558356316165
"2026-07-22","72",0,0.23918554810470755
"2026-07-22","18",0,0.23917455728299294
"2026-07-23","83",0,0.24342765006524064
"2026-07-23","73",0,0.2427379482906387
"2026-07-23","63",1,0.24218657068825666
"2026-07-23","53",0,0.24189175555017559
"2026-07-23","77",0,0.24126757105193536
"2026-07-23","15",0,0.2412590958584582
"2026-07-23","93",1,0.24125251703257877
"2026-07-23","35",1,0.24091312333163403
"2026-07-23","51",0,0.24087657819033906
"2026-07-23","87",0,0.240800674454429
"2026-07-23","00",0,0.2405637488004906
"2026-07-23","17",1,0.24053754569759167
"2026-07-23","13",0,0.2402698144148844
"2026-07-23","21",0,0.240035541391178
"2026-07-23","02",0,0.23997258160176357
"2026-07-23","39",1,0.23973599175386953
"2026-07-23","50",0,0.23965596496592925
"2026-07-23","07",0,0.23950558356316165
"2026-07-23","32",0,0.23921440886164738
"2026-07-23","80",0,0.23908215473025274
"2026-07-24","50",1,0.24413490756962303
"2026-07-24","73",0,0.2427379482906387
"2026-07-24","63",0,0.24218657068825666
"2026-07-24","51",0,0.24160730515890136
"2026-07-24","78",1,0.24145192960568476
"2026-07-24","77",0,0.24126757105193536
"2026-07-24","87",0,0.24126757105193536
"2026-07-24","15",0,0.2412590958584582
"2026-07-24","17",1,0.24053754569759167
"2026-07-24","03",0,0.2404934696139767
"2026-07-24","39",0,0.24018383095707482
"2026-07-24","00",0,0.24002709578490314
"2026-07-24","35",0,0.23989808857774725
"2026-07-24","30",0,0.23930806811412283
"2026-07-24","11",0,0.23843054041818296
"2026-07-24","70",1,0.23835179774025392
"2026-07-24","67",0,0.23830923761853381
"2026-07-24","19",0,0.2382983764300403
"2026-07-24","76",1,0.2382983764300403
"2026-07-24","02",0,0.23819930869409847
"2026-07-25","50",0,0.24369812072836886
"2026-07-25","14",0,0.2431652345216039
"2026-07-25","73",0,0.2427379482906387
"2026-07-25","33",0,0.24268872965777516
"2026-07-25","82",0,0.24238594002461286
"2026-07-25","09",0,0.2421255930818345
"2026-07-25","63",0,0.24190024588272502
"2026-07-25","77",0,0.24126757105193536
"2026-07-25","87",0,0.24126757105193536
"2026-07-25","15",0,0.2412590958584582
"2026-07-25","51",0,0.2401788469424821
"2026-07-25","91",0,0.2401489373297837
"2026-07-25","00",0,0.24002709578490314
"2026-07-25","64",0,0.2397028135738572
"2026-07-25","53",0,0.2396703909796305
"2026-07-25","80",0,0.2385986460853595
"2026-07-25","70",0,0.23835179774025392
"2026-07-25","49",0,0.2382983764300403
"2026-07-25","66",1,0.2382983764300403
"2026-07-25","17",0,0.23811849497649362
"2026-07-26","73",0,0.2427379482906387
"2026-07-26","82",0,0.24238594002461286
"2026-07-26","81",0,0.2419255561317735
"2026-07-26","87",0,0.24126757105193536
"2026-07-26","15",0,0.2412590958584582
"2026-07-26","78",0,0.24099612791907743
"2026-07-26","31",0,0.24079360171560163
"2026-07-26","17",0,0.24053754569759167
"2026-07-26","44",0,0.24045464901854516
"2026-07-26","69",0,0.24033099153756438
"2026-07-26","00",0,0.24002709578490314
"2026-07-26","63",0,0.23975452103044972
"2026-07-26","11",0,0.23835179774025392
"2026-07-26","70",0,0.23835179774025392
"2026-07-26","86",0,0.23835032198541198
"2026-07-26","66",0,0.2382983764300403
"2026-07-26","71",0,0.23814726070275138
"2026-07-26","16",1,0.23809387090449669
"2026-07-26","76",0,0.23809387090449669
"2026-07-26","67",0,0.23801520466367834
"2026-07-27","73",0,0.2427379482906387
"2026-07-27","89",0,0.24234331487487334
"2026-07-27","80",0,0.24161826932238356
"2026-07-27","15",0,0.2412590958584582
"2026-07-27","00",0,0.24002709578490314
"2026-07-27","51",1,0.23997079655023779
"2026-07-27","37",0,0.23992724445879487
"2026-07-27","72",0,0.23978974927764585
"2026-07-27","70",1,0.23921401663008865
"2026-07-27","17",0,0.23884348748392445
"2026-07-27","87",1,0.23884348748392445
"2026-07-27","11",0,0.23863524454669072
"2026-07-27","71",0,0.23843054041818296
"2026-07-27","66",1,0.2382983764300403
"2026-07-27","75",0,0.2382349944829193
"2026-07-27","61",1,0.2381797450076241
"2026-07-27","63",0,0.2381797450076241
"2026-07-27","46",1,0.23811849497649362
"2026-07-27","40",0,0.2381015448429402
"2026-07-27","19",0,0.23801520466367834
"2026-07-28","15",1,0.2461346521822733
"2026-07-28","61",1,0.24190024588272502
"2026-07-28","87",0,0.24053754569759167
"2026-07-28","53",0,0.2403175868486306
"2026-07-28","50",0,0.2402137786140272
"2026-07-28","00",1,0.24002709578490314
"2026-07-28","65",1,0.23999101763159145
"2026-07-28","51",0,0.23973559475190964
"2026-07-28","55",0,0.23835907344048324
"2026-07-28","85",0,0.23835907344048324
"2026-07-28","70",0,0.23835179774025392
"2026-07-28","67",1,0.2382983764300403
"2026-07-28","63",1,0.2381797450076241
"2026-07-28","71",0,0.23814726070275138
"2026-07-28","95",0,0.23814033095001944
"2026-07-28","25",0,0.23807567696410895
"2026-07-28","76",0,0.23801520466367834
"2026-07-28","62",0,0.23789667018356314
"2026-07-28","40",1,0.23781853394587354
"2026-07-28","60",0,0.23769240182083468
"2026-07-29","06",0,0.24836687160092652
"2026-07-29","61",0,0.24218657068825666
"2026-07-29","73",0,0.24192165166247892
"2026-07-29","07",0,0.24126757105193536
"2026-07-29","00",0,0.24033099524656146
"2026-07-29","30",0,0.2401694974483677
"2026-07-29","15",1,0.23954507275251452
"2026-07-29","51",0,0.23946289499903325
"2026-07-29","75",1,0.23900826052119445
"2026-07-29","17",0,0.23884348748392445
"2026-07-29","25",0,0.23835907344048324
"2026-07-29","55",0,0.23835907344048324
"2026-07-29","85",0,0.23835907344048324
"2026-07-29","11",0,0.23835179774025392
"2026-07-29","39",0,0.2382983764300403
"2026-07-29","63",0,0.2381797450076241
"2026-07-29","90",0,0.23813405850578828
"2026-07-29","95",0,0.23807567696410895
"2026-07-29","19",0,0.23801520466367834
"2026-07-29","67",0,0.23801520466367834
"2026-07-30","61",0,0.24218657068825666
"2026-07-30","02",0,0.24209370382413586
"2026-07-30","39",0,0.24172710207149514
"2026-07-30","20",0,0.24129914487056142
"2026-07-30","07",0,0.24126757105193536
"2026-07-30","51",0,0.2408380586855252
"2026-07-30","73",0,0.2407157317774347
"2026-07-30","77",0,0.24053754569759167
"2026-07-30","00",0,0.24033099524656146
"2026-07-30","87",1,0.24028464260773846
"2026-07-30","17",0,0.24006356819066474
"2026-07-30","53",0,0.23968162151985836
"2026-07-30","15",0,0.23900826052119445
"2026-07-30","35",1,0.2387234772906846
"2026-07-30","70",0,0.23863524454669072
"2026-07-30","37",0,0.2384207718818385
"2026-07-30","25",0,0.23835907344048324
"2026-07-30","45",0,0.23835907344048324
"2026-07-30","55",0,0.23835907344048324
"2026-07-30","95",1,0.23835907344048324
"2026-07-31","83",1,0.2417714159749847
"2026-07-31","77",0,0.24126757105193536
"2026-07-31","02",0,0.24125970810131592
"2026-07-31","00",0,0.24106059270171937
"2026-07-31","06",0,0.24080526155573248
"2026-07-31","69",0,0.24053754569759167
"2026-07-31","80",0,0.2404175605051204
"2026-07-31","51",0,0.2402565981582669
"2026-07-31","20",0,0.23990493253928086
"2026-07-31","65",0,0.23954507275251452
"2026-07-31","15",1,0.2394535207295457
"2026-07-31","55",1,0.23938776378143042
"2026-07-31","13",1,0.23920990336980616
"2026-07-31","25",0,0.23835907344048324
"2026-07-31","85",0,0.23835907344048324
"2026-07-31","95",0,0.23835907344048324
"2026-07-31","70",0,0.23835179774025392
"2026-07-31","71",0,0.23835179774025392
"2026-07-31","53",0,0.23833042167670462
"2026-07-31","61",0,0.2381797450076241
"2026-08-01","30",1,0.24198550758600554
"2026-08-01","69",0,0.24160085254878083
"2026-08-01","00",0,0.24139367924843236
"2026-08-01","78",0,0.24124607088367023
"2026-08-01","80",1,0.24112643655647437
"2026-08-01","06",0,0.2410907024628424
"2026-08-01","17",0,0.24087013889750192
"2026-08-01","90",1,0.24082730524643148
"2026-08-01","65",0,0.24032309427169796
"2026-08-01","87",1,0.24005813228121828
"2026-08-01","51",0,0.23997079655023779
"2026-08-01","45",0,0.23987672709407923
"2026-08-01","02",0,0.23963707435338663
"2026-08-01","33",0,0.23962668066209009
"2026-08-01","55",0,0.23933940555372685
"2026-08-01","72",0,0.23932261375102212
"2026-08-01","18",0,0.23922170421197955
"2026-08-01","07",0,0.23917447597478012
"2026-08-01","83",0,0.23906985765211208
"2026-08-01","16",0,0.23896945447054813
"2026-08-02","89",0,0.2448773964490836
"2026-08-02","50",0,0.2419409063082684
"2026-08-02","45",0,0.24160085254878083
"2026-08-02","00",0,0.24139367924843236
"2026-08-02","15",1,0.2413291537153877
"2026-08-02","56",0,0.24099612791907743
"2026-08-02","77",0,0.24078716393736385
"2026-08-02","55",1,0.23993335176623937
"2026-08-02","87",0,0.23955665235768253
"2026-08-02","20",0,0.23905244325872885
"2026-08-02","11",0,0.23896603505598285
"2026-08-02","12",1,0.23882569823526445
"2026-08-02","05",0,0.23856540402102028
"2026-08-02","61",1,0.23851010191159286
"2026-08-02","70",0,0.2384526999560933
"2026-08-02","71",0,0.2384526999560933
"2026-08-02","90",0,0.23835757488595685
"2026-08-02","06",0,0.23834540475024013
"2026-08-02","19",0,0.23834540475024013
"2026-08-02","67",0,0.23834540475024013
"2026-08-03","50",0,0.2419409063082684
"2026-08-03","00",1,0.24139367924843236
"2026-08-03","78",0,0.24124607088367023
"2026-08-03","86",1,0.24112086880662975
"2026-08-03","80",0,0.24087657819033906
"2026-08-03","85",0,0.24065416605887208
"2026-08-03","56",0,0.24039114670374911
