"predict_for_date","anchor_date","mode","number_str","number","prob","prob_percent","ml_prob_raw","ml_prob_baseline","ml_prob_domain","domain_prob_edge","domain_trust","domain_active","domain_groups","cap50_partner","cap50_pair_kind","bo_family_id","bong_duong_partner","bong_am_partner","cau_score","score_band","primary_reason","reason_1","reason_2","reason_3","evidence","freq_7d","freq_30d","freq_90d","gap","loto_occ_today","same_weekday_freq_364","path_support","cond_de_rate","cond_loto_mean_rate","cond_loto_max_rate","reverse_hit_today","is_reverse_prev_special","is_bong_prev_special","cham_overlap_prev_special","trend_7_vs_30","note"
"2026-09-09","2026-09-08","de","36",36,0.010239542796189206,1.024,0.010246278241448144,0.010246278241448144,0.010246278241448144,0.0,0.0,False,"","63","reverse","13","81","63",62.1046,"high","ML xác suất cao + cầu rawdata mạnh","ML xác suất cao","cầu rawdata mạnh","hợp điều kiện ĐB hôm trước","ML=0.0102; cầu=2143; ĐB→x=0.069; loto→x=0.024; gap=78; f30=0",0,0,1,78,0,1,2143,0.06896551724137931,0.01525960375346355,0.02443280977312391,0,0,0,0,0.0,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
"2026-09-09","2026-09-08","de","87",87,0.010366951553433394,1.0367,0.010373770806605148,0.010373770806605148,0.010373770806605148,0.0,0.0,False,"","78","reverse","23","32","50",56.9878,"high","ML xác suất cao + hợp điều kiện ĐB hôm trước","ML xác suất cao","hợp điều kiện ĐB hôm trước","cùng thứ trong tuần nổi bật","ML=0.0104; cầu=1565; ĐB→x=0.069; loto→x=0.016; gap=0; f30=1",1,1,2,0,3,1,1565,0.06896551724137931,0.009388177155223483,0.0156794425087108,0,0,0,1,0.7666666666666666,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
"2026-09-09","2026-09-08","de","15",15,0.010111706310269931,1.0112,0.010118357666261395,0.010118357666261395,0.010118357666261395,0.0,0.0,False,"","51","reverse","01","60","48",37.9506,"medium","ML xác suất cao + hợp điều kiện ĐB hôm trước","ML xác suất cao","hợp điều kiện ĐB hôm trước","gan/nhịp cao","ML=0.0101; cầu=1435; ĐB→x=0.069; loto→x=0.016; gap=427; f30=0",0,0,0,427,2,0,1435,0.06896551724137931,0.011232010127993219,0.01639344262295082,0,0,0,0,0.0,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
"2026-09-09","2026-09-08","de","30",30,0.010021858856366231,1.0022,0.010028451111808044,0.010028451111808044,0.010028451111808044,0.0,0.0,False,"","03","reverse","03","85","67",37.7703,"medium","cầu rawdata mạnh + hợp điều kiện ĐB hôm trước","cầu rawdata mạnh","hợp điều kiện ĐB hôm trước","gan/nhịp cao","ML=0.0100; cầu=1952; ĐB→x=0.069; loto→x=0.020; gap=202; f30=0",0,0,0,202,0,0,1952,0.06896551724137931,0.013946223598176806,0.02027027027027027,0,0,0,0,0.0,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
"2026-09-09","2026-09-08","de","71",71,0.009961065493769902,0.9961,0.009967617760085831,0.009967617760085831,0.009967617760085831,0.0,0.0,False,"","17","reverse","12","26","04",37.1257,"medium","hợp điều kiện ĐB hôm trước + hợp điều kiện loto hôm trước","hợp điều kiện ĐB hôm trước","hợp điều kiện loto hôm trước","cùng chạm ĐB gần nhất","ML=0.0100; cầu=1675; ĐB→x=0.138; loto→x=0.021; gap=65; f30=0",0,0,1,65,0,0,1675,0.13793103448275862,0.012644657827290339,0.020942408376963352,0,0,0,1,0.0,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
"2026-09-09","2026-09-08","de","68",68,0.010058541092452763,1.0059,0.010065157477018118,0.010065157477018118,0.010065157477018118,0.0,0.0,False,"","86","reverse","13","13","35",36.0594,"medium","ML xác suất cao + hợp điều kiện ĐB hôm trước","ML xác suất cao","hợp điều kiện ĐB hôm trước","hợp điều kiện loto hôm trước","ML=0.0101; cầu=1767; ĐB→x=0.034; loto→x=0.027; gap=11; f30=1",0,1,2,11,0,2,1767,0.034482758620689655,0.01530482633536884,0.027164685908319185,0,0,0,1,-0.23333333333333334,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
"2026-09-09","2026-09-08","de","53",53,0.010051200631935537,1.0051,0.010057812188036284,0.010057812188036284,0.010057812188036284,0.0,0.0,False,"","35","reverse","03","08","86",35.7559,"medium","ML xác suất cao + hợp điều kiện ĐB hôm trước","ML xác suất cao","hợp điều kiện ĐB hôm trước","cùng thứ trong tuần nổi bật","ML=0.0101; cầu=1717; ĐB→x=0.069; loto→x=0.019; gap=73; f30=0",0,0,1,73,0,1,1717,0.06896551724137931,0.011445330071191355,0.01929824561403509,0,0,0,0,0.0,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
"2026-09-09","2026-09-08","de","06",6,0.00999670213543544,0.9997,0.010003277843095766,0.010003277843095766,0.010003277843095766,0.0,0.0,False,"","60","reverse","01","51","73",34.4234,"low","cầu rawdata mạnh + hợp điều kiện ĐB hôm trước","cầu rawdata mạnh","hợp điều kiện ĐB hôm trước","tần suất gần","ML=0.0100; cầu=2073; ĐB→x=0.069; loto→x=0.014; gap=155; f30=0",0,0,0,155,1,0,2073,0.06896551724137931,0.008783441053095302,0.013559322033898305,0,0,0,0,0.0,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
"2026-09-09","2026-09-08","de","69",69,0.00996086911866922,0.9961,0.009967421255812023,0.009967421255812023,0.009967421255812023,0.0,0.0,False,"","96","reverse","14","14","32",34.095,"low","cầu rawdata mạnh + hợp điều kiện ĐB hôm trước","cầu rawdata mạnh","hợp điều kiện ĐB hôm trước","hợp điều kiện loto hôm trước","ML=0.0100; cầu=1921; ĐB→x=0.069; loto→x=0.023; gap=117; f30=0",0,0,0,117,0,1,1921,0.06896551724137931,0.012726872472864147,0.02264808362369338,0,0,0,0,0.0,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
"2026-09-09","2026-09-08","de","76",76,0.010067986625787494,1.0068,0.010074609223508455,0.010074609223508455,0.010074609223508455,0.0,0.0,False,"","67","reverse","12","21","03",33.9323,"low","ML xác suất cao + cầu rawdata mạnh","ML xác suất cao","cầu rawdata mạnh","hợp điều kiện ĐB hôm trước","ML=0.0101; cầu=1977; ĐB→x=0.034; loto→x=0.018; gap=137; f30=0",0,0,0,137,0,0,1977,0.034482758620689655,0.012734079454356501,0.017543859649122806,0,0,0,1,0.0,"AI/ML ranking signal from historical statistics; not a guaranteed prediction"
