"mode","anchor_date","predict_for_date","number","number_str","ai_cau_score","ai_prob_percent","primary_reason","ai_evidence","path_lines_count","active_path_count","stable_path_count","top_path_score","max_path_p_mean","max_current_streak","max_streak","top_position_1","top_position_2","top_position_3","explain_text","note"
"loto","2026-09-22","2026-09-23",86,"86",60.7349,24.6621,"ML xác suất cao + tần suất gần","ML=0.2466; cầu=1733; Đặc Biệt→x=0.151; loto→x=0.249; gap=1; f30=7",8,8,0,79.9757,0.25378406,6,7,"L24: Giải ba 2 · số 3(8) + Giải năm 1 · số 3(6) → 86","L29: Giải Đặc Biệt · số 1(8) + Giải ba 6 · số 5(6) → 86","L20: Giải tư 1 · số 1(8) + Giải tư 4 · số 2(6) → 86","Số 86: AI score 60.7, xác suất hiển thị 24.66%. Lý do chính: ML xác suất cao + tần suất gần. Có 8 đường cầu vị trí; mạnh nhất: L24: Giải ba 2 · số 3(8) + Giải năm 1 · số 3(6) → 86.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
"loto","2026-09-22","2026-09-23",6,"06",58.4892,24.6621,"ML xác suất cao + tần suất gần","ML=0.2466; cầu=1739; Đặc Biệt→x=0.151; loto→x=0.249; gap=0; f30=6",8,7,1,70.8743,0.2566953,4,7,"L9: Giải nhì 2 · số 4(0) + Giải tư 4 · số 2(6) → 06","L28: Giải ba 3 · số 4(0) + Giải bảy 3 · số 2(6) → 06","L22: Giải năm 4 · số 2(0) + Giải năm 5 · số 1(6) → 06","Số 06: AI score 58.5, xác suất hiển thị 24.66%. Lý do chính: ML xác suất cao + tần suất gần. Có 8 đường cầu vị trí; mạnh nhất: L9: Giải nhì 2 · số 4(0) + Giải tư 4 · số 2(6) → 06.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
"loto","2026-09-22","2026-09-23",92,"92",55.1203,23.9602,"ML xác suất cao + hợp điều kiện loto hôm trước","ML=0.2396; cầu=1822; Đặc Biệt→x=0.226; loto→x=0.268; gap=0; f30=7",8,7,1,73.6958,0.24974773,5,10,"L2: Giải năm 1 · số 4(9) + Giải bảy 3 · số 2(2) → 92","L26: Giải ba 6 · số 4(9) + Giải bảy 3 · số 2(2) → 92","L13: Giải ba 4 · số 2(9) + Giải sáu 3 · số 2(2) → 92","Số 92: AI score 55.1, xác suất hiển thị 23.96%. Lý do chính: ML xác suất cao + hợp điều kiện loto hôm trước. Có 8 đường cầu vị trí; mạnh nhất: L2: Giải năm 1 · số 4(9) + Giải bảy 3 · số 2(2) → 92.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
"loto","2026-09-22","2026-09-23",33,"33",54.1484,23.6645,"ML xác suất cao + cầu rawdata mạnh","ML=0.2366; cầu=2156; Đặc Biệt→x=0.283; loto→x=0.254; gap=0; f30=7",8,8,0,75.318,0.25327952,5,6,"L19: Giải nhì 2 · số 3(3) + Giải năm 3 · số 2(3) → 33","L25: Giải Đặc Biệt · số 4(3) + Giải ba 4 · số 5(3) → 33","L6: Giải năm 4 · số 3(3) + Giải năm 5 · số 3(3) → 33","Số 33: AI score 54.1, xác suất hiển thị 23.66%. Lý do chính: ML xác suất cao + cầu rawdata mạnh. Có 8 đường cầu vị trí; mạnh nhất: L19: Giải nhì 2 · số 3(3) + Giải năm 3 · số 2(3) → 33.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
"loto","2026-09-22","2026-09-23",93,"93",49.8075,23.4538,"cầu rawdata mạnh + cặp lộn vừa chạm","ML=0.2345; cầu=2132; Đặc Biệt→x=0.226; loto→x=0.261; gap=1; f30=12",8,7,1,71.3412,0.25391217,4,8,"L27: Giải năm 3 · số 4(9) + Giải năm 5 · số 2(3) → 93","L10: Giải tư 2 · số 4(9) + Giải năm 5 · số 3(3) → 93","L12: Giải ba 4 · số 2(9) + Giải tư 2 · số 4(3) → 93","Số 93: AI score 49.8, xác suất hiển thị 23.45%. Lý do chính: cầu rawdata mạnh + cặp lộn vừa chạm. Có 8 đường cầu vị trí; mạnh nhất: L27: Giải năm 3 · số 4(9) + Giải năm 5 · số 2(3) → 93.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
"loto","2026-09-22","2026-09-23",36,"36",49.0527,23.5311,"ML xác suất cao + cầu rawdata mạnh","ML=0.2353; cầu=1937; Đặc Biệt→x=0.208; loto→x=0.282; gap=0; f30=7",8,7,1,73.7702,0.25479314,4,9,"L25: Giải Đặc Biệt · số 4(3) + Giải tư 3 · số 2(6) → 36","L7: Giải năm 3 · số 1(3) + Giải sáu 1 · số 3(6) → 36","L18: Giải Đặc Biệt · số 4(3) + Giải nhất · số 2(6) → 36","Số 36: AI score 49.1, xác suất hiển thị 23.53%. Lý do chính: ML xác suất cao + cầu rawdata mạnh. Có 8 đường cầu vị trí; mạnh nhất: L25: Giải Đặc Biệt · số 4(3) + Giải tư 3 · số 2(6) → 36.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
"loto","2026-09-22","2026-09-23",67,"67",48.5717,23.4397,"cầu rawdata mạnh + hợp điều kiện Đặc Biệt hôm trước","ML=0.2344; cầu=1920; Đặc Biệt→x=0.396; loto→x=0.257; gap=0; f30=7",8,8,0,77.2512,0.25488232,6,7,"L12: Giải nhất · số 2(6) + Giải ba 6 · số 5(7) → 67","L22: Giải nhất · số 1(6) + Giải ba 2 · số 3(7) → 67","L5: Giải Đặc Biệt · số 4(6) + Giải tư 1 · số 3(7) → 67","Số 67: AI score 48.6, xác suất hiển thị 23.44%. Lý do chính: cầu rawdata mạnh + hợp điều kiện Đặc Biệt hôm trước. Có 8 đường cầu vị trí; mạnh nhất: L12: Giải nhất · số 2(6) + Giải ba 6 · số 5(7) → 67.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
"loto","2026-09-22","2026-09-23",13,"13",47.584,23.3803,"cầu rawdata mạnh + hợp điều kiện Đặc Biệt hôm trước","ML=0.2338; cầu=1864; Đặc Biệt→x=0.302; loto→x=0.271; gap=1; f30=9",8,7,1,73.9216,0.2566953,4,8,"L20: Giải Đặc Biệt · số 4(1) + Giải nhì 2 · số 4(3) → 13","L1: Giải sáu 1 · số 3(1) + Giải sáu 3 · số 2(3) → 13","L11: Giải sáu 1 · số 1(1) + Giải bảy 2 · số 1(3) → 13","Số 13: AI score 47.6, xác suất hiển thị 23.38%. Lý do chính: cầu rawdata mạnh + hợp điều kiện Đặc Biệt hôm trước. Có 8 đường cầu vị trí; mạnh nhất: L20: Giải Đặc Biệt · số 4(1) + Giải nhì 2 · số 4(3) → 13.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
"loto","2026-09-22","2026-09-23",37,"37",44.824,23.4758,"cầu rawdata mạnh + tần suất 30 ngày cao","ML=0.2348; cầu=2066; Đặc Biệt→x=0.226; loto→x=0.253; gap=4; f30=9",8,7,1,76.8257,0.26185671,5,11,"L24: Giải Đặc Biệt · số 2(3) + Giải tư 3 · số 4(7) → 37","L30: Giải năm 2 · số 1(3) + Giải năm 5 · số 4(7) → 37","L5: Giải năm 4 · số 3(3) + Giải bảy 3 · số 1(7) → 37","Số 37: AI score 44.8, xác suất hiển thị 23.48%. Lý do chính: cầu rawdata mạnh + tần suất 30 ngày cao. Có 8 đường cầu vị trí; mạnh nhất: L24: Giải Đặc Biệt · số 2(3) + Giải tư 3 · số 4(7) → 37.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
"loto","2026-09-22","2026-09-23",97,"97",44.4675,23.4849,"cầu rawdata mạnh + gan/nhịp cao","ML=0.2348; cầu=2034; Đặc Biệt→x=0.245; loto→x=0.266; gap=11; f30=5",8,8,0,79.1684,0.26942482,6,8,"L24: Giải năm 4 · số 4(9) + Giải sáu 2 · số 1(7) → 97","L24: Giải năm 6 · số 4(9) + Giải sáu 2 · số 1(7) → 97","L8: Giải ba 6 · số 5(9) + Giải tư 3 · số 4(7) → 97","Số 97: AI score 44.5, xác suất hiển thị 23.48%. Lý do chính: cầu rawdata mạnh + gan/nhịp cao. Có 8 đường cầu vị trí; mạnh nhất: L24: Giải năm 4 · số 4(9) + Giải sáu 2 · số 1(7) → 97.","Căn cứ đường cầu là bảng giải thích vị trí/tín hiệu lịch sử; không bảo đảm kết quả tương lai."
