special,special_str,number,number_str,trials,hits,p,p_raw,p_eb,baseline,effect_raw,lift_raw,prior_strength,p_value,q_value_fdr,fdr_05
0,00,68,68,42,15,0.35714285714285715,0.35714285714285715,0.2947481994226943,0.25107193901858027,0.10607091812427688,1.4224722146923285,60.0,0.08305752636322133,0.999993664947751,False
0,00,79,79,42,15,0.35714285714285715,0.35714285714285715,0.29292660370484547,0.24797522629823726,0.10916763084461989,1.4402360367778235,60.0,0.07589817512611449,0.999993664947751,False
0,00,38,38,42,15,0.35714285714285715,0.35714285714285715,0.2890031667740941,0.24130538351595998,0.11583747362689717,1.480045127626569,60.0,0.06196363636328632,0.999993664947751,False
0,00,67,67,42,15,0.35714285714285715,0.35714285714285715,0.2884426757839868,0.2403525488327775,0.11679030831007964,1.4859125017697863,60.0,0.060133850158814645,0.999993664947751,False
0,00,60,60,42,15,0.35714285714285715,0.35714285714285715,0.28718157105624526,0.23820867079561697,0.11893418634724018,1.4992857142857143,60.0,0.0561594351741994,0.999993664947751,False
0,00,86,86,42,15,0.35714285714285715,0.35714285714285715,0.28297788863044027,0.23106241067174846,0.1260804464711087,1.5456553755522828,60.0,0.0442854970016436,0.999993664947751,False
0,00,43,43,42,14,0.3333333333333333,0.3333333333333333,0.2807405954282618,0.24392567889471176,0.08940765443862156,1.3665364583333333,60.0,0.12273200852955034,0.999993664947751,False
0,00,80,80,42,14,0.3333333333333333,0.3333333333333333,0.27933936795299347,0.24154359218675558,0.09178974114657773,1.3800131492439185,60.0,0.11528683930401962,0.999993664947751,False
0,00,4,04,42,14,0.3333333333333333,0.3333333333333333,0.27863875421535933,0.2403525488327775,0.0929807845005558,1.386851668318467,60.0,0.11167447373631718,0.999993664947751,False
0,00,18,18,42,14,0.3333333333333333,0.3333333333333333,0.2769572812450373,0.2374940447832301,0.09583928855010321,1.4035439652290203,60.0,0.10330385711865811,0.999993664947751,False
0,00,59,59,42,14,0.3333333333333333,0.3333333333333333,0.27429494904202745,0.2329680800381134,0.10036525329521992,1.4308111792774367,60.0,0.09090819316204227,0.999993664947751,False
0,00,74,74,42,14,0.3333333333333333,0.3333333333333333,0.2740147035469738,0.23249166269652216,0.10084167063681115,1.433743169398907,60.0,0.08966403722485483,0.999993664947751,False
0,00,37,37,42,14,0.3333333333333333,0.3333333333333333,0.27079188035385665,0.22701286326822295,0.10632047006511036,1.4683455753760055,60.0,0.07617332783495016,0.999993664947751,False
0,00,23,23,42,13,0.30952380952380953,0.30952380952380953,0.2693953236368392,0.24130538351595998,0.06821842600784955,1.2827057772763597,60.0,0.19438980854038634,0.999993664947751,False
0,00,42,42,42,13,0.30952380952380953,0.30952380952380953,0.2679940961615709,0.2389232968080038,0.07060051271580572,1.2954944689740304,60.0,0.18428648673292433,0.999993664947751,False
0,00,73,73,42,13,0.30952380952380953,0.30952380952380953,0.2663126231912489,0.2360647927584564,0.07345901676535313,1.3111815866609005,60.0,0.17254259222837331,0.999993664947751,False
0,00,6,06,42,13,0.30952380952380953,0.30952380952380953,0.26491139571598055,0.23368270605050023,0.0758411034733093,1.324547352070288,60.0,0.16307969392628097,0.999993664947751,False
0,00,13,13,42,12,0.2857142857142857,0.2857142857142857,0.2628142252613289,0.24678418294425916,0.03893010277002654,1.1577495863210148,60.0,0.3332504852185618,0.999993664947751,False
0,00,81,81,42,12,0.2857142857142857,0.2857142857142857,0.2623938570187484,0.24606955693187232,0.039644728782413374,1.161111879408104,60.0,0.3292760987021257,0.999993664947751,False
0,00,92,92,42,12,0.2857142857142857,0.2857142857142857,0.2614129977860606,0.244402096236303,0.04131218947798271,1.1690336953494849,60.0,0.3200574155462333,0.999993664947751,False
1,01,71,71,46,20,0.43478260869565216,0.43478260869565216,0.32445818763652057,0.23987613149118628,0.19490647720446588,1.8125296835197098,60.0,0.0028484762652783158,0.999993664947751,False
