number,count,current_gap,max_gap,mean_gap,median_gap,last_seen
15,0,387,387,,,
56,0,387,387,,,
58,0,387,387,,,
98,0,387,387,,,
31,1,356,356,30.0,30.0,2025-09-10
07,1,352,352,34.0,34.0,2025-09-14
73,1,307,307,79.0,79.0,2025-10-29
02,1,299,299,87.0,87.0,2025-11-06
27,3,231,231,51.0,46.0,2026-01-13
86,5,223,223,31.8,32.0,2026-01-21
62,4,220,220,40.75,40.5,2026-01-24
74,2,218,218,83.5,83.5,2026-01-26
77,4,200,200,45.75,5.0,2026-02-13
30,3,199,199,61.666666666666664,19.0,2026-02-14
49,2,179,179,103.0,103.0,2026-03-06
95,2,166,166,109.5,109.5,2026-03-19
24,4,165,165,54.5,58.5,2026-03-20
46,3,163,183,73.66666666666667,35.0,2026-03-22
29,3,161,161,74.33333333333333,89.0,2026-03-24
88,5,156,156,45.2,36.0,2026-03-29
66,2,153,163,116.0,116.0,2026-04-01
06,2,148,189,118.5,118.5,2026-04-06
82,2,147,147,119.0,119.0,2026-04-07
20,2,144,146,120.5,120.5,2026-04-10
35,3,138,138,82.0,94.0,2026-04-16
48,5,132,144,50.0,31.0,2026-04-22
76,3,130,160,84.66666666666667,92.0,2026-04-24
59,5,127,127,51.0,44.0,2026-04-27
75,3,124,183,86.66666666666667,76.0,2026-04-30
64,3,121,156,87.66666666666667,74.0,2026-05-03
12,4,119,119,66.0,76.5,2026-05-05
41,1,118,268,268.0,268.0,2026-05-06
40,2,117,208,134.0,134.0,2026-05-07
92,7,115,115,37.857142857142854,27.0,2026-05-09
69,3,110,218,91.33333333333333,42.0,2026-05-14
81,3,99,121,95.0,93.0,2026-05-25
11,1,98,288,288.0,288.0,2026-05-26
50,6,96,145,47.5,36.5,2026-05-28
93,7,86,97,42.0,25.0,2026-06-07
05,6,85,153,49.333333333333336,26.0,2026-06-08
08,5,83,103,59.8,63.0,2026-06-10
14,6,80,88,50.166666666666664,55.0,2026-06-13
84,3,77,150,102.33333333333333,128.0,2026-06-16
03,2,76,206,154.5,154.5,2026-06-17
32,3,75,228,103.0,46.0,2026-06-18
55,5,74,98,61.6,62.0,2026-06-19
36,7,71,86,44.142857142857146,50.0,2026-06-22
51,5,69,160,62.6,47.0,2026-06-24
04,5,67,138,63.0,34.0,2026-06-26
53,5,66,99,63.2,73.0,2026-06-27
52,5,65,103,63.4,58.0,2026-06-28
42,3,64,211,106.66666666666667,81.0,2026-06-29
65,3,60,239,108.0,59.0,2026-07-03
87,2,59,219,163.0,163.0,2026-07-04
71,3,58,286,108.66666666666667,40.0,2026-07-05
97,4,57,107,81.5,90.5,2026-07-06
89,3,55,155,109.66666666666667,149.0,2026-07-08
85,3,54,180,110.0,102.0,2026-07-09
01,9,52,141,36.22222222222222,5.0,2026-07-11
94,5,51,148,66.2,57.0,2026-07-12
99,2,50,199,167.5,167.5,2026-07-13
19,3,48,157,112.0,132.0,2026-07-15
63,4,47,118,84.0,86.5,2026-07-16
90,4,45,157,84.5,70.5,2026-07-18
70,3,42,127,114.0,115.0,2026-07-21
54,8,40,93,42.375,26.0,2026-07-23
28,5,38,99,68.8,84.0,2026-07-25
16,4,37,186,86.5,78.5,2026-07-26
00,3,35,244,116.33333333333333,62.0,2026-07-28
34,4,33,243,87.5,53.0,2026-07-30
10,2,32,277,176.5,176.5,2026-07-31
09,2,30,302,177.5,177.5,2026-08-02
47,5,29,121,70.6,66.0,2026-08-03
25,4,28,183,88.75,81.5,2026-08-04
60,4,27,170,89.0,78.5,2026-08-05
67,4,26,150,89.25,90.5,2026-08-06
79,7,25,233,50.714285714285715,22.0,2026-08-07
22,5,24,144,71.6,63.0,2026-08-08
57,3,22,189,120.66666666666667,160.0,2026-08-10
91,5,21,134,72.2,59.0,2026-08-11
26,3,20,247,121.33333333333333,117.0,2026-08-12
18,1,18,368,368.0,368.0,2026-08-14
78,5,17,136,73.0,70.0,2026-08-15
96,3,16,216,122.66666666666667,133.0,2026-08-16
39,7,15,149,52.142857142857146,30.0,2026-08-17
83,9,14,122,40.44444444444444,21.0,2026-08-18
43,7,13,147,52.42857142857143,36.0,2026-08-19
23,6,12,120,61.5,52.5,2026-08-20
33,6,11,100,61.666666666666664,59.5,2026-08-21
13,3,10,194,124.66666666666667,94.0,2026-08-22
38,9,9,106,41.0,29.0,2026-08-23
17,6,8,124,62.166666666666664,55.0,2026-08-24
80,4,7,169,94.0,83.5,2026-08-25
61,4,6,132,94.25,101.5,2026-08-26
45,4,5,208,94.5,81.5,2026-08-27
68,8,4,122,46.875,37.0,2026-08-28
37,7,3,112,53.857142857142854,52.0,2026-08-29
72,3,2,253,127.33333333333333,70.0,2026-08-30
44,4,1,219,95.5,74.0,2026-08-31
21,7,0,114,54.285714285714285,53.0,2026-09-01
