group,value,max_current_gap,max_max_gap,mean_count,gap_unit
head,0,376,923,41.6,calendar_days_absent
head,1,448,796,41.2,calendar_days_absent
head,2,255,704,39.5,calendar_days_absent
head,3,380,563,44.2,calendar_days_absent
head,4,203,603,41.9,calendar_days_absent
head,5,490,655,40.3,calendar_days_absent
head,6,244,588,46.0,calendar_days_absent
head,7,331,561,42.1,calendar_days_absent
head,8,247,716,43.3,calendar_days_absent
head,9,585,782,41.5,calendar_days_absent
tail,0,223,608,41.9,calendar_days_absent
tail,1,380,644,41.9,calendar_days_absent
tail,2,323,608,40.9,calendar_days_absent
tail,3,331,796,40.0,calendar_days_absent
tail,4,242,716,41.5,calendar_days_absent
tail,5,448,582,41.5,calendar_days_absent
tail,6,439,923,41.7,calendar_days_absent
tail,7,376,563,41.6,calendar_days_absent
tail,8,585,585,44.4,calendar_days_absent
tail,9,203,782,46.2,calendar_days_absent
total,0,331,644,40.8,calendar_days_absent
total,1,439,564,43.2,calendar_days_absent
total,2,323,716,41.7,calendar_days_absent
total,3,490,505,42.2,calendar_days_absent
total,4,380,796,43.1,calendar_days_absent
total,5,142,588,41.8,calendar_days_absent
total,6,448,923,42.3,calendar_days_absent
total,7,585,585,42.5,calendar_days_absent
total,8,244,782,40.8,calendar_days_absent
total,9,255,655,43.2,calendar_days_absent
