number,count,current_gap,max_gap,mean_gap,median_gap,last_seen
83,116,1,13,2.310344827586207,1.0,2026-08-29
91,111,4,14,2.4324324324324325,1.0,2026-08-26
60,111,0,12,2.4684684684684686,2.0,2026-08-30
62,109,1,13,2.522935779816514,1.0,2026-08-29
95,108,2,17,2.5462962962962963,2.0,2026-08-28
14,107,7,19,2.532710280373832,1.0,2026-08-23
54,107,4,18,2.560747663551402,1.0,2026-08-26
09,107,2,15,2.5794392523364484,2.0,2026-08-28
69,106,4,18,2.5943396226415096,1.0,2026-08-26
27,105,9,14,2.580952380952381,1.0,2026-08-21
92,105,5,13,2.619047619047619,2.0,2026-08-25
13,105,0,16,2.6666666666666665,1.0,2026-08-30
51,105,0,19,2.6666666666666665,2.0,2026-08-30
52,103,0,20,2.737864077669903,2.0,2026-08-30
68,102,2,12,2.7549019607843137,2.0,2026-08-28
64,102,0,15,2.7745098039215685,2.0,2026-08-30
73,101,3,27,2.782178217821782,2.0,2026-08-27
34,101,0,24,2.8118811881188117,2.0,2026-08-30
94,101,0,14,2.8118811881188117,2.0,2026-08-30
61,100,1,17,2.84,1.5,2026-08-29
88,100,1,16,2.84,2.0,2026-08-29
77,100,0,15,2.85,2.0,2026-08-30
01,99,1,17,2.878787878787879,2.0,2026-08-29
42,98,7,13,2.857142857142857,2.0,2026-08-23
17,98,2,14,2.9081632653061225,2.0,2026-08-28
81,98,1,21,2.9183673469387754,1.5,2026-08-29
12,97,6,14,2.9072164948453607,2.0,2026-08-24
87,97,4,13,2.9278350515463916,2.0,2026-08-26
65,96,4,20,2.96875,2.0,2026-08-26
45,96,3,17,2.9791666666666665,2.0,2026-08-27
32,96,0,13,3.0104166666666665,3.0,2026-08-30
16,95,6,18,2.9894736842105263,2.0,2026-08-24
84,95,5,21,3.0,2.0,2026-08-25
35,95,4,21,3.0105263157894737,2.0,2026-08-26
31,95,3,22,3.0210526315789474,2.0,2026-08-27
50,95,2,13,3.031578947368421,2.0,2026-08-28
33,94,5,14,3.0425531914893615,2.0,2026-08-25
80,94,2,22,3.074468085106383,2.0,2026-08-28
05,93,16,18,2.967741935483871,2.0,2026-08-14
58,93,7,16,3.064516129032258,2.0,2026-08-23
46,93,2,15,3.118279569892473,2.0,2026-08-28
49,93,2,15,3.118279569892473,2.0,2026-08-28
03,93,1,20,3.129032258064516,2.0,2026-08-29
57,92,20,20,2.967391304347826,2.0,2026-08-10
63,92,15,15,3.0217391304347827,2.0,2026-08-15
36,92,5,17,3.130434782608696,2.0,2026-08-25
38,92,2,15,3.1630434782608696,2.0,2026-08-28
89,91,11,24,3.10989010989011,2.0,2026-08-19
97,91,10,18,3.120879120879121,2.0,2026-08-20
90,91,8,22,3.142857142857143,2.0,2026-08-22
21,91,0,17,3.230769230769231,3.0,2026-08-30
74,90,10,19,3.1666666666666665,2.0,2026-08-20
24,90,3,21,3.2444444444444445,2.0,2026-08-27
82,90,2,16,3.2555555555555555,2.0,2026-08-28
02,90,1,17,3.2666666666666666,2.0,2026-08-29
41,90,0,24,3.2777777777777777,2.0,2026-08-30
75,89,9,15,3.2247191011235956,2.0,2026-08-21
25,89,7,12,3.247191011235955,2.0,2026-08-23
48,89,1,13,3.3146067415730336,2.0,2026-08-29
67,89,1,16,3.3146067415730336,2.0,2026-08-29
10,89,0,13,3.3258426966292136,2.0,2026-08-30
28,89,0,20,3.3258426966292136,2.0,2026-08-30
23,88,4,20,3.3295454545454546,2.0,2026-08-26
79,88,3,21,3.340909090909091,1.5,2026-08-27
47,88,2,14,3.352272727272727,2.0,2026-08-28
44,88,1,16,3.3636363636363638,2.0,2026-08-29
76,88,1,29,3.3636363636363638,2.0,2026-08-29
96,88,1,23,3.3636363636363638,2.0,2026-08-29
08,87,1,14,3.413793103448276,3.0,2026-08-29
19,87,1,13,3.413793103448276,3.0,2026-08-29
11,87,0,14,3.425287356321839,2.0,2026-08-30
72,87,0,19,3.425287356321839,2.0,2026-08-30
30,86,9,19,3.372093023255814,2.0,2026-08-21
93,86,1,13,3.4651162790697674,3.0,2026-08-29
22,85,2,23,3.5058823529411764,2.0,2026-08-28
78,85,0,19,3.5294117647058822,2.0,2026-08-30
43,84,1,18,3.5714285714285716,3.0,2026-08-29
86,83,3,16,3.602409638554217,2.0,2026-08-27
59,83,2,22,3.6144578313253013,2.0,2026-08-28
66,83,0,15,3.63855421686747,3.0,2026-08-30
70,83,0,25,3.63855421686747,2.0,2026-08-30
40,82,6,16,3.6219512195121952,2.0,2026-08-24
37,82,1,24,3.682926829268293,2.0,2026-08-29
07,82,0,28,3.6951219512195124,2.0,2026-08-30
99,82,0,17,3.6951219512195124,2.0,2026-08-30
26,81,4,36,3.7037037037037037,3.0,2026-08-26
71,81,3,30,3.7160493827160495,3.0,2026-08-27
18,81,0,17,3.753086419753086,3.0,2026-08-30
85,81,0,23,3.753086419753086,3.0,2026-08-30
00,80,8,18,3.7125,2.0,2026-08-22
06,80,8,26,3.7125,2.0,2026-08-22
20,80,2,21,3.7875,2.0,2026-08-28
53,80,0,30,3.8125,2.0,2026-08-30
04,79,2,26,3.848101265822785,2.0,2026-08-28
56,79,1,17,3.8607594936708862,3.0,2026-08-29
15,77,5,21,3.935064935064935,2.0,2026-08-25
39,76,0,20,4.065789473684211,3.0,2026-08-30
98,75,4,20,4.08,2.0,2026-08-26
29,74,0,16,4.202702702702703,3.0,2026-08-30
55,72,4,21,4.291666666666667,2.5,2026-08-26
