mode,digit_sum,gap_days,last_date,hit_days
loto,0,1,2026-09-09,535
loto,1,1,2026-09-09,1036
loto,2,1,2026-09-09,1362
loto,3,1,2026-09-09,1605
loto,4,1,2026-09-09,1799
loto,16,1,2026-09-09,1402
loto,5,0,2026-09-10,1950
loto,7,0,2026-09-10,2144
loto,8,0,2026-09-10,2209
loto,9,0,2026-09-10,2267
loto,6,0,2026-09-10,2068
loto,10,0,2026-09-10,2205
loto,11,0,2026-09-10,2149
loto,13,0,2026-09-10,1921
loto,12,0,2026-09-10,2078
loto,14,0,2026-09-10,1798
loto,15,0,2026-09-10,1611
loto,17,0,2026-09-10,990
loto,18,0,2026-09-10,574
