lookback_days,window_start,window_end,draw_rows,head,number,number_str,count
30,2026-08-28,2026-09-26,30,0,0,00,7
30,2026-08-28,2026-09-26,30,0,1,01,4
30,2026-08-28,2026-09-26,30,0,2,02,6
30,2026-08-28,2026-09-26,30,0,3,03,7
30,2026-08-28,2026-09-26,30,0,4,04,8
30,2026-08-28,2026-09-26,30,0,5,05,4
30,2026-08-28,2026-09-26,30,0,6,06,8
30,2026-08-28,2026-09-26,30,0,7,07,9
30,2026-08-28,2026-09-26,30,0,8,08,7
30,2026-08-28,2026-09-26,30,0,9,09,6
30,2026-08-28,2026-09-26,30,1,10,10,6
30,2026-08-28,2026-09-26,30,1,11,11,10
30,2026-08-28,2026-09-26,30,1,12,12,7
30,2026-08-28,2026-09-26,30,1,13,13,9
30,2026-08-28,2026-09-26,30,1,14,14,7
30,2026-08-28,2026-09-26,30,1,15,15,6
30,2026-08-28,2026-09-26,30,1,16,16,8
30,2026-08-28,2026-09-26,30,1,17,17,7
30,2026-08-28,2026-09-26,30,1,18,18,5
30,2026-08-28,2026-09-26,30,1,19,19,10
30,2026-08-28,2026-09-26,30,2,20,20,10
30,2026-08-28,2026-09-26,30,2,21,21,11
30,2026-08-28,2026-09-26,30,2,22,22,12
30,2026-08-28,2026-09-26,30,2,23,23,3
30,2026-08-28,2026-09-26,30,2,24,24,9
30,2026-08-28,2026-09-26,30,2,25,25,1
30,2026-08-28,2026-09-26,30,2,26,26,7
30,2026-08-28,2026-09-26,30,2,27,27,8
30,2026-08-28,2026-09-26,30,2,28,28,9
30,2026-08-28,2026-09-26,30,2,29,29,8
30,2026-08-28,2026-09-26,30,3,30,30,7
30,2026-08-28,2026-09-26,30,3,31,31,9
30,2026-08-28,2026-09-26,30,3,32,32,13
30,2026-08-28,2026-09-26,30,3,33,33,7
30,2026-08-28,2026-09-26,30,3,34,34,13
30,2026-08-28,2026-09-26,30,3,35,35,8
30,2026-08-28,2026-09-26,30,3,36,36,7
30,2026-08-28,2026-09-26,30,3,37,37,9
30,2026-08-28,2026-09-26,30,3,38,38,8
30,2026-08-28,2026-09-26,30,3,39,39,13
30,2026-08-28,2026-09-26,30,4,40,40,10
30,2026-08-28,2026-09-26,30,4,41,41,8
30,2026-08-28,2026-09-26,30,4,42,42,5
30,2026-08-28,2026-09-26,30,4,43,43,9
30,2026-08-28,2026-09-26,30,4,44,44,12
30,2026-08-28,2026-09-26,30,4,45,45,6
30,2026-08-28,2026-09-26,30,4,46,46,13
30,2026-08-28,2026-09-26,30,4,47,47,7
30,2026-08-28,2026-09-26,30,4,48,48,16
30,2026-08-28,2026-09-26,30,4,49,49,7
30,2026-08-28,2026-09-26,30,5,50,50,10
30,2026-08-28,2026-09-26,30,5,51,51,8
30,2026-08-28,2026-09-26,30,5,52,52,10
30,2026-08-28,2026-09-26,30,5,53,53,9
30,2026-08-28,2026-09-26,30,5,54,54,2
30,2026-08-28,2026-09-26,30,5,55,55,6
30,2026-08-28,2026-09-26,30,5,56,56,9
30,2026-08-28,2026-09-26,30,5,57,57,10
30,2026-08-28,2026-09-26,30,5,58,58,3
30,2026-08-28,2026-09-26,30,5,59,59,6
30,2026-08-28,2026-09-26,30,6,60,60,7
30,2026-08-28,2026-09-26,30,6,61,61,6
30,2026-08-28,2026-09-26,30,6,62,62,10
30,2026-08-28,2026-09-26,30,6,63,63,7
30,2026-08-28,2026-09-26,30,6,64,64,14
30,2026-08-28,2026-09-26,30,6,65,65,5
30,2026-08-28,2026-09-26,30,6,66,66,7
30,2026-08-28,2026-09-26,30,6,67,67,11
30,2026-08-28,2026-09-26,30,6,68,68,8
30,2026-08-28,2026-09-26,30,6,69,69,4
30,2026-08-28,2026-09-26,30,7,70,70,10
30,2026-08-28,2026-09-26,30,7,71,71,8
30,2026-08-28,2026-09-26,30,7,72,72,11
30,2026-08-28,2026-09-26,30,7,73,73,5
30,2026-08-28,2026-09-26,30,7,74,74,7
30,2026-08-28,2026-09-26,30,7,75,75,7
30,2026-08-28,2026-09-26,30,7,76,76,7
30,2026-08-28,2026-09-26,30,7,77,77,14
30,2026-08-28,2026-09-26,30,7,78,78,7
30,2026-08-28,2026-09-26,30,7,79,79,10
30,2026-08-28,2026-09-26,30,8,80,80,5
30,2026-08-28,2026-09-26,30,8,81,81,5
30,2026-08-28,2026-09-26,30,8,82,82,8
30,2026-08-28,2026-09-26,30,8,83,83,9
30,2026-08-28,2026-09-26,30,8,84,84,8
30,2026-08-28,2026-09-26,30,8,85,85,10
30,2026-08-28,2026-09-26,30,8,86,86,7
30,2026-08-28,2026-09-26,30,8,87,87,7
30,2026-08-28,2026-09-26,30,8,88,88,9
30,2026-08-28,2026-09-26,30,8,89,89,9
30,2026-08-28,2026-09-26,30,9,90,90,8
30,2026-08-28,2026-09-26,30,9,91,91,2
30,2026-08-28,2026-09-26,30,9,92,92,10
30,2026-08-28,2026-09-26,30,9,93,93,16
30,2026-08-28,2026-09-26,30,9,94,94,8
30,2026-08-28,2026-09-26,30,9,95,95,6
30,2026-08-28,2026-09-26,30,9,96,96,12
30,2026-08-28,2026-09-26,30,9,97,97,6
30,2026-08-28,2026-09-26,30,9,98,98,6
30,2026-08-28,2026-09-26,30,9,99,99,15
