lookback_days,head,number,number_str,count
365,0,0,00,87
365,0,1,01,109
365,0,2,02,99
365,0,3,03,94
365,0,4,04,86
365,0,5,05,102
365,0,6,06,85
365,0,7,07,85
365,0,8,08,96
365,0,9,09,111
365,1,10,10,94
365,1,11,11,94
365,1,12,12,99
365,1,13,13,118
365,1,14,14,121
365,1,15,15,83
365,1,16,16,99
365,1,17,17,109
365,1,18,18,87
365,1,19,19,87
365,2,20,20,89
365,2,21,21,98
365,2,22,22,93
365,2,23,23,96
365,2,24,24,96
365,2,25,25,100
365,2,26,26,87
365,2,27,27,112
365,2,28,28,96
365,2,29,29,84
365,3,30,30,96
365,3,31,31,102
365,3,32,32,103
365,3,33,33,108
365,3,34,34,112
365,3,35,35,95
365,3,36,36,103
365,3,37,37,87
365,3,38,38,105
365,3,39,39,83
365,4,40,40,91
365,4,41,41,93
365,4,42,42,100
365,4,43,43,88
365,4,44,44,94
365,4,45,45,108
365,4,46,46,104
365,4,47,47,92
365,4,48,48,95
365,4,49,49,98
365,5,50,50,99
365,5,51,51,110
365,5,52,52,117
365,5,53,53,89
365,5,54,54,111
365,5,55,55,81
365,5,56,56,85
365,5,57,57,98
365,5,58,58,94
365,5,59,59,93
365,6,60,60,119
365,6,61,61,104
365,6,62,62,118
365,6,63,63,94
365,6,64,64,109
365,6,65,65,107
365,6,66,66,89
365,6,67,67,89
365,6,68,68,113
365,6,69,69,117
365,7,70,70,92
365,7,71,71,86
365,7,72,72,92
365,7,73,73,102
365,7,74,74,97
365,7,75,75,96
365,7,76,76,90
365,7,77,77,103
365,7,78,78,86
365,7,79,79,100
365,8,80,80,102
365,8,81,81,106
365,8,82,82,97
365,8,83,83,123
365,8,84,84,102
365,8,85,85,89
365,8,86,86,86
365,8,87,87,106
365,8,88,88,107
365,8,89,89,98
365,9,90,90,102
365,9,91,91,123
365,9,92,92,119
365,9,93,93,88
365,9,94,94,108
365,9,95,95,110
365,9,96,96,88
365,9,97,97,97
365,9,98,98,81
365,9,99,99,90
