gap,denom,hits,hazard,gap_unit,censored_bucket
0,0,0,0.0,calendar_days_since_previous_hit,False
1,4202,42,0.009995240361732508,calendar_days_since_previous_hit,False
2,4146,33,0.007959479015918957,calendar_days_since_previous_hit,False
3,4099,42,0.010246401561356429,calendar_days_since_previous_hit,False
4,4043,50,0.012367054167697254,calendar_days_since_previous_hit,False
5,3991,46,0.011525933350037584,calendar_days_since_previous_hit,False
6,3943,41,0.010398173979203652,calendar_days_since_previous_hit,False
7,3903,42,0.010760953112990008,calendar_days_since_previous_hit,False
8,3862,41,0.010616261004660798,calendar_days_since_previous_hit,False
9,3819,47,0.01230688661953391,calendar_days_since_previous_hit,False
10,3770,28,0.007427055702917772,calendar_days_since_previous_hit,False
11,3738,45,0.012038523274478331,calendar_days_since_previous_hit,False
12,3690,37,0.01002710027100271,calendar_days_since_previous_hit,False
13,3652,28,0.007667031763417305,calendar_days_since_previous_hit,False
14,3624,30,0.008278145695364239,calendar_days_since_previous_hit,False
15,3593,38,0.010576120233787921,calendar_days_since_previous_hit,False
16,3556,39,0.010967379077615299,calendar_days_since_previous_hit,False
17,3516,36,0.010238907849829351,calendar_days_since_previous_hit,False
18,3476,38,0.01093210586881473,calendar_days_since_previous_hit,False
19,3436,31,0.009022118742724098,calendar_days_since_previous_hit,False
20,3401,28,0.008232872684504558,calendar_days_since_previous_hit,False
21,3372,41,0.012158956109134046,calendar_days_since_previous_hit,False
22,3333,28,0.0084008400840084,calendar_days_since_previous_hit,False
23,3303,38,0.011504692703602786,calendar_days_since_previous_hit,False
24,3263,36,0.011032791909285933,calendar_days_since_previous_hit,False
25,3227,37,0.011465757669662225,calendar_days_since_previous_hit,False
26,3187,41,0.012864763100094132,calendar_days_since_previous_hit,False
27,3148,31,0.009847522236340533,calendar_days_since_previous_hit,False
28,3119,30,0.009618467457518435,calendar_days_since_previous_hit,False
29,3088,32,0.010362694300518135,calendar_days_since_previous_hit,False
30,3055,30,0.009819967266775777,calendar_days_since_previous_hit,False
31,3024,36,0.011904761904761904,calendar_days_since_previous_hit,False
32,2989,32,0.010705921712947474,calendar_days_since_previous_hit,False
33,2958,30,0.010141987829614604,calendar_days_since_previous_hit,False
34,2934,31,0.010565780504430812,calendar_days_since_previous_hit,False
35,2903,25,0.00861178091629349,calendar_days_since_previous_hit,False
36,2876,19,0.006606397774687065,calendar_days_since_previous_hit,False
37,2854,27,0.0094604064470918,calendar_days_since_previous_hit,False
38,2823,27,0.009564293304994687,calendar_days_since_previous_hit,False
39,2795,30,0.01073345259391771,calendar_days_since_previous_hit,False
40,2763,21,0.00760043431053203,calendar_days_since_previous_hit,False
41,2744,37,0.01348396501457726,calendar_days_since_previous_hit,False
42,2705,33,0.012199630314232901,calendar_days_since_previous_hit,False
43,2669,29,0.010865492693892843,calendar_days_since_previous_hit,False
44,2642,21,0.007948523845571537,calendar_days_since_previous_hit,False
45,2619,35,0.013363879343260786,calendar_days_since_previous_hit,False
46,2590,30,0.011583011583011582,calendar_days_since_previous_hit,False
47,2563,22,0.008583690987124463,calendar_days_since_previous_hit,False
48,2543,29,0.011403853716083366,calendar_days_since_previous_hit,False
49,2516,23,0.009141494435612083,calendar_days_since_previous_hit,False
50,2488,24,0.00964630225080386,calendar_days_since_previous_hit,False
51,2462,22,0.008935824532900082,calendar_days_since_previous_hit,False
52,2442,30,0.012285012285012284,calendar_days_since_previous_hit,False
53,2414,23,0.009527754763877383,calendar_days_since_previous_hit,False
54,2393,13,0.005432511491851233,calendar_days_since_previous_hit,False
55,2383,21,0.008812421317666807,calendar_days_since_previous_hit,False
56,2363,20,0.008463817181548879,calendar_days_since_previous_hit,False
57,2340,23,0.009829059829059829,calendar_days_since_previous_hit,False
58,2317,21,0.00906344410876133,calendar_days_since_previous_hit,False
59,2291,29,0.012658227848101266,calendar_days_since_previous_hit,False
60,2263,15,0.006628369421122404,calendar_days_since_previous_hit,False
61,2254,21,0.009316770186335404,calendar_days_since_previous_hit,False
62,2232,21,0.009408602150537635,calendar_days_since_previous_hit,False
63,2214,15,0.006775067750677507,calendar_days_since_previous_hit,False
64,2194,23,0.010483135824977211,calendar_days_since_previous_hit,False
65,2170,19,0.008755760368663594,calendar_days_since_previous_hit,False
66,2151,18,0.008368200836820083,calendar_days_since_previous_hit,False
67,2132,16,0.0075046904315197,calendar_days_since_previous_hit,False
68,2119,16,0.0075507314771118455,calendar_days_since_previous_hit,False
69,2101,20,0.00951927653498334,calendar_days_since_previous_hit,False
70,2082,21,0.010086455331412104,calendar_days_since_previous_hit,False
71,2059,18,0.008742107819329771,calendar_days_since_previous_hit,False
72,2036,28,0.0137524557956778,calendar_days_since_previous_hit,False
73,2012,27,0.01341948310139165,calendar_days_since_previous_hit,False
74,1984,14,0.007056451612903226,calendar_days_since_previous_hit,False
75,1971,29,0.014713343480466767,calendar_days_since_previous_hit,False
76,1944,25,0.01286008230452675,calendar_days_since_previous_hit,False
77,1916,32,0.016701461377870562,calendar_days_since_previous_hit,False
78,1884,22,0.01167728237791932,calendar_days_since_previous_hit,False
79,1862,12,0.00644468313641246,calendar_days_since_previous_hit,False
80,1848,18,0.00974025974025974,calendar_days_since_previous_hit,False
81,1832,21,0.01146288209606987,calendar_days_since_previous_hit,False
82,1808,14,0.007743362831858407,calendar_days_since_previous_hit,False
83,1792,19,0.010602678571428572,calendar_days_since_previous_hit,False
84,1773,18,0.01015228426395939,calendar_days_since_previous_hit,False
85,1750,11,0.006285714285714286,calendar_days_since_previous_hit,False
86,1740,17,0.009770114942528735,calendar_days_since_previous_hit,False
87,1724,18,0.010440835266821345,calendar_days_since_previous_hit,False
88,1708,20,0.0117096018735363,calendar_days_since_previous_hit,False
89,1688,12,0.0071090047393364926,calendar_days_since_previous_hit,False
90,1679,17,0.01012507444907683,calendar_days_since_previous_hit,False
91,1660,9,0.005421686746987952,calendar_days_since_previous_hit,False
92,1650,16,0.009696969696969697,calendar_days_since_previous_hit,False
93,1636,15,0.009168704156479218,calendar_days_since_previous_hit,False
94,1619,19,0.01173563928350834,calendar_days_since_previous_hit,False
95,1601,17,0.010618363522798251,calendar_days_since_previous_hit,False
96,1583,19,0.012002526847757423,calendar_days_since_previous_hit,False
97,1564,19,0.012148337595907928,calendar_days_since_previous_hit,False
98,1548,25,0.01614987080103359,calendar_days_since_previous_hit,False
99,1519,11,0.007241606319947334,calendar_days_since_previous_hit,False
100,1511,21,0.013898080741230973,calendar_days_since_previous_hit,False
101,1490,14,0.009395973154362415,calendar_days_since_previous_hit,False
102,1475,12,0.008135593220338983,calendar_days_since_previous_hit,False
