gap,denom,hits,hazard,gap_unit,censored_bucket
0,0,0,0.0,calendar_days_since_previous_hit,False
1,58095,14819,0.2550821929598072,calendar_days_since_previous_hit,False
2,43256,10192,0.2356204919548733,calendar_days_since_previous_hit,False
3,33050,7894,0.23885022692889563,calendar_days_since_previous_hit,False
4,25143,5846,0.2325100425565764,calendar_days_since_previous_hit,False
5,19291,4516,0.2340988025504121,calendar_days_since_previous_hit,False
6,14770,3370,0.22816519972918078,calendar_days_since_previous_hit,False
7,11396,2632,0.23095823095823095,calendar_days_since_previous_hit,False
8,8761,2113,0.24118251341171099,calendar_days_since_previous_hit,False
9,6647,1468,0.22085151196028283,calendar_days_since_previous_hit,False
10,5177,1177,0.2273517481166699,calendar_days_since_previous_hit,False
11,3998,924,0.23111555777888945,calendar_days_since_previous_hit,False
12,3073,718,0.23364790107386918,calendar_days_since_previous_hit,False
13,2353,551,0.23416914577135572,calendar_days_since_previous_hit,False
14,1801,409,0.22709605774569683,calendar_days_since_previous_hit,False
15,1392,282,0.2025862068965517,calendar_days_since_previous_hit,False
16,1110,240,0.21621621621621623,calendar_days_since_previous_hit,False
17,869,179,0.20598388952819333,calendar_days_since_previous_hit,False
18,689,154,0.22351233671988388,calendar_days_since_previous_hit,False
19,535,99,0.18504672897196262,calendar_days_since_previous_hit,False
20,435,78,0.1793103448275862,calendar_days_since_previous_hit,False
21,357,60,0.16806722689075632,calendar_days_since_previous_hit,False
22,297,64,0.21548821548821548,calendar_days_since_previous_hit,False
23,233,37,0.15879828326180256,calendar_days_since_previous_hit,False
24,196,32,0.16326530612244897,calendar_days_since_previous_hit,False
25,164,34,0.2073170731707317,calendar_days_since_previous_hit,False
26,130,22,0.16923076923076924,calendar_days_since_previous_hit,False
27,108,22,0.2037037037037037,calendar_days_since_previous_hit,False
28,86,14,0.16279069767441862,calendar_days_since_previous_hit,False
29,72,8,0.1111111111111111,calendar_days_since_previous_hit,False
30,64,7,0.109375,calendar_days_since_previous_hit,False
31,57,11,0.19298245614035087,calendar_days_since_previous_hit,False
32,46,10,0.21739130434782608,calendar_days_since_previous_hit,False
33,36,9,0.25,calendar_days_since_previous_hit,False
34,27,6,0.2222222222222222,calendar_days_since_previous_hit,False
35,21,3,0.14285714285714285,calendar_days_since_previous_hit,False
36,18,2,0.1111111111111111,calendar_days_since_previous_hit,False
37,16,4,0.25,calendar_days_since_previous_hit,False
38,12,4,0.3333333333333333,calendar_days_since_previous_hit,False
39,8,3,0.375,calendar_days_since_previous_hit,False
40,5,0,0.0,calendar_days_since_previous_hit,False
41,5,2,0.4,calendar_days_since_previous_hit,False
42,3,2,0.6666666666666666,calendar_days_since_previous_hit,False
43,1,1,1.0,calendar_days_since_previous_hit,False
44,0,0,0.0,calendar_days_since_previous_hit,False
45,0,0,0.0,calendar_days_since_previous_hit,False
46,0,0,0.0,calendar_days_since_previous_hit,False
47,0,0,0.0,calendar_days_since_previous_hit,False
48,0,0,0.0,calendar_days_since_previous_hit,False
49,0,0,0.0,calendar_days_since_previous_hit,False
50,0,0,0.0,calendar_days_since_previous_hit,False
51,0,0,0.0,calendar_days_since_previous_hit,False
52,0,0,0.0,calendar_days_since_previous_hit,False
53,0,0,0.0,calendar_days_since_previous_hit,False
54,0,0,0.0,calendar_days_since_previous_hit,False
55,0,0,0.0,calendar_days_since_previous_hit,False
56,0,0,0.0,calendar_days_since_previous_hit,False
57,0,0,0.0,calendar_days_since_previous_hit,False
58,0,0,0.0,calendar_days_since_previous_hit,False
59,0,0,0.0,calendar_days_since_previous_hit,False
60,0,0,0.0,calendar_days_since_previous_hit,True
