number,calendar_transition_days,prev1_total,prev1_curr1,p_hit_given_hit,prev0_total,prev0_curr1,p_hit_given_miss,lift
52,4194,1038,293,0.2826923076923077,3156,745,0.23622545915136162,1.1967055062899568
73,4194,988,262,0.26565656565656565,3206,728,0.2272443890274314,1.1690346538083163
22,4194,1026,273,0.26653696498054474,3168,756,0.238801261829653,1.1161455468802204
77,4194,1001,259,0.259222333000997,3193,743,0.23286384976525823,1.1131926800244427
82,4194,995,255,0.2567703109327984,3199,738,0.23086535457669477,1.1122080721189278
58,4194,970,242,0.25,3224,728,0.2259764414135152,1.106310013717421
55,4194,980,245,0.2505091649694501,3214,731,0.22761194029850745,1.1005976428166004
26,4194,1000,255,0.2554890219560878,3194,744,0.23310387984981226,1.0960307572773915
91,4194,1019,265,0.2605288932419197,3175,755,0.23796033994334279,1.0948416585047338
30,4194,1001,256,0.25623130608175476,3193,747,0.23411580594679185,1.0944639344000087
80,4194,1013,261,0.258128078817734,3181,753,0.23688344329249136,1.0896839189348106
6,4194,981,244,0.24923702950152593,3213,736,0.22923794712286158,1.087241587309913
50,4194,969,237,0.2451081359423275,3225,728,0.22590641462658817,1.0849985660986157
68,4194,1050,279,0.2661596958174905,3144,773,0.24602670057215512,1.0818325620695415
17,4194,966,236,0.24483471074380164,3228,730,0.22631578947368422,1.0818277916586583
20,4194,1001,252,0.2522432701894317,3193,749,0.2347417840375587,1.074556331006979
11,4194,1004,252,0.2514910536779324,3190,749,0.2349624060150376,1.0703459244532803
18,4194,996,248,0.24949899799599198,3198,749,0.234375,1.0645290581162326
47,4194,980,239,0.24439918533604887,3214,738,0.22978855721393035,1.063582922923861
93,4194,1028,263,0.2563106796116505,3166,763,0.24116161616161616,1.0628170589132313
92,4194,1024,261,0.2553606237816764,3170,763,0.2408575031525851,1.0602145270097874
96,4194,1002,250,0.25,3192,753,0.23606762680025048,1.0590185676392572
4,4194,1006,252,0.2509920634920635,3188,757,0.23761755485893418,1.0562858608702934
63,4194,991,243,0.2457200402819738,3203,749,0.23400936037441497,1.050043638804968
86,4194,970,232,0.2397119341563786,3224,736,0.22845629262244266,1.0492682491024115
97,4194,1006,249,0.24801587301587302,3188,754,0.23667711598746083,1.0479081257226952
94,4194,1024,257,0.25146198830409355,3170,762,0.2405422446406053,1.045396365531566
19,4194,1027,260,0.2536443148688047,3167,768,0.24266330072578102,1.0452520595828894
35,4194,1011,252,0.24975320829220138,3183,761,0.23924646781789638,1.0439159690428628
39,4194,1014,253,0.25,3180,762,0.2397862979258328,1.04259501965924
49,4194,1066,278,0.2612359550561798,3128,787,0.25175718849840256,1.0376504306165517
48,4194,980,235,0.24032586558044808,3214,745,0.23196517412935325,1.0360428736015026
45,4194,949,221,0.2334384858044164,3245,731,0.22543886664613488,1.035484649463033
25,4194,998,243,0.244,3196,753,0.23577235772357724,1.034896551724138
41,4194,1004,246,0.24552683896620278,3190,758,0.23778195488721804,1.0325713701977857
81,4194,1032,260,0.2524177949709865,3162,773,0.24462705436156765,1.0318474202689938
75,4194,1031,260,0.2526621490803485,3163,776,0.24549763033175356,1.0291836574508404
70,4194,1005,246,0.24528301886792453,3189,760,0.2384832340958947,1.0285126323358045
34,4194,951,220,0.23189926547743966,3243,732,0.22588597842835131,1.0266208955993066
65,4194,974,230,0.23668032786885246,3220,742,0.23060211049037865,1.0263580301392228
14,4194,1008,246,0.24455445544554455,3186,760,0.23870765370138017,1.0244935663080106
84,4194,1019,251,0.24681684622918706,3175,765,0.24110796348756688,1.0236777029636126
78,4194,969,227,0.23480947476828012,3225,746,0.23148435079020763,1.0143643575331192
79,4194,1034,258,0.25,3160,780,0.2469955724225174,1.0121638924455825
5,4194,998,238,0.239,3196,760,0.23796122576610382,1.004365308804205
15,4194,965,222,0.23061013443640124,3229,742,0.22995976477870628,1.0028281889152253
61,4194,997,238,0.23923923923923923,3197,763,0.23882463269771803,1.0017360292229402
