source,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
00,1.0,-0.009238905945988786,-0.008548160866183865,-0.009458315667449374,-0.011063613802350382,-0.009883057711226868,-0.008305570776155076,-0.008055892112757505,-0.009014349028992726,-0.011063613802350382,-0.008548160866183865,-0.009672928685356302,-0.009672928685356302,-0.010875356537087204,-0.009014349028992726,-0.009672928685356302,-0.008784249934337334,-0.010875356537087204,-0.011248876304199417,-0.011063613802350382,-0.009014349028992726,-0.01029095753043137,-0.009672928685356302,-0.01029095753043137,-0.010683945993621994,-0.010088983138596396,-0.009238905945988786,-0.008784249934337334,-0.008548160866183865,-0.009458315667449374,-0.010875356537087204,-0.007798443774129753,-0.010088983138596396,-0.009238905945988786,-0.010489209336098017,-0.009883057711226868,-0.011788097763657607,-0.008548160866183865,-0.010875356537087204,-0.010875356537087204,-0.009014349028992726,-0.009014349028992726,-0.009458315667449374,-0.009672928685356302,-0.009458315667449374,-0.009458315667449374,-0.009883057711226868,-0.011063613802350382,-0.01029095753043137,-0.01029095753043137,-0.01029095753043137,-0.009883057711226868,-0.009458315667449374,-0.009672928685356302,-0.01143128984285305,-0.01029095753043137,-0.008305570776155076,-0.011248876304199417,-0.009014349028992726,-0.010489209336098017,-0.010088983138596396,-0.010489209336098017,-0.010088983138596396,-0.009014349028992726,-0.011248876304199417,-0.01143128984285305,-0.009238905945988786,-0.010875356537087204,-0.011248876304199417,-0.010875356537087204,-0.011063613802350382,-0.010088983138596396,-0.008055892112757505,-0.007798443774129753,-0.008055892112757505,-0.009238905945988786,-0.010489209336098017,-0.010683945993621994,-0.009883057711226868,-0.01230499551876537,-0.011610988886015848,-0.009014349028992726,-0.01029095753043137,-0.010088983138596396,-0.006970744523616564,-0.008784249934337334,-0.009672928685356302,-0.009014349028992726,-0.010088983138596396,-0.009883057711226868,-0.009014349028992726,-0.009458315667449374,-0.009883057711226868,-0.01029095753043137,-0.010088983138596396,-0.009238905945988786,-0.010875356537087204,-0.010088983138596396,-0.009014349028992726,-0.008055892112757505
01,-0.009238905945988786,1.0,-0.007991014174099245,-0.008841847473962503,-0.010342516489258631,-0.009238905945988786,-0.007764235469502699,-0.007530830206146812,-0.00842681741588662,-0.010342516489258631,-0.007991014174099245,-0.009042472578577092,-0.009042472578577092,-0.010166529338496596,-0.00842681741588662,-0.009042472578577092,-0.008211715576365495,-0.010166529338496596,-0.010515704067426619,-0.010342516489258631,-0.00842681741588662,-0.00962021992544023,-0.009042472578577092,-0.00962021992544023,-0.009987594431930504,-0.00943140969441812,-0.00863673830234376,-0.008211715576365495,-0.007991014174099245,-0.008841847473962503,-0.010166529338496596,-0.007290161674602073,-0.00943140969441812,-0.00863673830234376,-0.009805550198691181,-0.009238905945988786,-0.011019780487251,-0.007991014174099245,-0.010166529338496596,-0.010166529338496596,-0.00842681741588662,-0.00842681741588662,-0.008841847473962503,-0.009042472578577092,-0.008841847473962503,-0.008841847473962503,-0.009238905945988786,-0.010342516489258631,-0.00962021992544023,-0.00962021992544023,-0.00962021992544023,-0.009238905945988786,-0.008841847473962503,-0.009042472578577092,-0.010686228370343658,-0.00962021992544023,-0.007764235469502699,-0.010515704067426619,-0.00842681741588662,-0.009805550198691181,-0.00943140969441812,-0.009805550198691181,-0.00943140969441812,-0.00842681741588662,-0.010515704067426619,-0.010686228370343658,-0.00863673830234376,-0.010166529338496596,-0.010515704067426619,-0.010166529338496596,-0.010342516489258631,-0.00943140969441812,-0.007530830206146812,-0.007290161674602073,-0.007530830206146812,-0.00863673830234376,-0.009805550198691181,-0.009987594431930504,-0.009238905945988786,-0.01150298820318981,-0.010854215101462242,-0.00842681741588662,-0.00962021992544023,-0.00943140969441812,-0.006516409689083467,-0.008211715576365495,-0.009042472578577092,-0.00842681741588662,-0.00943140969441812,-0.009238905945988786,-0.00842681741588662,-0.008841847473962503,-0.009238905945988786,-0.00962021992544023,-0.00943140969441812,-0.00863673830234376,-0.010166529338496596,-0.00943140969441812,-0.00842681741588662,-0.007530830206146812
02,-0.008548160866183865,-0.007991014174099245,1.0,-0.008180788396759014,-0.00956926017303232,-0.008548160866183865,-0.007183743852815735,-0.0069677890904397445,-0.007796787983563491,-0.00956926017303232,-0.007393567489862037,-0.008366413802847824,-0.008366413802847824,-0.009406430668771766,-0.007796787983563491,-0.008366413802847824,-0.007597768192953223,-0.009406430668771766,-0.00972949941422164,-0.00956926017303232,-0.007796787983563491,-0.008900965977084565,-0.008366413802847824,-0.008900965977084565,-0.009240873797120032,-0.008726272107767807,-0.007991014174099245,-0.007597768192953223,-0.007393567489862037,-0.008180788396759014,-0.009406430668771766,-0.006745114096766292,-0.008726272107767807,-0.007991014174099245,-0.009072440067023835,-0.008548160866183865,-0.010195888654538523,-0.007393567489862037,-0.009406430668771766,-0.009406430668771766,-0.007796787983563491,-0.007796787983563491,-0.008180788396759014,-0.008366413802847824,-0.008180788396759014,-0.008180788396759014,-0.008548160866183865,-0.00956926017303232,-0.008900965977084565,-0.008900965977084565,-0.008900965977084565,-0.008548160866183865,-0.008180788396759014,-0.008366413802847824,-0.009887274499437397,-0.008900965977084565,-0.007183743852815735,-0.00972949941422164,-0.007796787983563491,-0.009072440067023835,-0.008726272107767807,-0.009072440067023835,-0.008726272107767807,-0.007796787983563491,-0.00972949941422164,-0.009887274499437397,-0.007991014174099245,-0.009406430668771766,-0.00972949941422164,-0.009406430668771766,-0.00956926017303232,-0.008726272107767807,-0.0069677890904397445,-0.006745114096766292,-0.0069677890904397445,-0.007991014174099245,-0.009072440067023835,-0.009240873797120032,-0.008548160866183865,-0.010642969435723394,-0.010042701733936895,-0.007796787983563491,-0.008900965977084565,-0.008726272107767807,-0.006029211534124246,-0.007597768192953223,-0.008366413802847824,-0.007796787983563491,-0.008726272107767807,-0.008548160866183865,-0.007796787983563491,-0.008180788396759014,-0.008548160866183865,-0.008900965977084565,-0.008726272107767807,-0.007991014174099245,-0.009406430668771766,-0.008726272107767807,-0.007796787983563491,-0.0069677890904397445
03,-0.009458315667449374,-0.008841847473962503,-0.008180788396759014,1.0,-0.010588135253577257,-0.009458315667449374,-0.0079486240488082,-0.007709675771580352,-0.008626941291248904,-0.010588135253577257,-0.008180788396759014,-0.009257217311490191,-0.009257217311490191,-0.010407968680278065,-0.008626941291248904,-0.009257217311490191,-0.008406731115852198,-0.010407968680278065,-0.010765435768764887,-0.010588135253577257,-0.008626941291248904,-0.009848685263930538,-0.009257217311490191,-0.009848685263930538,-0.01022478434653534,-0.009655391082055409,-0.008841847473962503,-0.008406731115852198,-0.008180788396759014,-0.009051827671055146,-0.010407968680278065,-0.007463291734782148,-0.009655391082055409,-0.008841847473962503,-0.010038416844421756,-0.009458315667449374,-0.01128148322363553,-0.008180788396759014,-0.010407968680278065,-0.010407968680278065,-0.008626941291248904,-0.008626941291248904,-0.009051827671055146,-0.009257217311490191,-0.009051827671055146,-0.009051827671055146,-0.009458315667449374,-0.010588135253577257,-0.009848685263930538,-0.009848685263930538,-0.009848685263930538,-0.009458315667449374,-0.009051827671055146,-0.009257217311490191,-0.010940009760035077,-0.009848685263930538,-0.0079486240488082,-0.010765435768764887,-0.008626941291248904,-0.010038416844421756,-0.009655391082055409,-0.010038416844421756,-0.009655391082055409,-0.008626941291248904,-0.010765435768764887,-0.010940009760035077,-0.008841847473962503,-0.010407968680278065,-0.010765435768764887,-0.010407968680278065,-0.010588135253577257,-0.009655391082055409,-0.007709675771580352,-0.007463291734782148,-0.007709675771580352,-0.008841847473962503,-0.010038416844421756,-0.01022478434653534,-0.009458315667449374,-0.011776166375192099,-0.011111985916102813,-0.008626941291248904,-0.009848685263930538,-0.009655391082055409,-0.0066711643367834625,-0.008406731115852198,-0.009257217311490191,-0.008626941291248904,-0.009655391082055409,-0.009458315667449374,-0.008626941291248904,-0.009051827671055146,-0.009458315667449374,-0.009848685263930538,-0.009655391082055409,-0.008841847473962503,-0.010407968680278065,-0.009655391082055409,-0.008626941291248904,-0.007709675771580352
04,-0.011063613802350382,-0.010342516489258631,-0.00956926017303232,-0.010588135253577257,1.0,-0.011063613802350382,-0.009297692086841029,-0.009018188679370301,-0.010091135683956986,-0.012385190286657032,-0.00956926017303232,-0.010828384336043094,-0.010828384336043094,-0.012174445217750633,-0.010091135683956986,-0.010828384336043094,-0.009833550673940717,-0.012174445217750633,-0.01259258286013018,-0.012385190286657032,-0.010091135683956986,-0.011520238280481345,-0.010828384336043094,-0.011520238280481345,-0.011960170203633144,-0.011294137539747194,-0.010342516489258631,-0.009833550673940717,-0.00956926017303232,-0.010588135253577257,-0.012174445217750633,-0.008729987489428995,-0.011294137539747194,-0.010342516489258631,-0.011742171762770209,-0.011063613802350382,-0.0131962156786058,-0.00956926017303232,-0.012174445217750633,-0.012174445217750633,-0.010091135683956986,-0.010091135683956986,-0.010588135253577257,-0.010828384336043094,-0.010588135253577257,-0.010588135253577257,-0.011063613802350382,-0.012385190286657032,-0.011520238280481345,-0.011520238280481345,-0.011520238280481345,-0.011063613802350382,-0.010588135253577257,-0.010828384336043094,-0.012796786154591495,-0.011520238280481345,-0.009297692086841029,-0.01259258286013018,-0.010091135683956986,-0.011742171762770209,-0.011294137539747194,-0.011742171762770209,-0.011294137539747194,-0.010091135683956986,-0.01259258286013018,-0.012796786154591495,-0.010342516489258631,-0.012174445217750633,-0.01259258286013018,-0.012174445217750633,-0.012385190286657032,-0.011294137539747194,-0.009018188679370301,-0.008729987489428995,-0.009018188679370301,-0.010342516489258631,-0.011742171762770209,-0.011960170203633144,-0.011063613802350382,-0.013774858170121139,-0.01299795070025095,-0.010091135683956986,-0.011520238280481345,-0.011294137539747194,-0.007803417482479601,-0.009833550673940717,-0.010828384336043094,-0.010091135683956986,-0.011294137539747194,-0.011063613802350382,-0.010091135683956986,-0.010588135253577257,-0.011063613802350382,-0.011520238280481345,-0.011294137539747194,-0.010342516489258631,-0.012174445217750633,-0.011294137539747194,-0.010091135683956986,-0.009018188679370301
05,-0.009883057711226868,-0.009238905945988786,-0.008548160866183865,-0.009458315667449374,-0.011063613802350382,1.0,-0.008305570776155076,-0.008055892112757505,-0.009014349028992726,-0.011063613802350382,-0.008548160866183865,-0.009672928685356302,-0.009672928685356302,-0.010875356537087204,-0.009014349028992726,-0.009672928685356302,-0.008784249934337334,-0.010875356537087204,-0.011248876304199417,-0.011063613802350382,-0.009014349028992726,-0.01029095753043137,-0.009672928685356302,-0.01029095753043137,-0.010683945993621994,-0.010088983138596396,-0.009238905945988786,-0.008784249934337334,-0.008548160866183865,-0.009458315667449374,-0.010875356537087204,-0.007798443774129753,-0.010088983138596396,-0.009238905945988786,-0.010489209336098017,-0.009883057711226868,-0.011788097763657607,-0.008548160866183865,-0.010875356537087204,-0.010875356537087204,-0.009014349028992726,-0.009014349028992726,-0.009458315667449374,-0.009672928685356302,-0.009458315667449374,-0.009458315667449374,-0.009883057711226868,-0.011063613802350382,-0.01029095753043137,-0.01029095753043137,-0.01029095753043137,-0.009883057711226868,-0.009458315667449374,-0.009672928685356302,-0.01143128984285305,-0.01029095753043137,-0.008305570776155076,-0.011248876304199417,-0.009014349028992726,-0.010489209336098017,-0.010088983138596396,-0.010489209336098017,-0.010088983138596396,-0.009014349028992726,-0.011248876304199417,-0.01143128984285305,-0.009238905945988786,-0.010875356537087204,-0.011248876304199417,-0.010875356537087204,-0.011063613802350382,-0.010088983138596396,-0.008055892112757505,-0.007798443774129753,-0.008055892112757505,-0.009238905945988786,-0.010489209336098017,-0.010683945993621994,-0.009883057711226868,-0.01230499551876537,-0.011610988886015848,-0.009014349028992726,-0.01029095753043137,-0.010088983138596396,-0.006970744523616564,-0.008784249934337334,-0.009672928685356302,-0.009014349028992726,-0.010088983138596396,-0.009883057711226868,-0.009014349028992726,-0.009458315667449374,-0.009883057711226868,-0.01029095753043137,-0.010088983138596396,-0.009238905945988786,-0.010875356537087204,-0.010088983138596396,-0.009014349028992726,-0.008055892112757505
06,-0.008305570776155076,-0.007764235469502699,-0.007183743852815735,-0.0079486240488082,-0.009297692086841029,-0.008305570776155076,1.0,-0.006770048709881603,-0.007575521265672109,-0.009297692086841029,-0.007183743852815735,-0.008128981551697752,-0.008128981551697752,-0.009139483555994088,-0.007575521265672109,-0.008128981551697752,-0.007382149500371315,-0.009139483555994088,-0.009453383864247815,-0.009297692086841029,-0.007575521265672109,-0.008648363555168735,-0.008128981551697752,-0.008648363555168735,-0.008978625058299931,-0.008478627360625355,-0.007764235469502699,-0.007382149500371315,-0.007183743852815735,-0.0079486240488082,-0.009139483555994088,-0.006553693057597255,-0.008478627360625355,-0.007764235469502699,-0.008814971345143934,-0.008305570776155076,-0.009906537344315436,-0.007183743852815735,-0.009139483555994088,-0.009139483555994088,-0.007575521265672109,-0.007575521265672109,-0.0079486240488082,-0.008128981551697752,-0.0079486240488082,-0.0079486240488082,-0.008305570776155076,-0.009297692086841029,-0.008648363555168735,-0.008648363555168735,-0.008648363555168735,-0.008305570776155076,-0.0079486240488082,-0.008128981551697752,-0.009606681416491748,-0.008648363555168735,-0.006979874845753362,-0.009453383864247815,-0.007575521265672109,-0.008814971345143934,-0.008478627360625355,-0.008814971345143934,-0.008478627360625355,-0.007575521265672109,-0.009453383864247815,-0.009606681416491748,-0.007764235469502699,-0.009139483555994088,-0.009453383864247815,-0.009139483555994088,-0.009297692086841029,-0.008478627360625355,-0.006770048709881603,-0.006553693057597255,-0.006770048709881603,-0.007764235469502699,-0.008814971345143934,-0.008978625058299931,-0.008305570776155076,-0.01034093032415267,-0.0097576977481783,-0.007575521265672109,-0.008648363555168735,-0.008478627360625355,-0.0058581072472767785,-0.007382149500371315,-0.008128981551697752,-0.007575521265672109,-0.008478627360625355,-0.008305570776155076,-0.007575521265672109,-0.0079486240488082,-0.008305570776155076,-0.008648363555168735,-0.008478627360625355,-0.007764235469502699,-0.009139483555994088,-0.008478627360625355,-0.007575521265672109,-0.006770048709881603
07,-0.008055892112757505,-0.007530830206146812,-0.0069677890904397445,-0.007709675771580352,-0.009018188679370301,-0.008055892112757505,-0.006770048709881603,1.0,-0.007347789051339153,-0.009018188679370301,-0.0069677890904397445,-0.007884611441164424,-0.007884611441164424,-0.008864736148512352,-0.007347789051339153,-0.007884611441164424,-0.007160230348764613,-0.008864736148512352,-0.009169200114398148,-0.009018188679370301,-0.007347789051339153,-0.008388379995793133,-0.007884611441164424,-0.008388379995793133,-0.008708713313024063,-0.008223746341138455,-0.007530830206146812,-0.007160230348764613,-0.0069677890904397445,-0.007709675771580352,-0.008864736148512352,-0.006356678623906967,-0.008223746341138455,-0.007530830206146812,-0.008549979290695117,-0.008055892112757505,-0.009608731080340422,-0.0069677890904397445,-0.008864736148512352,-0.008864736148512352,-0.007347789051339153,-0.007347789051339153,-0.007709675771580352,-0.007884611441164424,-0.007709675771580352,-0.007709675771580352,-0.008055892112757505,-0.009018188679370301,-0.008388379995793133,-0.008388379995793133,-0.008388379995793133,-0.008055892112757505,-0.007709675771580352,-0.007884611441164424,-0.009317889298478354,-0.008388379995793133,-0.006770048709881603,-0.009169200114398148,-0.007347789051339153,-0.008549979290695117,-0.008223746341138455,-0.008549979290695117,-0.008223746341138455,-0.007347789051339153,-0.009169200114398148,-0.009317889298478354,-0.007530830206146812,-0.008864736148512352,-0.009169200114398148,-0.008864736148512352,-0.009018188679370301,-0.008223746341138455,-0.006566530281277929,-0.006356678623906967,-0.006566530281277929,-0.007530830206146812,-0.008549979290695117,-0.008708713313024063,-0.008055892112757505,-0.010030065516518452,-0.009464365839118286,-0.007347789051339153,-0.008388379995793133,-0.008223746341138455,-0.005682003229026898,-0.007160230348764613,-0.007884611441164424,-0.007347789051339153,-0.008223746341138455,-0.008055892112757505,-0.007347789051339153,-0.007709675771580352,-0.008055892112757505,-0.008388379995793133,-0.008223746341138455,-0.007530830206146812,-0.008864736148512352,-0.008223746341138455,-0.007347789051339153,-0.006566530281277929
08,-0.009014349028992726,-0.00842681741588662,-0.007796787983563491,-0.008626941291248904,-0.010091135683956986,-0.009014349028992726,-0.007575521265672109,-0.007347789051339153,1.0,-0.010091135683956986,-0.007796787983563491,-0.008822690087431778,-0.008822690087431778,-0.00991942600200317,-0.008221998777179539,-0.008822690087431778,-0.008012125111449274,-0.00991942600200317,-0.010260113838537074,-0.010091135683956986,-0.008221998777179539,-0.009386394953099344,-0.008822690087431778,-0.009386394953099344,-0.009744840211143675,-0.009202173863218345,-0.00842681741588662,-0.008012125111449274,-0.007796787983563491,-0.008626941291248904,-0.00991942600200317,-0.007112970106723604,-0.009202173863218345,-0.00842681741588662,-0.009567220667582126,-0.009014349028992726,-0.010751938391373318,-0.007796787983563491,-0.00991942600200317,-0.00991942600200317,-0.008221998777179539,-0.008221998777179539,-0.008626941291248904,-0.008822690087431778,-0.008626941291248904,-0.008626941291248904,-0.009014349028992726,-0.010091135683956986,-0.009386394953099344,-0.009386394953099344,-0.009386394953099344,-0.009014349028992726,-0.008626941291248904,-0.008822690087431778,-0.010426493450301309,-0.009386394953099344,-0.007575521265672109,-0.010260113838537074,-0.008221998777179539,-0.009567220667582126,-0.009202173863218345,-0.009567220667582126,-0.009202173863218345,-0.008221998777179539,-0.010260113838537074,-0.010426493450301309,-0.00842681741588662,-0.00991942600200317,-0.010260113838537074,-0.00991942600200317,-0.010091135683956986,-0.009202173863218345,-0.007347789051339153,-0.007112970106723604,-0.007347789051339153,-0.00842681741588662,-0.009567220667582126,-0.009744840211143675,-0.009014349028992726,-0.011223401466161511,-0.010590397167407546,-0.008221998777179539,-0.009386394953099344,-0.009202173863218345,-0.006358024607752583,-0.008012125111449274,-0.008822690087431778,-0.008221998777179539,-0.009202173863218345,-0.009014349028992726,-0.008221998777179539,-0.008626941291248904,-0.009014349028992726,-0.009386394953099344,-0.009202173863218345,-0.00842681741588662,-0.00991942600200317,-0.009202173863218345,-0.008221998777179539,-0.007347789051339153
09,-0.011063613802350382,-0.010342516489258631,-0.00956926017303232,-0.010588135253577257,-0.012385190286657032,-0.011063613802350382,-0.009297692086841029,-0.009018188679370301,-0.010091135683956986,1.0,-0.00956926017303232,-0.010828384336043094,-0.010828384336043094,-0.012174445217750633,-0.010091135683956986,-0.010828384336043094,-0.009833550673940717,-0.012174445217750633,-0.01259258286013018,-0.012385190286657032,-0.010091135683956986,-0.011520238280481345,-0.010828384336043094,-0.011520238280481345,-0.011960170203633144,-0.011294137539747194,-0.010342516489258631,-0.009833550673940717,-0.00956926017303232,-0.010588135253577257,-0.012174445217750633,-0.008729987489428995,-0.011294137539747194,-0.010342516489258631,-0.011742171762770209,-0.011063613802350382,-0.0131962156786058,-0.00956926017303232,-0.012174445217750633,-0.012174445217750633,-0.010091135683956986,-0.010091135683956986,-0.010588135253577257,-0.010828384336043094,-0.010588135253577257,-0.010588135253577257,-0.011063613802350382,-0.012385190286657032,-0.011520238280481345,-0.011520238280481345,-0.011520238280481345,-0.011063613802350382,-0.010588135253577257,-0.010828384336043094,-0.012796786154591495,-0.011520238280481345,-0.009297692086841029,-0.01259258286013018,-0.010091135683956986,-0.011742171762770209,-0.011294137539747194,-0.011742171762770209,-0.011294137539747194,-0.010091135683956986,-0.01259258286013018,-0.012796786154591495,-0.010342516489258631,-0.012174445217750633,-0.01259258286013018,-0.012174445217750633,-0.012385190286657032,-0.011294137539747194,-0.009018188679370301,-0.008729987489428995,-0.009018188679370301,-0.010342516489258631,-0.011742171762770209,-0.011960170203633144,-0.011063613802350382,-0.013774858170121139,-0.01299795070025095,-0.010091135683956986,-0.011520238280481345,-0.011294137539747194,-0.007803417482479601,-0.009833550673940717,-0.010828384336043094,-0.010091135683956986,-0.011294137539747194,-0.011063613802350382,-0.010091135683956986,-0.010588135253577257,-0.011063613802350382,-0.011520238280481345,-0.011294137539747194,-0.010342516489258631,-0.012174445217750633,-0.011294137539747194,-0.010091135683956986,-0.009018188679370301
