number,lag,state,trials,hits,posterior_prob,lift_vs_baseline
0,1,0,2417.0,23.0,0.00953088534296725,0.9693607775652056
1,1,0,2416.0,21.0,0.008764912360332553,0.8566332314668769
2,1,0,2423.0,18.0,0.007429054789986336,0.9993276927175168
3,1,0,2419.0,21.0,0.008697886118045305,0.9629252684667854
4,1,0,2411.0,30.0,0.012432882615282725,1.016570990308411
5,1,0,2417.0,22.0,0.009136719004772531,0.9292711768268647
6,1,0,2424.0,17.0,0.007014199960786089,0.9971322898799315
7,1,0,2425.0,16.0,0.006599671147168708,0.9947215186877173
8,1,0,2421.0,20.0,0.008259744034760385,1.0031980376199263
9,1,0,2407.0,30.0,0.01252848137002863,0.9059612828847292
10,1,0,2423.0,18.0,0.007429054789986336,0.9993276927175168
11,1,0,2418.0,23.0,0.00950823265737292,1.0080338181672477
12,1,0,2418.0,23.0,0.00950823265737292,1.0080338181672477
13,1,0,2412.0,28.0,0.011619140706392231,0.982131420520046
14,1,0,2421.0,19.0,0.007866198186669083,0.9553994108274779
15,1,0,2418.0,23.0,0.00950823265737292,1.0080338181672477
16,1,0,2422.0,19.0,0.00784423601952427,1.0013407408596797
17,1,0,2412.0,29.0,0.012014085414133147,1.0155149225054436
18,1,0,2410.0,31.0,0.012852010881413446,1.0175864311802671
19,1,0,2389.0,30.0,0.01296244789740149,0.6165787954239264
20,1,0,2421.0,20.0,0.008259744034760385,1.0031980376199263
21,1,0,2415.0,26.0,0.010759676282642525,1.0120567691417892
22,1,0,2418.0,23.0,0.00950823265737292,1.0080338181672477
23,1,0,2415.0,25.0,0.010365198965088284,0.9749521733327401
24,1,0,2413.0,28.0,0.01159561888586249,1.0144139319030752
25,1,0,2416.0,25.0,0.01034219942657861,1.0107883970820188
26,1,0,2420.0,20.0,0.008281878434260466,0.9593175853018373
27,1,0,2422.0,19.0,0.00784423601952427,1.0013407408596797
28,1,0,2423.0,17.0,0.007035818454948979,0.9464310631334594
29,1,0,2415.0,22.0,0.009181767012425563,0.8636383859055924
30,1,0,2412.0,29.0,0.012014085414133147,1.0155149225054436
31,1,0,2426.0,15.0,0.006185467964983865,0.9920539005377969
32,1,0,2416.0,25.0,0.01034219942657861,1.0107883970820188
33,1,0,2420.0,21.0,0.00867557922166204,1.0049212598425197
34,1,0,2414.0,27.0,0.011177482638987468,1.013263100099516
35,1,0,2417.0,24.0,0.009925051681161968,1.0094503783035464
36,1,0,2407.0,34.0,0.014111386000024673,1.020424502082709
37,1,0,2423.0,18.0,0.007429054789986336,0.9993276927175168
38,1,0,2412.0,29.0,0.012014085414133147,1.0155149225054436
39,1,0,2412.0,29.0,0.012014085414133147,1.0155149225054436
40,1,0,2421.0,20.0,0.008259744034760385,1.0031980376199263
41,1,0,2421.0,20.0,0.008259744034760385,1.0031980376199263
42,1,0,2419.0,22.0,0.009091741966804658,1.0065282478294357
43,1,0,2418.0,23.0,0.00950823265737292,1.0080338181672477
44,1,0,2419.0,21.0,0.008697886118045305,0.9629252684667854
45,1,0,2419.0,22.0,0.009091741966804658,1.0065282478294357
46,1,0,2417.0,24.0,0.009925051681161968,1.0094503783035464
47,1,0,2411.0,30.0,0.012432882615282725,1.016570990308411
48,1,0,2415.0,26.0,0.010759676282642525,1.0120567691417892
49,1,0,2415.0,26.0,0.010759676282642525,1.0120567691417892
50,1,0,2415.0,25.0,0.010365198965088284,0.9749521733327401
51,1,0,2417.0,24.0,0.009925051681161968,1.0094503783035464
52,1,0,2415.0,22.0,0.009181767012425563,0.8636383859055924
53,1,0,2418.0,23.0,0.00950823265737292,1.0080338181672477
54,1,0,2409.0,31.0,0.012876057398446605,0.9882176567764848
55,1,0,2415.0,26.0,0.010759676282642525,1.0120567691417892
56,1,0,2424.0,17.0,0.007014199960786089,0.9971322898799315
57,1,0,2410.0,31.0,0.012852010881413446,1.0175864311802671
58,1,0,2421.0,20.0,0.008259744034760385,1.0031980376199263
59,1,0,2414.0,26.0,0.010782849647669394,0.9774887615387255
60,1,0,2416.0,25.0,0.01034219942657861,1.0107883970820188
61,1,0,2414.0,27.0,0.011177482638987468,1.013263100099516
62,1,0,2416.0,25.0,0.01034219942657861,1.0107883970820188
63,1,0,2421.0,19.0,0.007866198186669083,0.9553994108274779
64,1,0,2410.0,30.0,0.0124567539644174,0.9862910892079852
65,1,0,2409.0,31.0,0.012876057398446605,0.9882176567764848
66,1,0,2416.0,21.0,0.008764912360332553,0.8566332314668769
67,1,0,2412.0,29.0,0.012014085414133147,1.0155149225054436
68,1,0,2410.0,31.0,0.012852010881413446,1.0175864311802671
69,1,0,2408.0,29.0,0.012108983699116655,0.9016868218806509
70,1,0,2411.0,29.0,0.012037781864591299,0.9842656936342298
71,1,0,2416.0,25.0,0.01034219942657861,1.0107883970820188
72,1,0,2425.0,15.0,0.006206743838720772,0.9354983785830946
73,1,0,2426.0,15.0,0.006185467964983865,0.9920539005377969
74,1,0,2425.0,16.0,0.006599671147168708,0.9947215186877173
75,1,0,2416.0,21.0,0.008764912360332553,0.8566332314668769
76,1,0,2414.0,26.0,0.010782849647669394,0.9774887615387255
77,1,0,2413.0,28.0,0.01159561888586249,1.0144139319030752
78,1,0,2417.0,24.0,0.009925051681161968,1.0094503783035464
79,1,0,2404.0,35.0,0.014581361851881412,0.9702810466331726
80,1,0,2408.0,32.0,0.013295692559876148,0.9900542495479202
81,1,0,2421.0,20.0,0.008259744034760385,1.0031980376199263
82,1,0,2415.0,26.0,0.010759676282642525,1.0120567691417892
83,1,0,2416.0,25.0,0.01034219942657861,1.0107883970820188
84,1,0,2429.0,11.0,0.004552497664481204,0.9039959648041249
85,1,0,2422.0,19.0,0.00784423601952427,1.0013407408596797
86,1,0,2418.0,23.0,0.00950823265737292,1.0080338181672477
87,1,0,2422.0,18.0,0.00745084498883977,0.9511231715345462
88,1,0,2416.0,25.0,0.01034219942657861,1.0107883970820188
89,1,0,2417.0,23.0,0.00953088534296725,0.9693607775652056
90,1,0,2422.0,20.0,0.008256494725541361,1.0028033885099266
91,1,0,2419.0,22.0,0.009091741966804658,1.0065282478294357
92,1,0,2417.0,24.0,0.009925051681161968,1.0094503783035464
93,1,0,2415.0,26.0,0.010759676282642525,1.0120567691417892
94,1,0,2416.0,24.0,0.009947877660017097,0.9722496056782334
95,1,0,2420.0,20.0,0.008281878434260466,0.9593175853018373
96,1,0,2412.0,28.0,0.011619140706392231,0.982131420520046
97,1,0,2416.0,25.0,0.01034219942657861,1.0107883970820188
98,1,0,2421.0,20.0,0.008259744034760385,1.0031980376199263
99,1,0,2425.0,16.0,0.006599671147168708,0.9947215186877173
0,1,1,24.0,1.0,0.015137889688249402,1.5396341463414633
1,1,1,25.0,4.0,0.03605391548829902,3.523706896551724
2,1,1,18.0,0.0,0.006464393702429361,0.8695652173913043
3,1,1,22.0,1.0,0.01467558347688047,1.6247039760688022
4,1,1,30.0,0.0,0.009784172661870504,0.8
5,1,1,24.0,1.0,0.015137889688249402,1.5396341463414633
6,1,1,17.0,0.0,0.0061614941623343664,0.8759124087591241
7,1,1,16.0,0.0,0.005854140217237975,0.8823529411764706
8,1,1,20.0,0.0,0.007057211373758136,0.8571428571428571
9,1,1,34.0,4.0,0.036749820922482794,2.6574581487876285
10,1,1,18.0,0.0,0.006464393702429361,0.8695652173913043
11,1,1,23.0,0.0,0.007915346044842448,0.8391608391608391
12,1,1,23.0,0.0,0.007915346044842448,0.8391608391608391
13,1,1,29.0,1.0,0.016239357507282764,1.3726646109196443
14,1,1,20.0,1.0,0.01420006851661528,1.7246879334257976
15,1,1,23.0,0.0,0.007915346044842448,0.8391608391608391
16,1,1,19.0,0.0,0.0067629349757603995,0.8633093525179857
17,1,1,29.0,0.0,0.00952794811130961,0.8053691275167786
18,1,1,31.0,0.0,0.010037003509774961,0.7947019867549668
19,1,1,52.0,22.0,0.14257431264290893,6.78176673445928
20,1,1,20.0,0.0,0.007057211373758136,0.8571428571428571
21,1,1,26.0,0.0,0.008738214907526035,0.821917808219178
22,1,1,23.0,0.0,0.007915346044842448,0.8391608391608391
23,1,1,26.0,1.0,0.015587529976019185,1.4661654135338344
24,1,1,28.0,0.0,0.00926826106682222,0.810810810810811
25,1,1,25.0,0.0,0.008467708591747293,0.8275862068965517
26,1,1,21.0,1.0,0.014439512220011223,1.6725768321513
27,1,1,19.0,0.0,0.0067629349757603995,0.8633093525179857
28,1,1,18.0,1.0,0.013710770514023564,1.844319775596073
29,1,1,26.0,4.0,0.036135475181498636,3.398908229477804
30,1,1,29.0,0.0,0.00952794811130961,0.8053691275167786
31,1,1,15.0,0.0,0.005542232880362377,0.888888888888889
32,1,1,25.0,0.0,0.008467708591747293,0.8275862068965517
33,1,1,21.0,0.0,0.007347313638450942,0.851063829787234
34,1,1,27.0,0.0,0.00900504086526697,0.8163265306122448
35,1,1,24.0,0.0,0.008193445243804958,0.8333333333333334
36,1,1,34.0,0.0,0.01077579494845682,0.7792207792207793
37,1,1,18.0,0.0,0.006464393702429361,0.8695652173913043
38,1,1,29.0,0.0,0.00952794811130961,0.8053691275167786
39,1,1,29.0,0.0,0.00952794811130961,0.8053691275167786
40,1,1,20.0,0.0,0.007057211373758136,0.8571428571428571
41,1,1,20.0,0.0,0.007057211373758136,0.8571428571428571
42,1,1,22.0,0.0,0.007633329955753708,0.8450704225352113
43,1,1,23.0,0.0,0.007915346044842448,0.8391608391608391
44,1,1,22.0,1.0,0.01467558347688047,1.6247039760688022
45,1,1,22.0,0.0,0.007633329955753708,0.8450704225352113
46,1,1,24.0,0.0,0.008193445243804958,0.8333333333333334
47,1,1,30.0,0.0,0.009784172661870504,0.8
48,1,1,26.0,0.0,0.008738214907526035,0.821917808219178
49,1,1,26.0,0.0,0.008738214907526035,0.821917808219178
50,1,1,26.0,1.0,0.015587529976019185,1.4661654135338344
51,1,1,24.0,0.0,0.008193445243804958,0.8333333333333334
52,1,1,26.0,4.0,0.036135475181498636,3.398908229477804
53,1,1,23.0,0.0,0.007915346044842448,0.8391608391608391
54,1,1,32.0,1.0,0.01686545500441752,1.2943978043267679
55,1,1,26.0,0.0,0.008738214907526035,0.821917808219178
56,1,1,17.0,0.0,0.0061614941623343664,0.8759124087591241
57,1,1,31.0,0.0,0.010037003509774961,0.7947019867549668
58,1,1,20.0,0.0,0.007057211373758136,0.8571428571428571
59,1,1,27.0,1.0,0.015807761953702343,1.4330079858030167
60,1,1,25.0,0.0,0.008467708591747293,0.8275862068965517
61,1,1,27.0,0.0,0.00900504086526697,0.8163265306122448
62,1,1,25.0,0.0,0.008467708591747293,0.8275862068965517
63,1,1,20.0,1.0,0.01420006851661528,1.7246879334257976
64,1,1,31.0,1.0,0.01665952006606635,1.3190544052309496
65,1,1,32.0,1.0,0.01686545500441752,1.2943978043267679
66,1,1,25.0,4.0,0.03605391548829902,3.523706896551724
67,1,1,29.0,0.0,0.00952794811130961,0.8053691275167786
68,1,1,31.0,0.0,0.010037003509774961,0.7947019867549668
69,1,1,33.0,4.0,0.03667654112004515,2.7310924369747904
70,1,1,30.0,1.0,0.016450839328537168,1.3450980392156862
71,1,1,25.0,0.0,0.008467708591747293,0.8275862068965517
72,1,1,16.0,1.0,0.013207081393708561,1.9906094968107721
73,1,1,15.0,0.0,0.005542232880362377,0.888888888888889
74,1,1,16.0,0.0,0.005854140217237975,0.8823529411764706
75,1,1,25.0,4.0,0.03605391548829902,3.523706896551724
76,1,1,27.0,1.0,0.015807761953702343,1.4330079858030167
77,1,1,28.0,0.0,0.00926826106682222,0.810810810810811
78,1,1,24.0,0.0,0.008193445243804958,0.8333333333333334
79,1,1,37.0,2.0,0.024225205822603065,1.6120070470253423
80,1,1,33.0,1.0,0.01706869798279024,1.2710084033613445
81,1,1,20.0,0.0,0.007057211373758136,0.8571428571428571
82,1,1,26.0,0.0,0.008738214907526035,0.821917808219178
83,1,1,25.0,0.0,0.008467708591747293,0.8275862068965517
84,1,1,12.0,1.0,0.012153913233049922,2.4134199134199132
85,1,1,19.0,0.0,0.0067629349757603995,0.8633093525179857
86,1,1,23.0,0.0,0.007915346044842448,0.8391608391608391
87,1,1,19.0,1.0,0.013957179580076945,1.781676699456761
88,1,1,25.0,0.0,0.008467708591747293,0.8275862068965517
89,1,1,24.0,1.0,0.015137889688249402,1.5396341463414633
90,1,1,19.0,0.0,0.007107982678605317,0.8633093525179856
91,1,1,22.0,0.0,0.007633329955753708,0.8450704225352113
92,1,1,24.0,0.0,0.008193445243804958,0.8333333333333334
93,1,1,26.0,0.0,0.008738214907526035,0.821917808219178
94,1,1,25.0,1.0,0.015364260315885225,1.501616379310345
95,1,1,21.0,1.0,0.014439512220011223,1.6725768321513
96,1,1,29.0,1.0,0.016239357507282764,1.3726646109196443
97,1,1,25.0,0.0,0.008467708591747293,0.8275862068965517
98,1,1,20.0,0.0,0.007057211373758136,0.8571428571428571
99,1,1,16.0,0.0,0.005854140217237975,0.8823529411764706
0,2,0,2416.0,24.0,0.0099289653450741,1.0098484265599754
1,2,0,2415.0,22.0,0.009162847237003297,0.8955251479289941
2,2,0,2422.0,18.0,0.0074319773135071805,0.9997208192685465
3,2,0,2418.0,22.0,0.009095324213442484,1.0069248310634111
4,2,0,2410.0,28.0,0.011647282964142521,0.9523366658916532
5,2,0,2416.0,23.0,0.009534643578512584,0.9697430176194505
6,2,0,2423.0,17.0,0.007016958199071888,0.9975243985271512
7,2,0,2424.0,16.0,0.0066022653575253,0.9951125255739939
8,2,0,2420.0,20.0,0.008262995902490607,1.0035929974772573
9,2,0,2406.0,30.0,0.012533441180547248,0.9063199373910177
10,2,0,2422.0,18.0,0.0074319773135071805,0.9997208192685465
11,2,0,2417.0,23.0,0.00951198048262218,1.008431151166131
12,2,0,2417.0,23.0,0.00951198048262218,1.008431151166131
13,2,0,2411.0,28.0,0.011623731437607716,0.9825194613815711
14,2,0,2420.0,20.0,0.008262995902490607,1.0035929974772573
15,2,0,2417.0,23.0,0.00951198048262218,1.008431151166131
16,2,0,2421.0,19.0,0.007847323086041203,1.0017348143507698
17,2,0,2411.0,28.0,0.011623731437607716,0.9825194613815711
18,2,0,2409.0,31.0,0.012857092736249907,1.0179887982942173
19,2,0,2388.0,31.0,0.013366340420486579,0.6357905652482398
20,2,0,2420.0,20.0,0.008262995902490607,1.0035929974772573
21,2,0,2414.0,26.0,0.010763922405879558,1.0124561601319795
22,2,0,2417.0,23.0,0.00951198048262218,1.008431151166131
23,2,0,2414.0,26.0,0.010763922405879558,1.0124561601319795
24,2,0,2412.0,28.0,0.011600198514174442,1.0148145693169388
25,2,0,2415.0,25.0,0.010346279189666019,1.0111871301775148
26,2,0,2419.0,20.0,0.008285140300520513,0.9596954181436261
27,2,0,2421.0,19.0,0.007847323086041203,1.0017348143507698
28,2,0,2422.0,18.0,0.0074319773135071805,0.9997208192685465
29,2,0,2414.0,22.0,0.00918539044060726,0.8639792061052393
30,2,0,2411.0,28.0,0.011623731437607716,0.9825194613815711
31,2,0,2425.0,15.0,0.0061878984042628375,0.9924437056067705
32,2,0,2415.0,25.0,0.010346279189666019,1.0111871301775148
33,2,0,2419.0,21.0,0.008678996149279868,1.0053170539582514
34,2,0,2413.0,26.0,0.010787106595812966,0.9778746631421754
35,2,0,2417.0,23.0,0.00953088534296725,0.9693607775652056
36,2,0,2406.0,34.0,0.014116972455289926,1.0208284706108495
37,2,0,2422.0,18.0,0.0074319773135071805,0.9997208192685465
38,2,0,2411.0,29.0,0.012018832188299142,1.015916153213664
39,2,0,2411.0,28.0,0.011623731437607716,0.9825194613815711
40,2,0,2420.0,20.0,0.008262995902490607,1.0035929974772573
41,2,0,2420.0,19.0,0.007869295115089032,0.9557755523278039
42,2,0,2418.0,22.0,0.009095324213442484,1.0069248310634111
43,2,0,2417.0,23.0,0.00951198048262218,1.008431151166131
44,2,0,2418.0,22.0,0.009095324213442484,1.0069248310634111
45,2,0,2418.0,22.0,0.009095324213442484,1.0069248310634111
46,2,0,2416.0,24.0,0.0099289653450741,1.0098484265599754
47,2,0,2410.0,30.0,0.012437796798134615,1.016972797023948
48,2,0,2414.0,26.0,0.010763922405879558,1.0124561601319795
49,2,0,2414.0,26.0,0.010763922405879558,1.0124561601319795
50,2,0,2414.0,26.0,0.010763922405879558,1.0124561601319795
51,2,0,2416.0,24.0,0.0099289653450741,1.0098484265599754
52,2,0,2414.0,23.0,0.009580023431925336,0.9010984446119243
53,2,0,2417.0,23.0,0.00951198048262218,1.008431151166131
54,2,0,2408.0,32.0,0.013276720395835231,1.018967927312262
55,2,0,2414.0,26.0,0.010763922405879558,1.0124561601319795
56,2,0,2423.0,17.0,0.007016958199071888,0.9975243985271512
57,2,0,2409.0,31.0,0.012857092736249907,1.0179887982942173
58,2,0,2420.0,20.0,0.008262995902490607,1.0035929974772573
59,2,0,2413.0,27.0,0.011181895383811388,1.013663125010728
60,2,0,2415.0,25.0,0.010346279189666019,1.0111871301775148
61,2,0,2413.0,27.0,0.011181895383811388,1.013663125010728
62,2,0,2415.0,24.0,0.009951801872111778,0.9726331360946745
63,2,0,2420.0,20.0,0.008262995902490607,1.0035929974772573
64,2,0,2409.0,31.0,0.012857092736249907,1.0179887982942173
65,2,0,2408.0,32.0,0.013276720395835231,1.018967927312262
66,2,0,2415.0,22.0,0.009162847237003297,0.8955251479289941
67,2,0,2411.0,29.0,0.012018832188299142,1.015916153213664
68,2,0,2409.0,31.0,0.012857092736249907,1.0179887982942173
69,2,0,2407.0,30.0,0.012509501698206136,0.931511108598564
70,2,0,2410.0,30.0,0.012437796798134615,1.016972797023948
