number,lag,state,trials,hits,posterior_prob,lift_vs_baseline
0,1,0,3219.0,761.0,0.2382765638619976,0.9999747683646466
1,1,0,3202.0,794.0,0.2383303710199677,1.000129526714758
2,1,0,3204.0,773.0,0.2383069776941587,1.0000397169208306
3,1,0,3222.0,755.0,0.23826689276665095,0.9999467183548382
4,1,0,3197.0,758.0,0.2383006367754098,0.9999838562174415
5,1,0,3208.0,762.0,0.23829109219237193,0.9999897696603304
6,1,0,3225.0,739.0,0.23824725387547238,0.9998768347643365
7,1,0,3210.0,770.0,0.23829660629264285,1.0000212676196338
8,1,0,3207.0,769.0,0.23829929996976348,1.0000200346398243
9,1,0,3212.0,766.0,0.238290158791521,1.000002568345821
10,1,0,3162.0,792.0,0.23837758728264308,1.0001604857572377
11,1,0,3202.0,753.0,0.23828950188294445,0.999958023475396
12,1,0,3163.0,790.0,0.23837436329389078,1.0001511376167556
13,1,0,3170.0,786.0,0.2383617639527691,1.0001275250009043
14,1,0,3198.0,764.0,0.23830538747339947,1.0000079703863138
15,1,0,3240.0,746.0,0.2382357802117134,0.9998913634386822
16,1,0,3186.0,774.0,0.2383301180501288,1.0000616000542282
17,1,0,3240.0,731.0,0.23822082865475794,0.9998286107629236
18,1,0,3209.0,750.0,0.23827790042501976,0.9999385890014869
19,1,0,3178.0,769.0,0.23833497572252177,1.0000485535492791
20,1,0,3203.0,751.0,0.23828627811054415,0.9999486738341907
21,1,0,3217.0,758.0,0.23827603373781767,0.9999641856767496
22,1,0,3177.0,757.0,0.23832424396094543,0.9999993449136393
23,1,0,3193.0,776.0,0.23832449284872198,1.0000630688103935
24,1,0,3219.0,757.0,0.23827257669668275,0.9999580354361222
25,1,0,3209.0,756.0,0.23828388123260819,0.9999636875955672
26,1,0,3206.0,747.0,0.23827860044039603,0.9999289907217058
27,1,0,3220.0,769.0,0.23828330806047324,1.0000072508669913
28,1,0,3276.0,738.0,0.23818352579799373,0.999822482586494
29,1,0,3219.0,774.0,0.2382905147626897,1.0000291368512007
30,1,0,3203.0,747.0,0.23828229088163833,0.9999319417575967
31,1,0,3208.0,761.0,0.2382900953901136,0.9999855865746281
32,1,0,3194.0,776.0,0.2383232626448588,1.000062085494861
33,1,0,3204.0,783.0,0.2383179383847475,1.000081533558443
34,1,0,3254.0,734.0,0.23820659854694762,0.9998273886055017
35,1,0,3193.0,763.0,0.23831054158646092,1.0000087048552628
36,1,0,3186.0,784.0,0.23834107893738343,1.0001034142804661
37,1,0,3251.0,752.0,0.23822922284970072,0.999905632560384
38,1,0,3193.0,771.0,0.2383185161237633,1.0000421679436622
39,1,0,3191.0,764.0,0.2383139987928813,1.0000148546978185
40,1,0,3207.0,766.0,0.23829730218529968,1.0000074720325398
41,1,0,3200.0,760.0,0.23829893987764802,0.9999892715419493
42,1,0,3203.0,770.0,0.2383062100770967,1.0000281377383757
43,1,0,3179.0,788.0,0.2383526852802207,1.0001270414044947
44,1,0,3223.0,756.0,0.2382666594431185,0.9999499181053548
45,1,0,3254.0,733.0,0.2382065943691835,0.9998231920896783
46,1,0,3212.0,773.0,0.23829812899985325,1.0000318368054812
47,1,0,3227.0,741.0,0.23824678726941953,0.9998832339603492
48,1,0,3225.0,748.0,0.2382562249437771,0.9999144845724038
49,1,0,3136.0,791.0,0.23840857893476847,1.0001818666958304
50,1,0,3239.0,732.0,0.2382230554715684,0.9998337780805393
51,1,0,3262.0,741.0,0.23820373576342765,0.9998488053101957
52,1,0,3167.0,747.0,0.23832657789821998,0.9999673556416147
53,1,0,3233.0,752.0,0.23825136394908342,0.999923336181784
