mode,pair_id,pair_kind,a,b,history_start,history_end,history_days,a_hit_days,b_hit_days,pair_any_hit_days,pair_both_hit_days,pair_xor_hit_days,a_rate_all,b_rate_all,member_rate_gap_all,pair_any_rate_all,pair_both_rate_all,jaccard,phi,gap_a,gap_b,gap_pair,a_rate_30d,b_rate_30d,pair_any_rate_30d,pair_both_rate_30d,member_rate_gap_30d,member_balance_30d,a_rate_90d,b_rate_90d,pair_any_rate_90d,pair_both_rate_90d,member_rate_gap_90d,member_balance_90d,a_rate_365d,b_rate_365d,pair_any_rate_365d,pair_both_rate_365d,member_rate_gap_365d,member_balance_365d
loto,00-55,kep_bong,00,55,2015-01-01,2026-09-26,4217,991,985,1768,208,1560,0.23500118567702158,0.2335783732511264,0.0014228124258951758,0.4192553948304482,0.04932416409769979,0.11764705882352941,-0.031031874320219217,4,2,2,0.2,0.16666666666666666,0.36666666666666664,0.0,0.033333333333333354,0.8333333333333333,0.24444444444444444,0.17777777777777778,0.4111111111111111,0.011111111111111112,0.06666666666666665,0.7272727272727273,0.2054794520547945,0.19452054794520549,0.37534246575342467,0.024657534246575342,0.010958904109589024,0.9466666666666668
loto,11-66,kep_bong,11,66,2015-01-01,2026-09-26,4217,1008,1022,1802,228,1574,0.23903248755039128,0.24235238321081337,0.0033198956604220953,0.42731799857718755,0.054066872184017074,0.12652608213096558,-0.021138819640724456,2,0,0,0.3,0.23333333333333334,0.43333333333333335,0.1,0.06666666666666665,0.7777777777777778,0.2777777777777778,0.2111111111111111,0.4222222222222222,0.06666666666666667,0.06666666666666668,0.76,0.23013698630136986,0.21643835616438356,0.3972602739726027,0.049315068493150684,0.0136986301369863,0.9404761904761905
loto,22-77,kep_bong,22,77,2015-01-01,2026-09-26,4217,1034,1008,1808,234,1574,0.24519800806260375,0.23903248755039128,0.0061655205122124745,0.42874081100308276,0.05548968460991226,0.12942477876106195,-0.0170079635539197,0,0,0,0.3,0.4666666666666667,0.6666666666666666,0.1,0.16666666666666669,0.6428571428571428,0.24444444444444444,0.3333333333333333,0.5222222222222223,0.05555555555555555,0.08888888888888888,0.7333333333333334,0.2328767123287671,0.27123287671232876,0.4547945205479452,0.049315068493150684,0.03835616438356165,0.8585858585858586
loto,33-88,kep_bong,33,88,2015-01-01,2026-09-26,4217,1007,1023,1774,256,1518,0.23879535214607542,0.24258951861512923,0.0037941664690538113,0.42067820725634336,0.06070666350486128,0.14430665163472378,0.015197609983186639,0,3,0,0.23333333333333334,0.23333333333333334,0.43333333333333335,0.03333333333333333,0.0,1.0,0.26666666666666666,0.2222222222222222,0.43333333333333335,0.05555555555555555,0.04444444444444445,0.8333333333333333,0.2410958904109589,0.24383561643835616,0.4273972602739726,0.057534246575342465,0.002739726027397249,0.9887640449438203
loto,44-99,kep_bong,44,99,2015-01-01,2026-09-26,4217,988,982,1744,226,1518,0.23428977946407398,0.2328669670381788,0.0014228124258951758,0.41356414512686746,0.053592601375385344,0.12958715596330275,-0.005394684831184186,1,1,1,0.36666666666666664,0.43333333333333335,0.7,0.1,0.06666666666666671,0.846153846153846,0.23333333333333334,0.3,0.5,0.03333333333333333,0.06666666666666665,0.7777777777777778,0.2410958904109589,0.23835616438356164,0.4410958904109589,0.038356164383561646,0.0027397260273972768,0.9886363636363635
loto,01-10,reverse,01,10,2015-01-01,2026-09-26,4217,1006,1046,1829,223,1606,0.23855821674175953,0.24804363291439413,0.009485416172634598,0.4337206544937159,0.05288119516243775,0.12192454893384364,-0.03418131446488507,14,15,14,0.1,0.2,0.3,0.0,0.1,0.5,0.14444444444444443,0.24444444444444444,0.36666666666666664,0.022222222222222223,0.1,0.5909090909090908,0.22465753424657534,0.2356164383561644,0.410958904109589,0.049315068493150684,0.010958904109589052,0.9534883720930232
loto,02-20,reverse,02,20,2015-01-01,2026-09-26,4217,1005,1007,1782,230,1552,0.23832108133744367,0.23879535214607542,0.00047427080863174376,0.4225752904908703,0.054541142992648804,0.12906846240179573,-0.0130407287990647,1,2,1,0.2,0.26666666666666666,0.4666666666666667,0.0,0.06666666666666665,0.75,0.2222222222222222,0.24444444444444444,0.4222222222222222,0.044444444444444446,0.022222222222222227,0.9090909090909091,0.2273972602739726,0.20821917808219179,0.3863013698630137,0.049315068493150684,0.019178082191780826,0.9156626506024096
loto,03-30,reverse,03,30,2015-01-01,2026-09-26,4217,988,1007,1745,250,1495,0.23428977946407398,0.23879535214607542,0.004505572682001441,0.4138012805311833,0.05928385107896609,0.14326647564469913,0.018476677605636208,2,1,1,0.23333333333333334,0.16666666666666666,0.4,0.0,0.06666666666666668,0.7142857142857142,0.2222222222222222,0.16666666666666666,0.35555555555555557,0.03333333333333333,0.05555555555555555,0.75,0.23013698630136986,0.21643835616438356,0.40273972602739727,0.043835616438356165,0.0136986301369863,0.9404761904761905
loto,04-40,reverse,04,40,2015-01-01,2026-09-26,4217,1013,1004,1778,239,1539,0.2402181645719706,0.23808394593312782,0.0021342186388427775,0.42162674887360685,0.05667536163149158,0.1344206974128234,-0.0028398477414793943,2,2,2,0.23333333333333334,0.26666666666666666,0.4666666666666667,0.03333333333333333,0.033333333333333326,0.875,0.24444444444444444,0.25555555555555554,0.4666666666666667,0.03333333333333333,0.0111111111111111,0.9565217391304348,0.2136986301369863,0.23013698630136986,0.40273972602739727,0.0410958904109589,0.01643835616438355,0.9285714285714286
loto,05-50,reverse,05,50,2015-01-01,2026-09-26,4217,1000,972,1760,212,1548,0.23713540431586436,0.23049561299502017,0.0066397913208441905,0.4173583115959213,0.05027270571496324,0.12045454545454545,-0.02448535004553302,13,1,1,0.13333333333333333,0.3,0.43333333333333335,0.0,0.16666666666666666,0.4444444444444444,0.2111111111111111,0.3333333333333333,0.4888888888888889,0.05555555555555555,0.1222222222222222,0.6333333333333333,0.2328767123287671,0.25205479452054796,0.4328767123287671,0.052054794520547946,0.019178082191780854,0.9239130434782608
