x,y,count,pair,pair_kind,canonical_pair_key,a_str,b_str,reverse_related,bong_duong_related,bong_am_related,cap_loto_50_related,cap_loto_50_id,cap_loto_50_kind,bo_family_id_a,bo_family_id_b,same_bo_family,relation_tags
10,13,171,10-13,same_draw_cooccurrence,10-13,10,13,False,False,False,False,,,01,13,False,
23,92,165,23-92,same_draw_cooccurrence,23-92,23,92,False,False,False,False,,,23,24,False,
13,36,165,13-36,same_draw_cooccurrence,13-36,13,36,False,False,False,False,,,13,13,True,same_bo_family
61,62,165,61-62,same_draw_cooccurrence,61-62,61,62,False,False,False,False,,,11,12,False,
18,32,164,18-32,same_draw_cooccurrence,18-32,18,32,False,False,False,False,,,13,23,False,
10,49,164,10-49,same_draw_cooccurrence,10-49,10,49,False,False,False,False,,,01,44,False,
49,66,164,49-66,same_draw_cooccurrence,49-66,49,66,False,False,False,False,,,44,11,False,
43,68,164,43-68,same_draw_cooccurrence,43-68,43,68,False,False,False,False,,,34,13,False,
49,79,164,49-79,same_draw_cooccurrence,49-79,49,79,False,False,False,False,,,44,24,False,
13,74,163,13-74,same_draw_cooccurrence,13-74,13,74,False,False,False,False,,,13,24,False,
6,90,163,06-90,same_draw_cooccurrence,06-90,06,90,False,False,False,False,,,01,04,False,
13,77,163,13-77,same_draw_cooccurrence,13-77,13,77,False,False,False,False,,,13,22,False,
68,97,163,68-97,same_draw_cooccurrence,68-97,68,97,False,False,False,False,,,13,24,False,
40,88,163,40-88,same_draw_cooccurrence,40-88,40,88,False,False,False,False,,,04,33,False,
13,95,163,13-95,same_draw_cooccurrence,13-95,13,95,False,False,False,False,,,13,04,False,
19,92,163,19-92,same_draw_cooccurrence,19-92,19,92,False,False,False,False,,,14,24,False,
13,67,162,13-67,same_draw_cooccurrence,13-67,13,67,False,False,False,False,,,13,12,False,
32,61,162,32-61,same_draw_cooccurrence,32-61,32,61,False,False,False,False,,,23,11,False,
91,96,162,91-96,same_draw_cooccurrence,91-96,91,96,False,False,False,False,,,14,14,True,same_bo_family
6,95,162,06-95,same_draw_cooccurrence,06-95,06,95,False,False,False,False,,,01,04,False,
46,49,162,46-49,same_draw_cooccurrence,46-49,46,49,False,False,False,False,,,14,44,False,
6,36,162,06-36,same_draw_cooccurrence,06-36,06,36,False,False,False,False,,,01,13,False,
9,43,162,09-43,same_draw_cooccurrence,09-43,09,43,False,False,False,False,,,04,34,False,
12,68,162,12-68,same_draw_cooccurrence,12-68,12,68,False,False,False,False,,,12,13,False,
64,88,161,64-88,same_draw_cooccurrence,64-88,64,88,False,False,False,False,,,14,33,False,
46,81,161,46-81,same_draw_cooccurrence,46-81,46,81,False,False,False,False,,,14,13,False,
13,60,161,13-60,same_draw_cooccurrence,13-60,13,60,False,False,False,False,,,13,01,False,
60,68,161,60-68,same_draw_cooccurrence,60-68,60,68,False,False,False,False,,,01,13,False,
54,92,161,54-92,same_draw_cooccurrence,54-92,54,92,False,False,False,False,,,04,24,False,
62,70,161,62-70,same_draw_cooccurrence,62-70,62,70,False,False,False,False,,,12,02,False,
1,18,161,01-18,same_draw_cooccurrence,01-18,01,18,False,False,False,False,,,01,13,False,
16,42,160,16-42,same_draw_cooccurrence,16-42,16,42,False,False,False,False,,,11,24,False,
67,96,160,67-96,same_draw_cooccurrence,67-96,67,96,False,False,False,False,,,12,14,False,
32,54,159,32-54,same_draw_cooccurrence,32-54,32,54,False,False,False,False,,,23,04,False,
70,94,159,70-94,same_draw_cooccurrence,70-94,70,94,False,False,False,False,,,02,44,False,
