number,prob,support_paths_count
58,0.04640461527895434,2
19,0.04569305858639705,2
96,0.039450670467059745,2
27,0.03941054682742662,2
81,0.039315740875735083,2
46,0.039306581679463104,2
75,0.03847661819218695,2
25,0.03786231884057978,2
71,0.03695287026973615,2
65,0.033111867336466316,2
12,0.029154518950437303,1
31,0.028818443804034533,1
33,0.026162790697674465,1
55,0.02571428571428569,1
87,0.025352112676056304,1
98,0.025352112676056304,1
49,0.025139664804469275,1
18,0.02359882005899705,1
93,0.02359882005899705,1
24,0.023188405797101463,1
64,0.022922636103151817,1
85,0.02285714285714291,1
90,0.02216066481994461,1
70,0.020710059171597628,1
40,0.020648967551622377,1
21,0.020289855072463725,1
2,0.019886363636363646,1
43,0.019718309859154903,1
51,0.019553072625698276,1
89,0.01939058171745156,1
