number,prob,support_paths_count
0,1.0,1698
1,1.0,1879
2,1.0,1628
3,1.0,1949
4,1.0,1690
5,1.0,1880
6,1.0,1849
7,1.0,1699
8,1.0,1742
9,1.0,1544
10,1.0,1562
11,1.0,1622
12,1.0,1542
13,1.0,1810
14,1.0,1563
15,1.0,1726
16,1.0,1745
17,1.0,1516
18,1.0,1570
19,1.0,1421
20,1.0,1592
21,1.0,1695
22,1.0,1457
23,1.0,1700
24,1.0,1544
25,1.0,1733
26,1.0,1718
27,1.0,1512
28,1.0,1541
29,1.0,1427
30,1.0,1635
31,1.0,1867
32,1.0,1668
33,1.0,1976
34,1.0,1716
35,1.0,2030
36,1.0,1854
37,1.0,1714
38,1.0,1740
39,1.0,1587
40,1.0,1575
41,1.0,1763
42,1.0,1564
43,1.0,1852
44,1.0,1670
45,1.0,1815
46,1.0,1674
47,1.0,1583
48,1.0,1597
49,1.0,1545
50,1.0,1808
51,1.0,1878
52,1.0,1716
53,1.0,1958
54,1.0,1738
55,1.0,1907
56,1.0,1880
57,1.0,1658
58,1.0,1701
59,1.0,1565
60,1.0,1459
61,1.0,1563
62,1.0,1436
63,1.0,1680
64,1.0,1481
65,1.0,1581
66,1.0,1556
67,1.0,1449
68,1.0,1422
69,1.0,1318
70,1.0,1595
71,1.0,1747
72,1.0,1592
73,1.0,1835
74,1.0,1702
75,1.0,1880
76,1.0,1760
77,1.0,1581
78,1.0,1663
79,1.0,1552
80,1.0,1679
81,1.0,1883
82,1.0,1727
83,1.0,1899
84,1.0,1732
85,1.0,1896
86,1.0,1865
87,1.0,1729
88,1.0,1706
89,1.0,1601
90,1.0,1376
91,1.0,1547
92,1.0,1385
93,1.0,1589
94,1.0,1401
95,1.0,1606
96,1.0,1512
97,1.0,1429
98,1.0,1434
99,1.0,1254
