number,prob,support_paths_count,evidence_weight
42,0.2711650352796252,90,74.10248333982581
25,0.2710658411801622,60,49.47507557035887
82,0.2709175203821734,101,83.29399168043305
77,0.27037597618685816,87,71.70080598500846
5,0.2701930345666901,93,76.63401222524715
86,0.2700191692174551,77,63.257610122148066
69,0.26997510608541725,122,100.74254437134755
41,0.2698287371863246,71,58.57622879534059
54,0.26964777690273495,89,73.65303941372593
70,0.269561364315451,69,56.786750938089284
23,0.2694769997071735,76,62.42691653165632
84,0.26932078587880254,98,80.62114513023764
48,0.26915178499297665,83,68.27851334320894
76,0.26912579656283253,92,75.938674421402
91,0.26895399115917823,81,66.6584992975015
58,0.26892251664041805,78,64.50686175978954
0,0.26886684276642225,109,89.73641816711621
59,0.26883477446604365,85,70.17913529498755
12,0.26870125896973157,107,87.68176052294237
87,0.2686821304004526,78,64.53582428033606
2,0.2684734022080195,82,67.51957079546636
10,0.2684409875411287,112,92.02966995275736
50,0.2684196901222809,93,76.49969161046013
90,0.26839982601178736,99,81.5837829411929
75,0.26828011191093226,77,63.42510572922936
85,0.2682743510988309,70,57.925884891052796
6,0.2681596881193636,104,85.72333150227885
88,0.26807892776635717,76,62.68976639136472
4,0.26805849362511347,99,81.56753955471909
55,0.26797734591858247,81,66.85344203201419
