lag,pos_i,pos_j,i,j,p_mean,hits,trials,current_streak,max_streak,special_touch,special_both,next_day_pred,2026-08-09_num,2026-08-09_hit,2026-08-09_is_de,2026-08-10_num,2026-08-10_hit,2026-08-10_is_de,2026-08-11_num,2026-08-11_hit,2026-08-11_is_de
2,prize3_4.d1,prize6_1.d0,36,90,0.3011049723756906,108,360,3,4,0,0,40,41,1,0,84,1,0,24,1,0
2,prize3_1.d2,prize3_2.d4,22,29,0.2983425414364641,107,360,3,3,0,0,53,86,1,0,63,1,0,26,1,0
2,prize1.d2,prize3_3.d3,7,33,0.292817679558011,105,360,3,4,0,0,55,61,1,0,32,1,0,72,1,0
1,prize3_1.d3,prize4_2.d2,23,56,0.2892561983471074,104,361,4,5,0,0,49,16,1,0,14,1,0,91,1,1
1,prize4_3.d2,prize5_1.d1,60,67,0.2892561983471074,104,361,3,5,0,0,02,86,1,0,63,1,0,87,1,0
2,prize3_2.d3,prize3_3.d1,28,31,0.287292817679558,103,360,3,4,0,0,54,41,1,0,69,1,0,86,1,0
3,prize3_6.d0,prize5_3.d1,45,75,0.2853185595567867,102,359,4,4,0,0,38,17,1,0,83,1,0,20,1,0
2,prize3_1.d0,prize5_4.d0,20,78,0.2845303867403315,102,360,3,6,0,0,08,86,1,0,57,1,1,05,1,0
3,prize3_1.d4,prize5_6.d3,24,89,0.28254847645429365,101,359,3,3,0,0,73,10,1,0,78,1,0,82,1,0
1,prize1.d0,prize3_2.d1,5,26,0.2809917355371901,101,361,3,3,0,0,66,34,1,0,32,1,0,05,1,0
3,prize3_1.d0,prize3_3.d2,20,32,0.27977839335180055,100,359,3,4,0,0,03,50,1,0,89,1,0,51,1,0
2,prize3_5.d4,prize6_3.d0,44,96,0.27900552486187846,100,360,3,4,0,0,41,29,1,0,34,1,0,49,1,0
1,prize3_2.d4,prize4_4.d2,29,64,0.27823691460055094,100,361,3,5,0,0,37,34,1,0,69,1,0,36,1,0
1,prize3_3.d2,prize6_2.d2,32,95,0.27823691460055094,100,361,3,5,0,0,84,12,1,0,31,1,0,82,1,0
3,prize4_1.d0,prize5_1.d2,50,68,0.2770083102493075,99,359,3,5,0,0,47,21,1,1,34,1,0,69,1,0
1,special.d0,prize6_2.d1,0,94,0.27548209366391185,99,361,3,8,1,0,92,04,1,0,14,1,0,92,1,0
1,prize2_2.d2,prize3_2.d1,17,26,0.27548209366391185,99,361,3,3,0,0,66,14,1,0,32,1,0,05,1,0
3,special.d1,prize2_2.d4,1,19,0.2742382271468144,98,359,4,4,1,0,27,61,1,0,63,1,0,49,1,0
2,prize3_1.d4,prize3_2.d2,24,27,0.27348066298342544,98,360,4,4,0,0,38,77,1,0,89,1,0,72,1,0
2,prize3_5.d0,prize5_2.d2,40,72,0.27348066298342544,98,360,4,4,0,0,39,42,1,0,50,1,0,96,1,0
2,prize5_3.d2,prize6_2.d2,76,95,0.27348066298342544,98,360,3,5,0,0,12,22,1,0,22,1,0,91,1,1
1,prize3_3.d1,prize5_1.d0,31,66,0.2727272727272727,98,361,3,4,0,0,63,97,1,0,63,1,0,40,1,0
2,prize4_2.d1,prize6_1.d1,55,91,0.27071823204419887,97,360,6,6,0,0,53,21,1,1,83,1,0,76,1,0
1,prize2_1.d1,prize5_1.d0,11,66,0.2699724517906336,97,361,3,5,0,0,83,17,1,0,53,1,0,50,1,0
1,prize5_2.d2,prize6_3.d0,72,96,0.2699724517906336,97,361,3,4,0,0,67,04,1,0,69,1,0,91,1,1
