lag,pos_i,pos_j,i,j,p_mean,hits,trials,current_streak,max_streak,special_touch,special_both,next_day_pred,2026-08-07_num,2026-08-07_hit,2026-08-07_is_de,2026-08-08_num,2026-08-08_hit,2026-08-08_is_de,2026-08-09_num,2026-08-09_hit,2026-08-09_is_de,2026-08-10_num,2026-08-10_hit,2026-08-10_is_de,2026-08-11_num,2026-08-11_hit,2026-08-11_is_de
13,prize2_2.d3,prize5_5.d3,18,85,0.3162393162393162,110,349,4,4,0,0,45,61,0,0,00,1,0,41,1,0,31,1,0,05,1,0
5,prize3_3.d2,prize5_2.d2,32,72,0.3147632311977716,112,357,3,4,0,0,92,21,0,0,30,0,0,67,1,0,89,1,0,00,1,0
11,prize3_2.d1,prize4_2.d2,26,56,0.31444759206798867,110,351,6,6,0,0,66,32,1,0,90,1,0,10,1,0,02,1,0,05,1,0
25,prize4_4.d2,prize6_1.d1,64,91,0.30973451327433627,104,337,4,4,0,0,93,58,0,0,17,1,0,17,1,0,52,1,0,82,1,0
25,special.d0,prize4_2.d3,0,57,0.30973451327433627,104,337,3,4,1,0,24,72,0,0,57,0,0,34,1,0,93,1,0,49,1,0
27,prize3_2.d0,prize5_4.d2,25,80,0.3086053412462908,103,335,3,6,0,0,33,28,0,0,67,0,0,61,1,0,14,1,0,50,1,0
30,prize3_2.d1,prize5_5.d0,26,82,0.3083832335329341,102,332,4,4,0,0,50,45,0,0,00,1,0,79,1,0,89,1,0,49,1,0
26,prize5_2.d3,prize6_1.d1,73,91,0.3076923076923077,103,336,3,4,0,0,82,95,0,0,58,0,0,27,1,0,57,1,1,72,1,0
10,prize5_6.d2,prize6_2.d0,88,93,0.3050847457627119,107,352,5,5,0,0,57,94,1,0,78,1,0,16,1,0,31,1,0,50,1,0
16,prize1.d0,prize3_1.d1,5,21,0.3045977011494253,105,346,3,5,0,0,96,31,0,0,61,0,0,68,1,0,17,1,0,86,1,0
28,prize1.d4,prize5_6.d3,9,89,0.30357142857142855,101,334,3,3,0,0,28,04,0,0,10,0,0,67,1,0,63,1,0,49,1,0
8,prize3_4.d0,prize5_2.d0,35,70,0.30337078651685395,107,354,3,6,0,0,50,55,0,0,91,0,0,21,1,1,83,1,0,86,1,0
24,prize5_2.d2,prize5_3.d1,72,75,0.3029411764705882,102,338,5,5,0,0,71,80,1,0,95,1,0,86,1,0,57,1,1,87,1,0
30,prize5_6.d1,prize7_2.d0,87,101,0.3023952095808383,100,332,3,6,0,0,57,10,0,0,30,0,0,12,1,0,22,1,0,63,1,0
6,prize6_1.d2,prize7_1.d0,92,99,0.3016759776536313,107,356,4,4,0,0,33,25,0,0,25,1,0,50,1,0,57,1,1,87,1,0
2,prize3_4.d1,prize6_1.d0,36,90,0.3011049723756906,108,360,3,4,0,0,40,14,0,0,01,0,0,41,1,0,84,1,0,24,1,0
28,prize5_5.d2,prize6_2.d0,84,93,0.3005952380952381,100,334,3,4,0,0,70,24,0,0,47,0,0,14,1,0,02,1,0,86,1,0
10,prize3_1.d4,prize3_4.d4,24,39,0.2994350282485876,105,352,3,5,0,0,43,37,0,0,10,0,0,50,1,0,84,1,0,20,1,0
30,prize5_4.d0,prize6_2.d1,78,94,0.2994011976047904,99,332,5,6,0,0,06,80,1,0,42,1,0,10,1,0,83,1,0,26,1,0
13,prize4_4.d1,prize5_5.d0,63,82,0.29914529914529914,104,349,3,4,0,0,91,09,1,0,12,0,0,12,1,0,78,1,0,86,1,0
16,prize3_3.d0,prize5_3.d0,30,74,0.2988505747126437,103,346,3,5,0,0,57,41,0,0,43,0,0,49,1,0,95,1,0,76,1,0
26,prize5_5.d3,prize7_2.d1,85,102,0.2988165680473373,100,336,3,4,0,0,53,74,0,0,16,0,0,99,1,0,03,1,0,40,1,0
2,prize3_1.d2,prize3_2.d4,22,29,0.2983425414364641,107,360,3,3,0,0,53,91,0,0,67,0,0,86,1,0,63,1,0,26,1,0
12,prize3_3.d3,prize4_2.d0,33,54,0.29829545454545453,104,350,4,6,0,0,28,92,0,0,63,1,0,42,1,0,31,1,0,20,1,0
14,prize1.d1,prize5_2.d3,6,73,0.29714285714285715,103,348,3,3,0,0,57,43,1,0,38,0,0,99,1,0,04,1,0,24,1,0
17,prize3_2.d2,prize4_3.d1,27,59,0.2968299711815562,102,345,3,4,0,0,37,28,0,0,93,0,0,61,1,0,03,1,0,82,1,0
10,prize2_1.d3,prize7_3.d1,13,104,0.2966101694915254,104,352,3,5,0,0,31,46,1,0,68,0,0,16,1,0,34,1,0,82,1,0
20,prize3_2.d3,prize7_4.d0,28,105,0.29651162790697677,101,342,3,3,0,0,09,66,0,0,38,0,0,86,1,0,50,1,0,49,1,0
30,prize3_5.d1,prize6_2.d1,41,94,0.2964071856287425,98,332,3,4,0,0,56,00,0,0,52,0,0,10,1,0,53,1,0,76,1,0
23,prize3_3.d2,prize4_2.d3,32,57,0.2961876832844575,100,339,3,4,0,0,14,34,0,0,33,0,0,99,1,0,34,1,0,00,1,0
26,prize1.d2,prize6_2.d1,7,94,0.2958579881656805,99,336,3,5,0,0,05,96,0,0,96,0,0,41,1,0,78,1,0,26,1,0
22,special.d4,prize5_4.d2,4,80,0.2953216374269006,100,340,3,3,1,0,08,33,0,0,92,0,0,04,1,0,83,1,0,87,1,0
