lag,pos_i,pos_j,i,j,p_mean,hits,trials,current_streak,max_streak,special_touch,special_both,next_day_pred,2026-08-23_num,2026-08-23_hit,2026-08-23_is_de,2026-08-24_num,2026-08-24_hit,2026-08-24_is_de,2026-08-25_num,2026-08-25_hit,2026-08-25_is_de,2026-08-26_num,2026-08-26_hit,2026-08-26_is_de,2026-08-27_num,2026-08-27_hit,2026-08-27_is_de,2026-08-28_num,2026-08-28_hit,2026-08-28_is_de,2026-08-29_num,2026-08-29_hit,2026-08-29_is_de,2026-08-30_num,2026-08-30_hit,2026-08-30_is_de,2026-08-31_num,2026-08-31_hit,2026-08-31_is_de,2026-09-01_num,2026-09-01_hit,2026-09-01_is_de
12,prize2_1.d3,prize5_2.d1,13,71,0.32625994694960214,122,375,3,5,0,0,01,31,1,0,91,0,0,45,1,0,95,0,0,25,0,0,14,0,0,16,0,0,66,1,0,69,1,0,64,1,0
20,prize4_1.d1,prize4_2.d3,51,57,0.3143631436314363,115,367,3,4,0,0,37,75,0,0,74,0,0,32,1,0,60,0,0,07,0,0,82,1,0,32,0,0,07,1,0,16,1,0,12,1,0
7,prize2_1.d3,prize4_1.d0,13,50,0.31413612565445026,119,380,3,4,0,0,07,19,0,0,18,1,0,66,0,0,65,1,0,64,0,0,08,0,0,87,0,0,21,1,0,26,1,0,84,1,0
21,prize5_6.d0,prize6_2.d2,86,95,0.3125,114,366,3,4,0,0,69,94,0,0,92,0,0,63,0,0,73,0,0,44,0,0,52,0,0,92,0,0,11,1,0,62,1,0,44,1,0
21,prize3_5.d2,prize7_3.d1,42,104,0.30978260869565216,113,366,3,4,0,0,12,21,0,0,09,0,0,44,0,0,15,0,0,55,0,0,64,0,0,20,0,0,39,1,0,34,1,0,80,1,0
30,prize3_5.d0,prize7_3.d1,40,104,0.3064066852367688,109,357,4,4,0,0,99,75,0,0,09,0,0,95,1,0,55,1,0,66,0,0,28,0,0,76,1,0,64,1,0,62,1,0,51,1,0
20,prize3_2.d3,prize6_1.d2,28,92,0.3062330623306233,112,367,4,6,0,0,11,95,0,0,15,0,0,18,1,0,83,1,0,41,0,0,62,0,0,88,1,0,51,1,0,62,1,0,10,1,0
10,prize3_3.d3,prize3_6.d0,33,45,0.30606860158311344,115,377,3,4,0,0,46,24,1,0,26,0,0,17,1,0,11,1,0,48,1,0,72,0,0,59,0,0,52,1,0,84,1,0,84,1,0
13,special.d4,prize5_5.d0,4,82,0.3058510638297872,114,374,3,5,1,0,33,73,0,0,17,1,1,69,0,0,49,0,0,81,1,0,86,0,0,66,0,0,94,1,0,34,1,0,39,1,0
2,special.d2,prize7_4.d0,2,105,0.3049095607235142,117,385,4,6,1,0,62,56,0,0,26,0,0,99,0,0,97,0,0,08,0,0,36,0,0,67,1,0,10,1,0,70,1,0,77,1,0
21,prize3_3.d0,prize3_6.d1,30,46,0.30434782608695654,111,366,4,6,0,0,83,14,1,0,25,0,0,96,0,0,61,1,1,17,1,0,90,0,0,56,1,0,52,1,0,93,1,0,31,1,0
24,prize4_1.d2,prize5_6.d1,52,87,0.3041095890410959,110,363,3,5,0,0,14,86,0,0,57,0,0,35,0,0,94,0,0,12,0,0,20,1,0,99,0,0,53,1,0,16,1,0,52,1,0
17,prize3_1.d1,prize4_4.d2,21,64,0.30376344086021506,112,370,4,4,0,0,31,40,1,0,75,0,0,84,1,0,49,0,0,96,0,0,87,0,0,08,1,0,52,1,0,13,1,0,12,1,0
10,prize3_4.d1,prize4_1.d0,36,50,0.3034300791556728,114,377,3,6,0,0,71,92,0,0,16,1,0,56,0,0,69,1,0,18,1,0,66,0,0,35,0,0,34,1,0,78,1,0,97,1,0
11,prize3_1.d4,prize5_4.d2,24,80,0.30158730158730157,113,376,3,5,0,0,40,50,1,0,16,1,0,42,0,0,64,0,0,93,0,0,00,0,0,39,0,0,13,1,0,29,1,0,96,1,0
27,prize6_1.d2,prize6_3.d1,92,97,0.3011049723756906,108,360,3,4,0,0,38,40,1,0,22,0,0,63,0,0,50,0,0,51,0,0,22,1,0,26,0,0,52,1,0,50,1,0,80,1,0
17,prize4_4.d0,prize7_1.d1,62,100,0.3010752688172043,111,370,4,4,0,0,23,35,0,0,67,1,0,00,0,0,81,0,0,65,0,0,02,0,0,01,1,0,34,1,0,13,1,0,63,1,0
23,prize7_1.d1,prize7_2.d0,100,101,0.3005464480874317,109,364,5,5,0,0,50,59,0,0,68,0,0,28,0,0,46,0,0,88,0,0,51,1,0,56,1,0,78,1,0,07,1,0,17,1,0
9,prize3_4.d0,prize4_1.d0,35,50,0.3,113,378,4,5,0,0,06,86,0,0,46,0,0,19,0,0,08,0,0,56,0,0,75,0,0,34,1,0,78,1,0,07,1,0,51,1,0
12,prize5_4.d2,prize6_3.d0,80,96,0.29973474801061006,112,375,3,3,0,0,65,87,1,0,00,0,0,65,0,0,28,0,0,49,0,0,34,0,0,00,0,0,99,1,0,30,1,0,96,1,0
