lag,pos_i,pos_j,i,j,p_mean,hits,trials,current_streak,max_streak,special_touch,special_both,next_day_pred,2026-07-11_num,2026-07-11_hit,2026-07-11_is_de,2026-07-12_num,2026-07-12_hit,2026-07-12_is_de,2026-07-13_num,2026-07-13_hit,2026-07-13_is_de,2026-07-14_num,2026-07-14_hit,2026-07-14_is_de,2026-07-15_num,2026-07-15_hit,2026-07-15_is_de,2026-07-16_num,2026-07-16_hit,2026-07-16_is_de,2026-07-17_num,2026-07-17_hit,2026-07-17_is_de,2026-07-18_num,2026-07-18_hit,2026-07-18_is_de,2026-07-19_num,2026-07-19_hit,2026-07-19_is_de,2026-07-20_num,2026-07-20_hit,2026-07-20_is_de
30,prize5_4.d3,prize6_1.d0,81,90,0.3592814371257485,119,332,3,6,0,0,15,23,1,0,20,1,0,57,0,0,61,0,0,67,0,0,37,1,0,64,0,0,19,1,0,90,1,0,94,1,0
27,prize1.d0,prize5_6.d0,5,86,0.33827893175074186,113,335,0,4,0,0,37,41,0,0,65,1,0,76,1,0,41,0,0,98,0,0,47,0,0,88,0,0,94,0,0,50,1,0,85,0,0
21,prize4_1.d3,prize6_3.d1,53,97,0.33527696793002915,114,341,1,6,0,0,21,61,1,0,94,1,1,53,1,0,18,0,0,56,0,0,79,1,0,74,0,0,53,1,0,01,0,0,67,1,0
2,prize3_5.d2,prize5_5.d1,42,83,0.3342541436464088,120,360,0,4,0,0,19,20,0,0,17,1,0,86,0,0,78,0,0,00,1,0,89,0,0,71,0,0,09,1,0,10,0,0,20,0,0
25,prize3_5.d3,prize5_4.d1,43,79,0.3333333333333333,112,337,0,6,0,0,80,27,0,0,63,0,0,50,1,0,04,0,0,33,1,0,24,0,0,29,1,0,39,0,0,95,1,0,61,0,0
28,prize3_6.d2,prize7_2.d0,47,101,0.3333333333333333,111,334,0,5,0,0,78,14,1,0,59,1,0,68,1,0,75,1,0,11,1,0,10,0,0,36,0,0,97,0,0,73,0,0,75,0,0
18,prize3_3.d3,prize5_2.d2,33,72,0.33236994219653176,114,344,1,5,0,0,91,96,0,0,65,1,0,02,0,0,93,0,0,81,0,0,45,0,0,26,1,0,28,0,0,35,0,0,39,1,0
24,prize7_2.d1,prize7_4.d1,102,106,0.3323529411764706,112,338,0,4,0,0,88,67,0,0,88,0,0,45,0,0,68,1,0,33,1,0,47,0,0,32,0,0,41,0,0,30,0,0,57,0,0
26,prize3_6.d3,prize7_2.d0,48,101,0.33136094674556216,111,336,0,4,0,0,20,38,0,0,65,1,0,11,0,0,00,0,0,96,0,0,57,0,0,33,0,0,85,1,0,18,0,0,15,0,0
10,prize4_1.d0,prize5_2.d3,50,73,0.3305084745762712,116,352,0,4,0,0,30,60,0,0,36,1,0,35,0,0,27,0,0,90,0,0,73,0,0,86,0,0,07,0,0,32,0,0,03,0,0
22,prize3_6.d0,prize6_1.d0,45,90,0.3304093567251462,112,340,0,5,0,0,32,90,1,0,64,1,0,05,1,0,30,0,0,22,0,0,66,1,0,93,1,0,27,0,0,04,0,0,20,0,0
9,prize2_2.d1,prize3_4.d3,16,38,0.3295774647887324,116,353,0,4,0,0,22,83,1,0,65,1,0,92,1,0,21,0,0,97,0,0,41,0,0,87,0,0,86,1,0,14,1,0,03,0,0
24,prize1.d4,prize5_4.d3,9,81,0.32941176470588235,111,338,0,5,0,0,87,56,0,0,51,0,0,59,0,0,99,1,0,31,0,0,09,0,0,35,1,0,93,0,0,86,0,0,24,0,0
2,special.d0,prize7_4.d1,0,106,0.3287292817679558,118,360,1,11,1,0,47,66,0,0,73,0,0,02,0,0,12,1,0,75,0,0,55,0,0,32,0,0,91,0,0,47,0,0,28,1,1
2,prize3_1.d0,prize3_5.d1,20,41,0.3287292817679558,118,360,1,4,0,0,33,85,0,0,41,0,0,55,1,0,57,1,0,55,0,0,98,0,0,10,1,0,49,0,0,84,0,0,67,1,0
17,prize1.d3,prize6_1.d2,8,92,0.3285302593659942,113,345,0,8,0,0,48,52,1,0,21,0,0,32,1,0,85,0,0,46,0,0,14,0,0,59,1,0,51,0,0,39,0,0,64,0,0
17,prize2_1.d3,prize7_3.d1,13,104,0.3285302593659942,113,345,0,4,0,0,07,06,1,0,76,0,0,04,0,0,61,0,0,45,0,0,13,0,0,77,1,0,65,0,0,43,1,0,12,0,0
20,prize3_1.d4,prize3_5.d4,24,44,0.32848837209302323,112,342,0,5,0,0,61,18,1,0,80,0,0,53,1,0,30,0,0,59,0,0,95,0,0,77,1,0,01,0,0,50,1,0,00,0,0
4,prize5_1.d3,prize5_6.d3,69,89,0.3277777777777778,117,358,0,4,0,0,05,36,0,0,70,0,0,90,0,0,44,0,0,80,1,0,37,1,0,23,0,0,99,0,0,68,1,0,26,0,0
16,prize3_2.d3,prize3_4.d4,28,39,0.3275862068965517,113,346,0,5,0,0,93,00,1,0,97,0,0,24,1,0,89,1,0,79,0,0,33,1,0,99,0,0,28,0,0,88,1,0,10,0,0
22,prize3_6.d2,prize7_1.d1,47,100,0.32748538011695905,111,340,0,5,0,0,24,30,0,0,96,0,0,74,0,0,72,0,0,78,0,0,78,0,0,18,0,0,42,1,0,15,0,0,15,0,0
3,prize5_2.d1,prize7_2.d1,71,102,0.3268698060941828,117,359,0,3,0,0,49,91,0,0,65,1,0,10,0,0,56,0,0,34,0,0,46,1,0,39,1,1,73,0,0,20,0,0,53,0,0
