lag,pos_i,pos_j,i,j,p_mean,hits,trials,current_streak,max_streak,special_touch,special_both,next_day_pred,2026-08-09_num,2026-08-09_hit,2026-08-09_is_de,2026-08-10_num,2026-08-10_hit,2026-08-10_is_de,2026-08-11_num,2026-08-11_hit,2026-08-11_is_de
2,prize3_1.d0,prize3_5.d1,20,41,0.3259668508287293,117,360,0,4,0,0,00,80,0,0,50,1,0,06,0,0
3,prize5_3.d1,prize5_5.d0,75,82,0.32409972299168976,116,359,0,6,0,0,81,74,0,0,32,1,0,07,0,0
2,prize4_1.d0,prize7_4.d0,50,105,0.32044198895027626,115,360,2,5,0,0,70,38,0,0,69,1,0,49,1,0
2,prize3_5.d2,prize5_5.d1,42,83,0.32044198895027626,115,360,0,4,0,0,33,65,0,0,23,0,0,33,0,0
1,prize5_3.d2,prize6_2.d0,76,93,0.3168044077134986,114,361,0,5,0,0,28,25,0,0,98,0,0,16,0,0
2,special.d2,prize3_5.d1,2,41,0.3149171270718232,113,360,1,4,1,0,90,40,0,0,90,0,0,26,1,0
2,special.d0,prize7_4.d1,0,106,0.3149171270718232,113,360,0,11,1,0,96,10,1,0,05,0,0,17,0,0
2,prize3_1.d0,prize3_1.d4,20,24,0.3149171270718232,113,360,0,5,0,0,03,87,0,0,58,0,0,07,0,0
2,prize3_4.d2,prize3_6.d0,37,45,0.3149171270718232,113,360,0,3,0,0,63,18,0,0,22,1,0,53,0,0
3,prize5_6.d3,prize6_3.d0,89,96,0.31301939058171746,112,359,2,5,0,0,39,01,0,0,89,1,0,24,1,0
3,prize5_2.d1,prize7_2.d1,71,102,0.31301939058171746,112,359,0,3,0,0,57,29,1,0,31,1,0,78,0,0
2,prize2_1.d4,prize3_4.d2,14,37,0.31215469613259667,112,360,1,4,0,0,76,41,1,0,62,0,0,45,1,0
2,prize2_1.d4,prize3_5.d1,14,41,0.31215469613259667,112,360,0,5,0,0,70,40,0,0,60,0,0,46,0,0
2,special.d0,prize2_1.d2,0,12,0.31215469613259667,112,360,0,4,1,0,98,18,0,0,05,0,0,11,0,0
1,prize3_3.d1,prize3_3.d3,31,33,0.31129476584022037,112,361,1,5,0,0,65,92,0,0,62,0,0,45,1,0
1,special.d2,prize6_3.d1,2,97,0.31129476584022037,112,361,0,5,1,0,18,91,0,0,24,0,0,90,0,0
1,special.d3,prize2_1.d1,3,11,0.31129476584022037,112,361,0,4,1,0,98,21,1,1,25,0,0,55,0,0
3,prize3_2.d3,prize7_3.d0,28,103,0.31024930747922436,111,359,0,5,0,0,82,89,0,0,44,0,0,68,0,0
2,prize3_3.d1,prize4_4.d2,31,64,0.30939226519337015,111,360,1,4,0,0,46,15,0,0,94,0,0,69,1,0
2,prize2_2.d4,prize3_5.d3,19,43,0.30939226519337015,111,360,0,7,0,0,11,34,1,0,97,0,0,71,0,0
2,prize3_3.d4,prize5_4.d0,34,78,0.30939226519337015,111,360,0,7,0,0,28,56,0,0,17,1,0,25,0,0
1,prize1.d2,prize7_1.d0,7,99,0.3085399449035813,111,361,0,6,0,0,72,39,0,0,72,0,0,59,0,0
1,prize4_2.d0,prize7_2.d0,54,101,0.3085399449035813,111,361,0,6,0,0,99,17,1,0,07,0,0,30,0,0
3,special.d2,prize7_2.d1,2,102,0.3074792243767313,110,359,0,6,1,0,27,19,0,0,41,0,0,98,0,0
3,prize3_4.d3,prize4_1.d0,38,50,0.3074792243767313,110,359,0,4,0,0,14,02,0,0,83,1,0,06,0,0
