lag,pos_i,pos_j,i,j,p_mean,hits,trials,current_streak,max_streak,special_touch,special_both,next_day_pred,2026-08-07_num,2026-08-07_hit,2026-08-07_is_de,2026-08-08_num,2026-08-08_hit,2026-08-08_is_de,2026-08-09_num,2026-08-09_hit,2026-08-09_is_de,2026-08-10_num,2026-08-10_hit,2026-08-10_is_de,2026-08-11_num,2026-08-11_hit,2026-08-11_is_de
30,prize5_4.d3,prize6_1.d0,81,90,0.3413173652694611,113,332,0,6,0,0,38,00,0,0,83,0,0,40,0,0,94,0,0,10,0,0
27,prize1.d0,prize5_6.d0,5,86,0.33827893175074186,113,335,0,4,0,0,17,30,0,0,72,0,0,95,0,0,77,0,0,13,0,0
21,prize4_1.d3,prize6_3.d1,53,97,0.33819241982507287,115,341,0,6,0,0,03,46,1,0,22,1,1,81,0,0,77,0,0,77,0,0
15,prize4_1.d0,prize7_3.d0,50,103,0.335243553008596,116,347,1,4,0,0,35,56,1,0,48,0,0,96,0,0,62,0,0,05,1,0
28,prize3_6.d2,prize7_2.d0,47,101,0.3333333333333333,111,334,0,5,0,0,25,02,0,0,02,1,0,33,0,0,97,0,0,73,0,0
18,prize3_3.d3,prize5_2.d2,33,72,0.33236994219653176,114,344,0,5,0,0,69,62,0,0,19,1,0,41,1,0,48,0,0,54,0,0
24,prize3_4.d1,prize6_2.d2,36,95,0.3323529411764706,112,338,0,3,0,0,11,02,0,0,20,0,0,83,0,0,49,0,0,66,0,0
14,prize2_1.d3,prize3_2.d0,13,25,0.3314285714285714,115,348,0,3,0,0,61,82,0,0,85,0,0,47,0,0,69,1,0,44,0,0
10,prize4_2.d1,prize5_5.d1,55,83,0.3305084745762712,116,352,2,5,0,0,11,53,0,0,62,1,0,70,0,0,89,1,0,49,1,0
13,prize3_5.d3,prize5_2.d3,43,73,0.33048433048433046,115,349,0,4,0,0,48,98,0,0,59,0,0,44,0,0,64,1,0,97,0,0
22,prize3_6.d0,prize6_1.d0,45,90,0.3304093567251462,112,340,0,5,0,0,13,03,0,0,25,1,0,84,0,0,60,0,0,61,0,0
24,prize1.d4,prize5_4.d3,9,81,0.32941176470588235,111,338,0,5,0,0,83,49,0,0,20,0,0,67,1,0,74,0,0,06,0,0
17,prize1.d3,prize6_1.d2,8,92,0.3285302593659942,113,345,0,8,0,0,65,03,0,0,48,0,0,18,0,0,14,1,0,77,0,0
20,prize2_1.d1,prize3_2.d2,11,27,0.32848837209302323,112,342,0,5,0,0,36,14,0,0,14,0,0,29,1,0,12,0,0,59,0,0
22,prize3_6.d2,prize7_1.d1,47,100,0.32748538011695905,111,340,1,5,0,0,77,96,0,0,50,1,0,49,1,0,51,0,0,91,1,1
25,prize5_1.d0,prize6_3.d2,66,98,0.3274336283185841,110,337,0,5,0,0,12,90,0,0,89,0,0,13,0,0,09,0,0,59,0,0
28,special.d4,prize5_3.d3,4,77,0.3273809523809524,109,334,0,4,1,0,97,72,0,0,18,1,0,40,0,0,94,0,0,70,0,0
24,prize4_4.d0,prize5_2.d0,62,70,0.3264705882352941,110,338,0,5,0,0,03,40,0,0,85,0,0,16,1,0,17,1,0,64,0,0
27,prize5_1.d2,prize5_2.d1,68,71,0.3264094955489614,109,335,1,4,0,0,52,95,0,0,33,0,0,94,0,0,13,0,0,87,1,0
2,prize3_1.d0,prize3_5.d1,20,41,0.3259668508287293,117,360,0,4,0,0,00,32,1,0,53,0,0,80,0,0,50,1,0,06,0,0
14,prize2_2.d3,prize5_2.d3,18,73,0.32571428571428573,113,348,0,4,0,0,07,23,0,0,68,0,0,09,0,0,44,0,0,34,0,0
14,prize4_4.d0,prize5_6.d3,62,89,0.32571428571428573,113,348,0,4,0,0,59,15,1,0,75,0,0,49,1,0,03,1,0,70,0,0
17,special.d1,prize3_4.d2,1,37,0.3256484149855908,112,345,0,4,1,0,24,35,0,0,29,0,0,81,0,0,49,0,0,95,0,0
20,prize5_1.d2,prize5_5.d0,68,82,0.32558139534883723,111,342,1,4,0,0,99,30,0,0,56,1,0,73,1,0,65,0,0,82,1,0
29,prize3_4.d2,prize3_6.d3,37,48,0.3253731343283582,108,333,0,5,0,0,64,86,1,0,66,0,0,12,1,0,43,0,0,83,0,0
4,prize3_6.d0,prize5_3.d1,45,75,0.325,116,358,0,6,0,0,20,67,0,0,05,0,0,25,0,0,17,1,0,83,0,0
25,prize3_5.d3,prize5_4.d1,43,79,0.32448377581120946,109,337,1,6,0,0,23,94,1,0,15,0,0,11,0,0,60,0,0,05,1,0
25,prize1.d1,prize7_2.d1,6,102,0.32448377581120946,109,337,0,4,0,0,19,36,0,0,19,1,0,33,0,0,60,0,0,53,0,0
25,prize4_3.d1,prize5_2.d0,59,70,0.32448377581120946,109,337,0,4,0,0,24,11,1,0,00,1,0,85,0,0,06,1,0,47,0,0
28,prize3_4.d0,prize4_2.d2,35,56,0.3244047619047619,108,334,0,4,0,0,74,01,0,0,78,1,0,91,0,0,03,1,0,31,0,0
3,prize5_3.d1,prize5_5.d0,75,82,0.32409972299168976,116,359,0,6,0,0,81,55,0,0,58,0,0,74,0,0,32,1,0,07,0,0
24,prize2_1.d1,prize3_3.d4,11,34,0.3235294117647059,109,338,0,7,0,0,12,46,1,0,85,0,0,60,0,0,27,0,0,14,0,0
30,prize1.d2,prize2_1.d1,7,11,0.32335329341317365,107,332,0,5,0,0,92,93,0,0,73,1,0,77,1,0,07,0,0,97,0,0
11,prize4_3.d0,prize5_5.d2,58,84,0.32294617563739375,113,351,0,4,0,0,83,86,1,0,46,1,0,80,0,0,53,1,0,73,0,0
29,prize3_4.d1,prize3_6.d2,36,47,0.32238805970149254,107,333,0,5,0,0,07,66,0,0,60,0,0,50,1,0,83,1,0,79,0,0
10,prize4_1.d0,prize5_2.d3,50,73,0.3220338983050847,113,352,0,4,0,0,45,34,0,0,27,1,0,48,0,0,68,0,0,06,0,0
13,prize1.d3,prize3_6.d1,8,46,0.32193732193732194,112,349,0,5,0,0,98,78,0,0,62,1,0,94,0,0,71,0,0,61,0,0
13,prize2_1.d3,prize5_1.d3,13,69,0.32193732193732194,112,349,0,4,0,0,12,81,1,0,46,1,0,62,0,0,40,0,0,65,0,0
16,prize1.d4,prize5_3.d0,9,74,0.3218390804597701,111,346,1,5,0,0,07,91,0,0,73,1,0,79,1,0,85,0,0,26,1,0
28,prize1.d0,prize1.d3,5,8,0.32142857142857145,107,334,2,3,0,0,17,66,0,0,36,0,0,70,0,0,95,1,0,76,1,0
28,prize5_4.d2,prize5_5.d0,80,82,0.32142857142857145,107,334,1,4,0,0,01,39,0,0,89,0,0,79,1,0,10,0,0,40,1,0
28,prize3_3.d0,prize6_1.d2,30,92,0.32142857142857145,107,334,1,3,0,0,97,16,0,0,95,1,0,26,0,0,59,0,0,24,1,0
6,prize3_1.d0,prize5_1.d2,20,68,0.32122905027932963,114,356,1,4,0,0,51,48,0,0,50,1,0,08,0,0,67,0,0,36,1,0
6,prize3_4.d2,prize4_4.d3,37,65,0.32122905027932963,114,356,1,4,0,0,46,78,0,0,03,0,0,97,1,0,62,0,0,36,1,0
12,prize1.d4,prize3_6.d3,9,48,0.3210227272727273,112,350,0,5,0,0,95,25,0,0,04,0,0,79,1,0,81,0,0,78,0,0
15,prize3_6.d0,prize7_1.d1,45,100,0.3209169054441261,111,347,0,3,0,0,98,03,0,0,84,1,0,15,0,0,22,1,0,07,0,0
18,prize3_1.d2,prize5_5.d0,22,82,0.3208092485549133,110,344,0,6,0,0,19,53,0,0,75,0,0,62,0,0,59,0,0,10,0,0
24,prize4_4.d2,prize5_6.d1,64,87,0.3205882352941177,108,338,0,4,0,0,02,18,1,0,15,0,0,59,0,0,82,0,0,99,0,0
27,prize3_3.d4,prize3_6.d1,34,46,0.32047477744807124,107,335,2,5,0,0,00,32,1,0,81,1,0,53,0,0,63,1,0,51,1,0
27,prize5_3.d3,prize5_6.d1,77,87,0.32047477744807124,107,335,0,5,0,0,89,82,0,0,06,0,0,45,0,0,08,0,0,75,0,0
2,prize4_1.d0,prize7_4.d0,50,105,0.32044198895027626,115,360,2,5,0,0,70,28,0,0,28,0,0,38,0,0,69,1,0,49,1,0
