number,prob,component_disagreement,component_min,component_max,number_str,agreement_tier
54,0.012432125945911974,0.005478031970626329,0.009410061074255252,0.023386888783097224,54,low
83,0.01157891511393044,0.0037078177980814464,0.009410061074255252,0.0189830683505718,83,low
38,0.011326917374075296,0.002724559797896729,0.00966966512252485,0.01681114202913639,38,low
28,0.011087401784294392,0.0019971610611487943,0.00965571184401735,0.014691643574117579,28,low
21,0.01096530612301624,0.0020172037156551345,0.009740026047095651,0.01502705853395588,21,low
68,0.010879248235406746,0.0016454272254082091,0.009681213976632951,0.014178137807925177,68,low
60,0.010830925318128072,0.002189197138687797,0.009410061074255252,0.015186578922367182,60,low
89,0.010719912662157978,0.0017438174926724895,0.009410061074255252,0.014134341250451175,89,low
39,0.010663795358172898,0.0017482941383891628,0.009410061074255252,0.014110863736828875,39,low
19,0.010546619459299442,0.000974671501249404,0.009845451988708858,0.012486107489598965,19,medium
47,0.010522942428670237,0.0015122177134409645,0.009410061074255252,0.013504955948196371,47,low
51,0.010497827224524359,0.001395320128951181,0.009410061074255252,0.013225107730317171,51,low
67,0.010438024324571119,0.001372884281036969,0.009410061074255252,0.01314473281916227,67,low
79,0.010423966620748033,0.0012476903971353444,0.009410061074255252,0.012861502725545869,79,low
84,0.010403650974534474,0.0007297651689674864,0.009789777270408551,0.011837265760570363,84,medium
65,0.010378061430131182,0.000635297158505813,0.009759865309496551,0.011462193577600963,65,medium
23,0.01036939968851728,0.0010917042202604177,0.00965143073819085,0.012580965105651168,23,medium
13,0.010363303919619215,0.0005494790941838712,0.01,0.011492918499978463,13,high
4,0.01034885228478389,0.0012090155698212084,0.009410061074255252,0.012719942644682968,04,medium
53,0.010343058976515307,0.0011212963437742635,0.009410061074255252,0.012511661147131566,53,medium
36,0.010330228458501602,0.0011697486528985065,0.009410061074255252,0.012621155503160867,36,medium
29,0.010327033406072229,0.0016440156579691839,0.008548556254765345,0.013536986229647873,29,low
52,0.010294165491866403,0.0009853997255695503,0.009410061074255252,0.012196149650956164,52,medium
42,0.010268148669805242,0.00042413724570296676,0.009869494107547953,0.01104712467323786,42,high
69,0.0102658886968021,0.00016645779312678564,0.01,0.010522301814914056,69,high
17,0.010246540202323585,0.0005144725437653682,0.009410061074255252,0.011010384933902958,17,high
16,0.010232153231095347,0.0009437318422566962,0.009410061074255252,0.012062744953301363,16,medium
3,0.010218820465915072,0.0007328385108391743,0.009789777270408551,0.011814236875124664,03,medium
0,0.010206389901095805,0.001043336705364675,0.009410061074255252,0.012262758934097265,00,medium
76,0.01019513892720614,0.001585906987557832,0.007725289854806341,0.012681001277006169,76,low
92,0.010187322205413765,0.0005441668086222198,0.009159458497093449,0.010809725552568457,92,high
97,0.010166211542803423,0.0005938663205630777,0.009410061074255252,0.011217840399959858,97,medium
25,0.010150981849028597,0.0005054446405776717,0.009410061074255252,0.01098662470367026,25,high
22,0.01013995171321875,0.00039350584233340116,0.00975628183732385,0.010836576562902057,22,high
8,0.010117164731659606,0.0006165176462356621,0.009652483023719051,0.011401672002547962,08,medium
43,0.010087100615758486,0.00035045692248590827,0.009410061074255252,0.010477316865128455,43,high
48,0.010081807654628502,0.0003740344873766255,0.00935254166244545,0.010457811972862354,48,high
50,0.010076176950336397,0.00031995924721868777,0.009410061074255252,0.010345715182248855,50,high
59,0.01006802829960917,0.00045631904321410846,0.00924772861994885,0.010570888064287957,59,high
34,0.010061879155860869,0.0006849623475445569,0.009410061074255252,0.01137167991649796,34,medium
94,0.010043784565392006,0.0006769378154887426,0.009410061074255252,0.011342536316195561,94,medium
14,0.01003945907018004,0.0005768737663458418,0.009410061074255252,0.011096226896459858,14,high
87,0.010034106336068396,0.00045439326996166444,0.009410061074255252,0.010812861297046557,87,high
