number,prob,number_str
41,0.2427642694073993,41
52,0.24275661954848898,52
20,0.2402302267931887,20
55,0.24004032617452892,55
84,0.23980335104798328,84
37,0.23948323856828013,37
74,0.23755945011523677,74
22,0.2375589653597168,22
45,0.23735241234929033,45
11,0.2373522802731611,11
8,0.2373520821398617,08
80,0.23735192909328962,80
17,0.23735138797948477,17
97,0.2373493262520048,97
67,0.23734907298909425,67
56,0.23734846370468723,56
99,0.2373420307125518,99
23,0.23692578894380004,23
13,0.23674185085043617,13
71,0.23674182981516792,71
90,0.23674176251754436,90
40,0.23674169921663538,40
0,0.23674169489204988,00
1,0.2367415926535837,01
48,0.23674150493044482,48
18,0.23674135065853594,18
39,0.2367413492517694,39
91,0.23674131385614802,91
30,0.23674128607253414,30
68,0.2367412030131311,68
64,0.23674088934855045,64
65,0.2367408527166074,65
3,0.23674085269571232,03
25,0.23674038146069004,25
26,0.2367401457048917,26
49,0.23674013531725374,49
85,0.23673997317262577,85
70,0.23673995770361717,70
44,0.23673988023402365,44
57,0.23673953439211054,57
66,0.2367391847390825,66
50,0.23673901793030525,50
51,0.23673864945127193,51
6,0.23673863748265034,06
77,0.23673823110965514,77
27,0.2367382149733729,27
53,0.23673789086683672,53
32,0.23673786846620123,32
9,0.23673782058307788,09
81,0.23673736378228138,81
38,0.23673734875279603,38
29,0.2367367805198159,29
19,0.23673656036997534,19
87,0.23673613283412023,87
63,0.23673579147535634,63
82,0.23673545569879498,82
34,0.236734989747016,34
79,0.236734808981021,79
62,0.23673424642313645,62
2,0.23673424185614647,02
21,0.23673332034492484,21
7,0.2367313273634842,07
96,0.23672964697951956,96
47,0.23672858840867478,47
42,0.23672750773391169,42
43,0.2367262448808837,43
54,0.2367174431982221,54
33,0.2367148619120162,33
93,0.23671434279129475,93
73,0.23669571781767176,73
89,0.23665349319430798,89
86,0.23665156060852438,86
4,0.23564956025249092,04
94,0.23541829742207188,94
95,0.2354178793484829,95
83,0.23541624057258018,83
36,0.23541251909593972,36
98,0.23521394653084893,98
88,0.235213841306025,88
78,0.2352118533446198,78
61,0.235209794001804,61
92,0.23520697081234979,92
69,0.23511770258523912,69
46,0.23460622513300858,46
76,0.23460621942681656,76
28,0.2346062060125206,28
14,0.23460619665655144,14
60,0.2346061941320417,60
75,0.23460589244538252,75
10,0.2346057567491262,10
24,0.23460530623103829,24
72,0.234604921859965,72
59,0.23460462583392352,59
35,0.2346042452110383,35
16,0.23460424516866524,16
12,0.23460231087853162,12
58,0.23460223671946226,58
15,0.23460170078375503,15
31,0.23459993455768266,31
5,0.23458922383462413,05
