seed_label,canonical_family_id,family_kind,family_size,members
00,00,bo_kep,4,"[""00"", ""05"", ""50"", ""55""]"
01,01,bo_thuong,8,"[""01"", ""06"", ""10"", ""15"", ""51"", ""56"", ""60"", ""65""]"
02,02,bo_thuong,8,"[""02"", ""07"", ""20"", ""25"", ""52"", ""57"", ""70"", ""75""]"
03,03,bo_thuong,8,"[""03"", ""08"", ""30"", ""35"", ""53"", ""58"", ""80"", ""85""]"
04,04,bo_thuong,8,"[""04"", ""09"", ""40"", ""45"", ""54"", ""59"", ""90"", ""95""]"
05,00,bo_kep,4,"[""00"", ""05"", ""50"", ""55""]"
06,01,bo_thuong,8,"[""01"", ""06"", ""10"", ""15"", ""51"", ""56"", ""60"", ""65""]"
07,02,bo_thuong,8,"[""02"", ""07"", ""20"", ""25"", ""52"", ""57"", ""70"", ""75""]"
08,03,bo_thuong,8,"[""03"", ""08"", ""30"", ""35"", ""53"", ""58"", ""80"", ""85""]"
09,04,bo_thuong,8,"[""04"", ""09"", ""40"", ""45"", ""54"", ""59"", ""90"", ""95""]"
10,01,bo_thuong,8,"[""01"", ""06"", ""10"", ""15"", ""51"", ""56"", ""60"", ""65""]"
11,11,bo_kep,4,"[""11"", ""16"", ""61"", ""66""]"
12,12,bo_thuong,8,"[""12"", ""17"", ""21"", ""26"", ""62"", ""67"", ""71"", ""76""]"
13,13,bo_thuong,8,"[""13"", ""18"", ""31"", ""36"", ""63"", ""68"", ""81"", ""86""]"
14,14,bo_thuong,8,"[""14"", ""19"", ""41"", ""46"", ""64"", ""69"", ""91"", ""96""]"
15,01,bo_thuong,8,"[""01"", ""06"", ""10"", ""15"", ""51"", ""56"", ""60"", ""65""]"
16,11,bo_kep,4,"[""11"", ""16"", ""61"", ""66""]"
17,12,bo_thuong,8,"[""12"", ""17"", ""21"", ""26"", ""62"", ""67"", ""71"", ""76""]"
18,13,bo_thuong,8,"[""13"", ""18"", ""31"", ""36"", ""63"", ""68"", ""81"", ""86""]"
19,14,bo_thuong,8,"[""14"", ""19"", ""41"", ""46"", ""64"", ""69"", ""91"", ""96""]"
