canonical_family_id,family_kind,family_size,members,seed_labels
00,bo_kep,4,"[""00"", ""05"", ""50"", ""55""]","[""00"", ""05"", ""50"", ""55""]"
01,bo_thuong,8,"[""01"", ""06"", ""10"", ""15"", ""51"", ""56"", ""60"", ""65""]","[""01"", ""06"", ""10"", ""15"", ""51"", ""56"", ""60"", ""65""]"
02,bo_thuong,8,"[""02"", ""07"", ""20"", ""25"", ""52"", ""57"", ""70"", ""75""]","[""02"", ""07"", ""20"", ""25"", ""52"", ""57"", ""70"", ""75""]"
03,bo_thuong,8,"[""03"", ""08"", ""30"", ""35"", ""53"", ""58"", ""80"", ""85""]","[""03"", ""08"", ""30"", ""35"", ""53"", ""58"", ""80"", ""85""]"
04,bo_thuong,8,"[""04"", ""09"", ""40"", ""45"", ""54"", ""59"", ""90"", ""95""]","[""04"", ""09"", ""40"", ""45"", ""54"", ""59"", ""90"", ""95""]"
11,bo_kep,4,"[""11"", ""16"", ""61"", ""66""]","[""11"", ""16"", ""61"", ""66""]"
12,bo_thuong,8,"[""12"", ""17"", ""21"", ""26"", ""62"", ""67"", ""71"", ""76""]","[""12"", ""17"", ""21"", ""26"", ""62"", ""67"", ""71"", ""76""]"
13,bo_thuong,8,"[""13"", ""18"", ""31"", ""36"", ""63"", ""68"", ""81"", ""86""]","[""13"", ""18"", ""31"", ""36"", ""63"", ""68"", ""81"", ""86""]"
14,bo_thuong,8,"[""14"", ""19"", ""41"", ""46"", ""64"", ""69"", ""91"", ""96""]","[""14"", ""19"", ""41"", ""46"", ""64"", ""69"", ""91"", ""96""]"
22,bo_kep,4,"[""22"", ""27"", ""72"", ""77""]","[""22"", ""27"", ""72"", ""77""]"
23,bo_thuong,8,"[""23"", ""28"", ""32"", ""37"", ""73"", ""78"", ""82"", ""87""]","[""23"", ""28"", ""32"", ""37"", ""73"", ""78"", ""82"", ""87""]"
24,bo_thuong,8,"[""24"", ""29"", ""42"", ""47"", ""74"", ""79"", ""92"", ""97""]","[""24"", ""29"", ""42"", ""47"", ""74"", ""79"", ""92"", ""97""]"
33,bo_kep,4,"[""33"", ""38"", ""83"", ""88""]","[""33"", ""38"", ""83"", ""88""]"
34,bo_thuong,8,"[""34"", ""39"", ""43"", ""48"", ""84"", ""89"", ""93"", ""98""]","[""34"", ""39"", ""43"", ""48"", ""84"", ""89"", ""93"", ""98""]"
44,bo_kep,4,"[""44"", ""49"", ""94"", ""99""]","[""44"", ""49"", ""94"", ""99""]"
