pair_id,pair_kind,a,b,members
00-55,kep_bong,00,55,"[""00"", ""55""]"
01-10,reverse,01,10,"[""01"", ""10""]"
02-20,reverse,02,20,"[""02"", ""20""]"
03-30,reverse,03,30,"[""03"", ""30""]"
04-40,reverse,04,40,"[""04"", ""40""]"
05-50,reverse,05,50,"[""05"", ""50""]"
06-60,reverse,06,60,"[""06"", ""60""]"
07-70,reverse,07,70,"[""07"", ""70""]"
08-80,reverse,08,80,"[""08"", ""80""]"
09-90,reverse,09,90,"[""09"", ""90""]"
11-66,kep_bong,11,66,"[""11"", ""66""]"
12-21,reverse,12,21,"[""12"", ""21""]"
13-31,reverse,13,31,"[""13"", ""31""]"
14-41,reverse,14,41,"[""14"", ""41""]"
15-51,reverse,15,51,"[""15"", ""51""]"
16-61,reverse,16,61,"[""16"", ""61""]"
17-71,reverse,17,71,"[""17"", ""71""]"
18-81,reverse,18,81,"[""18"", ""81""]"
19-91,reverse,19,91,"[""19"", ""91""]"
22-77,kep_bong,22,77,"[""22"", ""77""]"
23-32,reverse,23,32,"[""23"", ""32""]"
24-42,reverse,24,42,"[""24"", ""42""]"
25-52,reverse,25,52,"[""25"", ""52""]"
26-62,reverse,26,62,"[""26"", ""62""]"
27-72,reverse,27,72,"[""27"", ""72""]"
28-82,reverse,28,82,"[""28"", ""82""]"
29-92,reverse,29,92,"[""29"", ""92""]"
33-88,kep_bong,33,88,"[""33"", ""88""]"
34-43,reverse,34,43,"[""34"", ""43""]"
35-53,reverse,35,53,"[""35"", ""53""]"
36-63,reverse,36,63,"[""36"", ""63""]"
37-73,reverse,37,73,"[""37"", ""73""]"
38-83,reverse,38,83,"[""38"", ""83""]"
39-93,reverse,39,93,"[""39"", ""93""]"
44-99,kep_bong,44,99,"[""44"", ""99""]"
45-54,reverse,45,54,"[""45"", ""54""]"
46-64,reverse,46,64,"[""46"", ""64""]"
47-74,reverse,47,74,"[""47"", ""74""]"
48-84,reverse,48,84,"[""48"", ""84""]"
49-94,reverse,49,94,"[""49"", ""94""]"
56-65,reverse,56,65,"[""56"", ""65""]"
57-75,reverse,57,75,"[""57"", ""75""]"
58-85,reverse,58,85,"[""58"", ""85""]"
59-95,reverse,59,95,"[""59"", ""95""]"
67-76,reverse,67,76,"[""67"", ""76""]"
68-86,reverse,68,86,"[""68"", ""86""]"
69-96,reverse,69,96,"[""69"", ""96""]"
78-87,reverse,78,87,"[""78"", ""87""]"
79-97,reverse,79,97,"[""79"", ""97""]"
89-98,reverse,89,98,"[""89"", ""98""]"
