number,number_str,head,tail,reverse,bong_duong,bong_am,cap_loto_50_id,cap_loto_50_kind,cap_loto_50_partner,bo_seed_label,bo_family_id,bo_family_kind,bo_family_size,bo_members,digit_sum,sum_mod10,is_kep_bang,is_kep_lech,is_kep_am,is_sat_kep,is_sat_kep_vong
0,00,0,0,00,55,77,00-55,kep_bong,55,00,00,bo_kep,4,"[""00"", ""05"", ""50"", ""55""]",0,0,True,False,False,False,False
1,01,0,1,10,56,74,01-10,reverse,10,01,01,bo_thuong,8,"[""01"", ""06"", ""10"", ""15"", ""51"", ""56"", ""60"", ""65""]",1,1,False,False,False,True,True
2,02,0,2,20,57,79,02-20,reverse,20,02,02,bo_thuong,8,"[""02"", ""07"", ""20"", ""25"", ""52"", ""57"", ""70"", ""75""]",2,2,False,False,False,False,False
3,03,0,3,30,58,76,03-30,reverse,30,03,03,bo_thuong,8,"[""03"", ""08"", ""30"", ""35"", ""53"", ""58"", ""80"", ""85""]",3,3,False,False,False,False,False
4,04,0,4,40,59,71,04-40,reverse,40,04,04,bo_thuong,8,"[""04"", ""09"", ""40"", ""45"", ""54"", ""59"", ""90"", ""95""]",4,4,False,False,False,False,False
5,05,0,5,50,50,78,05-50,reverse,50,05,00,bo_kep,4,"[""00"", ""05"", ""50"", ""55""]",5,5,False,True,False,False,False
6,06,0,6,60,51,73,06-60,reverse,60,06,01,bo_thuong,8,"[""01"", ""06"", ""10"", ""15"", ""51"", ""56"", ""60"", ""65""]",6,6,False,False,False,False,False
7,07,0,7,70,52,70,07-70,reverse,70,07,02,bo_thuong,8,"[""02"", ""07"", ""20"", ""25"", ""52"", ""57"", ""70"", ""75""]",7,7,False,False,True,False,False
8,08,0,8,80,53,75,08-80,reverse,80,08,03,bo_thuong,8,"[""03"", ""08"", ""30"", ""35"", ""53"", ""58"", ""80"", ""85""]",8,8,False,False,False,False,False
9,09,0,9,90,54,72,09-90,reverse,90,09,04,bo_thuong,8,"[""04"", ""09"", ""40"", ""45"", ""54"", ""59"", ""90"", ""95""]",9,9,False,False,False,False,True
10,10,1,0,01,65,47,01-10,reverse,01,10,01,bo_thuong,8,"[""01"", ""06"", ""10"", ""15"", ""51"", ""56"", ""60"", ""65""]",1,1,False,False,False,True,True
11,11,1,1,11,66,44,11-66,kep_bong,66,11,11,bo_kep,4,"[""11"", ""16"", ""61"", ""66""]",2,2,True,False,False,False,False
12,12,1,2,21,67,49,12-21,reverse,21,12,12,bo_thuong,8,"[""12"", ""17"", ""21"", ""26"", ""62"", ""67"", ""71"", ""76""]",3,3,False,False,False,True,True
13,13,1,3,31,68,46,13-31,reverse,31,13,13,bo_thuong,8,"[""13"", ""18"", ""31"", ""36"", ""63"", ""68"", ""81"", ""86""]",4,4,False,False,False,False,False
